text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
Nobody told us the reason for these problems.,G,Preposition_Replacing,G,"{'G': 4.2578125, 'PREP': 0.4326171875, 'DET': -4.046875, 'SVA': -4.1953125}",PREP,"{'G': 3.419921875, 'PREP': 4.78515625, 'DET': -4.98828125, 'SVA': -4.40234375}",G,"{'G': 7.1953125, 'PREP': -1.896484375, 'DET': -5.97265625, 'SVA': -3.37890625}"
"when I want to call someone, I don't need to look for a phone box ;",G,Preposition_Replacing,G,"{'G': 3.189453125, 'PREP': 2.865234375, 'DET': -4.85546875, 'SVA': -4.13671875}",PREP,"{'G': 4.140625, 'PREP': 4.39453125, 'DET': -5.53515625, 'SVA': -4.67578125}",G,"{'G': 5.640625, 'PREP': 0.82666015625, 'DET': -6.7578125, 'SVA': -4.34375}"
It aims to improve our standard of life and allows us to live more comfortably.,G,Preposition_Unnecessary,G,"{'G': 3.263671875, 'PREP': 2.689453125, 'DET': -4.640625, 'SVA': -4.2890625}",PREP,"{'G': 4.08984375, 'PREP': 4.4765625, 'DET': -5.2109375, 'SVA': -4.9296875}",G,"{'G': 4.73828125, 'PREP': 1.6708984375, 'DET': -6.546875, 'SVA': -4.41015625}"
"To my surprise, when I arrived at the theatre the show still had not started.",G,Preposition_Replacing,G,"{'G': 3.625, 'PREP': 2.228515625, 'DET': -4.96875, 'SVA': -4.1640625}",PREP,"{'G': 3.41015625, 'PREP': 4.7890625, 'DET': -5.05859375, 'SVA': -4.32421875}",G,"{'G': 4.4765625, 'PREP': 1.82421875, 'DET': -6.48046875, 'SVA': -4.35546875}"
I trusted him and told him the truth.,G,Preposition_Unnecessary,G,"{'G': 3.701171875, 'PREP': 2.04296875, 'DET': -4.87109375, 'SVA': -4.19921875}",PREP,"{'G': 4.015625, 'PREP': 4.44921875, 'DET': -5.37109375, 'SVA': -4.76171875}",G,"{'G': 5.84375, 'PREP': 0.490966796875, 'DET': -6.75390625, 'SVA': -4.14453125}"
I have given a lot of information about the international student conference.,G,Preposition_Replacing,G,"{'G': 3.15234375, 'PREP': 2.9140625, 'DET': -4.94921875, 'SVA': -4.08203125}",PREP,"{'G': 3.609375, 'PREP': 4.71484375, 'DET': -5.4140625, 'SVA': -4.35546875}",G,"{'G': 6.0078125, 'PREP': 0.4306640625, 'DET': -6.8359375, 'SVA': -4.2421875}"
Quite a lot of students spend their free time there relaxing and talking.,G,Preposition_Unnecessary,G,"{'G': 3.58984375, 'PREP': 2.0703125, 'DET': -4.47265625, 'SVA': -4.36328125}",PREP,"{'G': 3.376953125, 'PREP': 4.8046875, 'DET': -4.98046875, 'SVA': -4.3671875}",G,"{'G': 5.125, 'PREP': 1.275390625, 'DET': -6.67578125, 'SVA': -4.26171875}"
There were wonderful plays and films which I hope there will be more of.,G,Preposition_Unnecessary,G,"{'G': 3.013671875, 'PREP': 2.958984375, 'DET': -4.38671875, 'SVA': -4.359375}",PREP,"{'G': 3.36328125, 'PREP': 4.8046875, 'DET': -5.03125, 'SVA': -4.28515625}",G,"{'G': 4.078125, 'PREP': 2.525390625, 'DET': -6.66796875, 'SVA': -4.65625}"
"For unknown reasons, I found the restaurant closed (there was no information giving a reason for closing it).",G,Preposition_Replacing,G,"{'G': 3.060546875, 'PREP': 2.97265625, 'DET': -4.66015625, 'SVA': -4.23046875}",PREP,"{'G': 3.494140625, 'PREP': 4.7734375, 'DET': -5.07421875, 'SVA': -4.421875}",G,"{'G': 4.609375, 'PREP': 1.7900390625, 'DET': -6.5703125, 'SVA': -4.421875}"
It was closed for some reason I still don't know.,G,Preposition_Replacing,G,"{'G': 3.0703125, 'PREP': 2.830078125, 'DET': -4.29296875, 'SVA': -4.41796875}",PREP,"{'G': 3.607421875, 'PREP': 4.73046875, 'DET': -5.21484375, 'SVA': -4.484375}",G,"{'G': 4.46875, 'PREP': 1.7734375, 'DET': -6.43359375, 'SVA': -4.30859375}"
"Additionally, 15% of students answered that they want the presentation lesson to be filmed.",G,Preposition_Missing,G,"{'G': 3.87109375, 'PREP': 1.7431640625, 'DET': -4.859375, 'SVA': -4.14453125}",PREP,"{'G': 4.0546875, 'PREP': 4.453125, 'DET': -5.515625, 'SVA': -4.69921875}",G,"{'G': 5.51171875, 'PREP': 0.8974609375, 'DET': -6.72265625, 'SVA': -4.24609375}"
Using the TV and computer makes people more closed.,G,Preposition_Unnecessary,G,"{'G': 4.76953125, 'PREP': -0.8515625, 'DET': -4.390625, 'SVA': -3.4140625}",PREP,"{'G': 3.392578125, 'PREP': 4.73828125, 'DET': -4.81640625, 'SVA': -4.5078125}",G,"{'G': 5.0703125, 'PREP': 1.298828125, 'DET': -6.73828125, 'SVA': -4.2265625}"
"Concerning accommodation,",G,Preposition_Unnecessary,G,"{'G': 4.65234375, 'PREP': -0.203857421875, 'DET': -4.8671875, 'SVA': -3.447265625}",PREP,"{'G': 3.19921875, 'PREP': 4.7890625, 'DET': -5.08203125, 'SVA': -4.08203125}",G,"{'G': 4.9453125, 'PREP': 1.46875, 'DET': -6.62890625, 'SVA': -4.296875}"
I am thinking mostly of computers.,G,Preposition_Replacing,G,"{'G': 4.21875, 'PREP': 0.9658203125, 'DET': -4.9140625, 'SVA': -3.888671875}",PREP,"{'G': 3.126953125, 'PREP': 4.6953125, 'DET': -5.0703125, 'SVA': -3.931640625}",G,"{'G': 4.86328125, 'PREP': 1.3876953125, 'DET': -6.5, 'SVA': -4.13671875}"
Thank you for organising the school trip to London.,G,Preposition_Replacing,G,"{'G': 3.603515625, 'PREP': 2.265625, 'DET': -5.29296875, 'SVA': -3.896484375}",PREP,"{'G': 3.1953125, 'PREP': 4.79296875, 'DET': -5.1484375, 'SVA': -4.0390625}",G,"{'G': 5.63671875, 'PREP': 0.75244140625, 'DET': -6.83984375, 'SVA': -4.08984375}"
The talks by writers were very technical but they could be understood by all the people who were at the festival.,G,Preposition_Replacing,G,"{'G': 3.443359375, 'PREP': 2.419921875, 'DET': -4.8515625, 'SVA': -4.15625}",PREP,"{'G': 3.93359375, 'PREP': 4.61328125, 'DET': -5.33203125, 'SVA': -4.73828125}",G,"{'G': 5.53125, 'PREP': 0.9814453125, 'DET': -6.7734375, 'SVA': -4.359375}"
"For this conference I suggest wearing something very comfortable but elegant. The organisation wants all the men to wear a jacket, but a tie is not necessary.",G,Preposition_Unnecessary,G,"{'G': 3.09765625, 'PREP': 2.966796875, 'DET': -4.8125, 'SVA': -4.15625}",PREP,"{'G': 4.0234375, 'PREP': 4.5625, 'DET': -5.35546875, 'SVA': -4.80078125}",G,"{'G': 5.03125, 'PREP': 1.41015625, 'DET': -6.66015625, 'SVA': -4.34765625}"
For four years at university I never had any savings.,G,Preposition_Missing,G,"{'G': 3.109375, 'PREP': 2.86328125, 'DET': -4.52734375, 'SVA': -4.3125}",PREP,"{'G': 3.365234375, 'PREP': 4.796875, 'DET': -5.01171875, 'SVA': -4.30078125}",G,"{'G': 4.1796875, 'PREP': 2.26171875, 'DET': -6.5625, 'SVA': -4.48828125}"
"When I get to the camp, I'd like to swim and climb.",G,Preposition_Missing,G,"{'G': 3.16796875, 'PREP': 2.884765625, 'DET': -4.85546875, 'SVA': -4.13671875}",PREP,"{'G': 3.87890625, 'PREP': 4.54296875, 'DET': -5.58203125, 'SVA': -4.48046875}",G,"{'G': 5.3671875, 'PREP': 0.9951171875, 'DET': -6.71484375, 'SVA': -4.20703125}"
"Firstly, I hoped to have a relaxing evening at your show but that didn't happen.",G,Preposition_Replacing,G,"{'G': 3.0390625, 'PREP': 3.0234375, 'DET': -4.82421875, 'SVA': -4.09375}",PREP,"{'G': 3.740234375, 'PREP': 4.6875, 'DET': -5.296875, 'SVA': -4.546875}",G,"{'G': 5.40234375, 'PREP': 1.0537109375, 'DET': -6.71875, 'SVA': -4.35546875}"
"To begin with, in your advertisement you say that Danny Brooks will be starring in the show but instead there was a different actor, which made us very disappointed.",G,Preposition_Missing,G,"{'G': 3.0625, 'PREP': 2.966796875, 'DET': -4.62890625, 'SVA': -4.234375}",PREP,"{'G': 3.603515625, 'PREP': 4.74609375, 'DET': -5.1484375, 'SVA': -4.50390625}",G,"{'G': 4.80078125, 'PREP': 1.6171875, 'DET': -6.61328125, 'SVA': -4.375}"
Those who need to travel in order to do business with other people abroad can fly by plane and arrive at their destination safely or have their problems solved via telephone.,G,Preposition_Replacing,G,"{'G': 3.59765625, 'PREP': 2.1875, 'DET': -4.9296875, 'SVA': -4.0078125}",PREP,"{'G': 3.80078125, 'PREP': 4.58984375, 'DET': -5.26953125, 'SVA': -4.60546875}",G,"{'G': 7.078125, 'PREP': -1.541015625, 'DET': -6.28515625, 'SVA': -3.45703125}"
"For August, I have already made another appointment with my friends.",G,Preposition_Replacing,G,"{'G': 3.16015625, 'PREP': 2.853515625, 'DET': -4.81640625, 'SVA': -4.12890625}",PREP,"{'G': 4.21484375, 'PREP': 4.359375, 'DET': -5.63671875, 'SVA': -4.703125}",G,"{'G': 5.53515625, 'PREP': 0.90283203125, 'DET': -6.71484375, 'SVA': -4.3046875}"
After a lot of thought I told him.,G,Preposition_Unnecessary,G,"{'G': 3.73828125, 'PREP': 1.95703125, 'DET': -4.90234375, 'SVA': -4.140625}",PREP,"{'G': 3.546875, 'PREP': 4.76953125, 'DET': -5.17578125, 'SVA': -4.43359375}",G,"{'G': 4.40625, 'PREP': 1.962890625, 'DET': -6.53515625, 'SVA': -4.3828125}"
My second complaint is about some of the concert halls which were too small.,G,Preposition_Missing,G,"{'G': 5.0078125, 'PREP': -1.294921875, 'DET': -4.6328125, 'SVA': -3.12109375}",PREP,"{'G': 3.845703125, 'PREP': 4.609375, 'DET': -5.26953125, 'SVA': -4.72265625}",G,"{'G': 6.01171875, 'PREP': 0.299560546875, 'DET': -6.76171875, 'SVA': -4.078125}"
Since that Saturday evening I have never spoken to Pat.,G,Preposition_Replacing,G,"{'G': 3.041015625, 'PREP': 2.990234375, 'DET': -4.83984375, 'SVA': -4.0546875}",PREP,"{'G': 3.470703125, 'PREP': 4.71484375, 'DET': -5.17578125, 'SVA': -4.35546875}",G,"{'G': 5.15234375, 'PREP': 1.171875, 'DET': -6.578125, 'SVA': -4.24609375}"
I've got lots of things about the concert to talk to you about.,G,Preposition_Missing,G,"{'G': 3.154296875, 'PREP': 2.89453125, 'DET': -4.76171875, 'SVA': -4.1796875}",PREP,"{'G': 4.23828125, 'PREP': 4.328125, 'DET': -5.68359375, 'SVA': -4.6875}",G,"{'G': 4.9140625, 'PREP': 1.431640625, 'DET': -6.5859375, 'SVA': -4.28515625}"
I am writing to complain about a show that I saw at your theatre.,G,Preposition_Replacing,G,"{'G': 3.740234375, 'PREP': 2.048828125, 'DET': -5.0234375, 'SVA': -4.09765625}",PREP,"{'G': 4.109375, 'PREP': 4.4140625, 'DET': -5.76171875, 'SVA': -4.51953125}",G,"{'G': 5.91796875, 'PREP': 0.48388671875, 'DET': -6.78125, 'SVA': -4.203125}"
"When we arrived home, Pat told his mother what had happened.",G,Preposition_Unnecessary,G,"{'G': 3.75390625, 'PREP': 1.9833984375, 'DET': -5.140625, 'SVA': -3.986328125}",PREP,"{'G': 3.931640625, 'PREP': 4.578125, 'DET': -5.41796875, 'SVA': -4.671875}",G,"{'G': 4.7890625, 'PREP': 1.57421875, 'DET': -6.60546875, 'SVA': -4.29296875}"
"Thinking about the media's treatment of famous people, I've realised some things.",G,Preposition_Unnecessary,G,"{'G': 3.603515625, 'PREP': 2.21875, 'DET': -4.79296875, 'SVA': -4.19140625}",PREP,"{'G': 3.880859375, 'PREP': 4.6015625, 'DET': -5.23046875, 'SVA': -4.72265625}",G,"{'G': 6.046875, 'PREP': 0.28125, 'DET': -6.77734375, 'SVA': -4.109375}"
