text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G,"{'G': 5.171875, 'PREP': -2.078125, 'DET': -4.4921875, 'SVA': -2.603515625}",G,"{'G': 6.84375, 'PREP': -2.142578125, 'DET': -4.57421875, 'SVA': -2.625}",G,"{'G': 6.9375, 'PREP': -1.875, 'DET': -6.28515625, 'SVA': -2.736328125}"
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP,"{'G': 2.626953125, 'PREP': 3.3984375, 'DET': -4.53515625, 'SVA': -4.05078125}",PREP,"{'G': 3.884765625, 'PREP': 4.62890625, 'DET': -5.33203125, 'SVA': -4.6796875}",PREP,"{'G': 2.431640625, 'PREP': 4.90625, 'DET': -6.72265625, 'SVA': -5.6640625}"
"Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the maths class.",G,Preposition_Missing,PREP,"{'G': 2.443359375, 'PREP': 3.5, 'DET': -4.4609375, 'SVA': -3.96484375}",PREP,"{'G': 3.345703125, 'PREP': 4.80078125, 'DET': -5.03125, 'SVA': -4.2578125}",PREP,"{'G': 2.0390625, 'PREP': 5.30859375, 'DET': -6.62890625, 'SVA': -5.68359375}"
You advertised for my perfect evening out.,PREP,Preposition_Unnecessary,G,"{'G': 3.46484375, 'PREP': 2.197265625, 'DET': -4.23828125, 'SVA': -4.49609375}",G,"{'G': 4.5703125, 'PREP': 3.765625, 'DET': -5.48828125, 'SVA': -4.83203125}",G,"{'G': 4.5546875, 'PREP': 1.6748046875, 'DET': -6.49609375, 'SVA': -4.1796875}"
"I felt like a fool, and all the audience felt like I did.",PREP,Preposition_Replacing,G,"{'G': 4.84375, 'PREP': -0.56201171875, 'DET': -5.0078125, 'SVA': -3.296875}",G,"{'G': 5.49609375, 'PREP': 2.208984375, 'DET': -5.4140625, 'SVA': -4.65625}",G,"{'G': 6.30078125, 'PREP': -0.07666015625, 'DET': -6.6875, 'SVA': -4.07421875}"
"On behalf of all the students, I thank you for organizing our trip to London and for the really interesting programme you propose for us as well.",G,Preposition_Replacing,PREP,"{'G': 2.51171875, 'PREP': 3.451171875, 'DET': -4.5234375, 'SVA': -3.966796875}",PREP,"{'G': 3.43359375, 'PREP': 4.78515625, 'DET': -5.1015625, 'SVA': -4.32421875}",PREP,"{'G': 3.513671875, 'PREP': 3.623046875, 'DET': -6.859375, 'SVA': -5.3046875}"
The person bores Kevin.,SVA,irregular_plural_subject_verb_agreement_2,G,"{'G': 5.0859375, 'PREP': -2.37890625, 'DET': -4.87109375, 'SVA': -1.798828125}",G,"{'G': 6.0, 'PREP': -2.921875, 'DET': -5.296875, 'SVA': -0.1348876953125}",G,"{'G': 6.98046875, 'PREP': -2.77734375, 'DET': -5.10546875, 'SVA': -2.3125}"
I attended your festival and I would like to give you my suggestions for it.,G,Preposition_Replacing,PREP,"{'G': 2.5703125, 'PREP': 3.390625, 'DET': -4.28125, 'SVA': -4.1796875}",PREP,"{'G': 3.35546875, 'PREP': 4.80078125, 'DET': -5.01953125, 'SVA': -4.28125}",PREP,"{'G': 1.6171875, 'PREP': 5.56640625, 'DET': -6.3671875, 'SVA': -5.5546875}"
"People have invented such things as TV, radio, telephones and so on which made us able to hear the news quickly and stay in touch with people easily.",G,Preposition_Replacing,PREP,"{'G': 2.544921875, 'PREP': 3.431640625, 'DET': -4.3046875, 'SVA': -4.15625}",PREP,"{'G': 3.353515625, 'PREP': 4.796875, 'DET': -5.0390625, 'SVA': -4.26171875}",PREP,"{'G': 2.265625, 'PREP': 5.140625, 'DET': -6.72265625, 'SVA': -5.7421875}"
The truth of Shopping,PREP,Preposition_Replacing,SVA,"{'G': 0.47705078125, 'PREP': -2.91015625, 'DET': -3.001953125, 'SVA': 5.19921875}",SVA,"{'G': 0.09027099609375, 'PREP': -2.626953125, 'DET': -5.16015625, 'SVA': 6.3515625}",SVA,"{'G': -1.3173828125, 'PREP': -1.53125, 'DET': -4.41796875, 'SVA': 7.9765625}"
"Not only is it a simple job, but also you can enjoy working with a lot of colleagues your age.",G,Preposition_Unnecessary,PREP,"{'G': 2.51171875, 'PREP': 3.4453125, 'DET': -4.34375, 'SVA': -4.10546875}",PREP,"{'G': 4.2734375, 'PREP': 4.3359375, 'DET': -5.56640625, 'SVA': -4.8671875}",PREP,"{'G': 2.728515625, 'PREP': 4.59375, 'DET': -6.6796875, 'SVA': -5.58984375}"
I hope that you will agree with this suggestion.,PREP,Preposition_Replacing,G,"{'G': 3.830078125, 'PREP': 1.8564453125, 'DET': -5.02734375, 'SVA': -4.06640625}",G,"{'G': 5.95703125, 'PREP': 0.79638671875, 'DET': -5.7265625, 'SVA': -3.673828125}",G,"{'G': 6.36328125, 'PREP': -0.1796875, 'DET': -6.5703125, 'SVA': -4.1015625}"
"Now, it is important in the transport of thousands and thousands of people around the world.",G,Preposition_Unnecessary,PREP,"{'G': 2.404296875, 'PREP': 3.505859375, 'DET': -4.58203125, 'SVA': -3.822265625}",PREP,"{'G': 3.494140625, 'PREP': 4.78125, 'DET': -5.05078125, 'SVA': -4.43359375}",PREP,"{'G': 2.376953125, 'PREP': 4.9921875, 'DET': -6.74609375, 'SVA': -5.69140625}"
Some actresses distract Michael.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.86328125, 'PREP': -2.5625, 'DET': -4.7109375, 'SVA': -1.3291015625}",G,"{'G': 6.65625, 'PREP': -2.630859375, 'DET': -4.15625, 'SVA': -2.2109375}",G,"{'G': 6.640625, 'PREP': -2.888671875, 'DET': -5.1953125, 'SVA': -1.5576171875}"
"First of all, I would like to give you some further information about me and secondly, I'd like to ask you about some concerns that I have.",G,Preposition_Replacing,PREP,"{'G': 2.69140625, 'PREP': 3.33984375, 'DET': -4.62890625, 'SVA': -4.03515625}",PREP,"{'G': 3.873046875, 'PREP': 4.62109375, 'DET': -5.2578125, 'SVA': -4.68359375}",PREP,"{'G': 2.072265625, 'PREP': 5.30859375, 'DET': -6.65625, 'SVA': -5.73046875}"
"Maybe it was the wrong decision to tell her. She began to share that secret to everybody, including the teachers.",PREP,Preposition_Replacing,G,"{'G': 3.041015625, 'PREP': 3.0234375, 'DET': -4.7578125, 'SVA': -4.1484375}",G,"{'G': 5.22265625, 'PREP': 2.705078125, 'DET': -5.62109375, 'SVA': -4.65234375}",G,"{'G': 6.15234375, 'PREP': 0.1414794921875, 'DET': -6.71875, 'SVA': -4.16796875}"
The sea is also polluted by oil and the chemical detergents which are used at the home.,PREP,Preposition_Replacing,G,"{'G': 4.8828125, 'PREP': -1.0634765625, 'DET': -4.71875, 'SVA': -3.072265625}",G,"{'G': 4.6796875, 'PREP': 3.857421875, 'DET': -5.58984375, 'SVA': -4.98828125}",G,"{'G': 4.73828125, 'PREP': 1.6328125, 'DET': -6.56640625, 'SVA': -4.3125}"
The students can get there on the No 35 bus.,G,Preposition_Replacing,PREP,"{'G': 2.576171875, 'PREP': 2.91796875, 'DET': -3.06640625, 'SVA': -4.72265625}",PREP,"{'G': 3.1796875, 'PREP': 4.8125, 'DET': -4.95703125, 'SVA': -4.11328125}",PREP,"{'G': 2.75390625, 'PREP': 4.5234375, 'DET': -6.72265625, 'SVA': -5.5703125}"
report by the group leader,G,Preposition_Replacing,PREP,"{'G': 2.388671875, 'PREP': 3.474609375, 'DET': -4.87109375, 'SVA': -3.53125}",PREP,"{'G': -0.2188720703125, 'PREP': 3.62890625, 'DET': -4.23828125, 'SVA': 0.541015625}",PREP,"{'G': 1.333984375, 'PREP': 5.546875, 'DET': -6.12109375, 'SVA': -5.19921875}"
I am writing to express my dissatisfaction with the show you put on two weeks ago at your theatre.,G,Preposition_Replacing,PREP,"{'G': 2.546875, 'PREP': 3.4453125, 'DET': -4.44140625, 'SVA': -4.05859375}",PREP,"{'G': 3.283203125, 'PREP': 4.8046875, 'DET': -5.00390625, 'SVA': -4.2109375}",PREP,"{'G': 1.8564453125, 'PREP': 5.45703125, 'DET': -6.5078125, 'SVA': -5.69921875}"
I am a student in the English class.,G,Preposition_Replacing,PREP,"{'G': 2.173828125, 'PREP': 3.61328125, 'DET': -4.13671875, 'SVA': -3.92578125}",PREP,"{'G': 2.927734375, 'PREP': 4.78515625, 'DET': -4.87109375, 'SVA': -3.849609375}",PREP,"{'G': 2.041015625, 'PREP': 5.3203125, 'DET': -6.63671875, 'SVA': -5.6953125}"
