text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"Firstly, Palace Hotel has been booked for the group's accommodation and I spoke with the hotel manager about travelling to the conference.",G,Preposition_Unnecessary,PREP,"{'G': 3.009765625, 'PREP': 3.07421875, 'DET': -4.8203125, 'SVA': -4.09765625}",G,"{'G': 4.55078125, 'PREP': 3.984375, 'DET': -5.62109375, 'SVA': -4.84375}",G,"{'G': 5.1953125, 'PREP': 1.287109375, 'DET': -6.71484375, 'SVA': -4.37890625}"
"Now, I am writing to you to ask for some details about these two weeks at Camp California and to give you some answers to your questions.",G,Preposition_Missing,PREP,"{'G': 2.732421875, 'PREP': 3.30078125, 'DET': -4.5859375, 'SVA': -4.09375}",G,"{'G': 4.3984375, 'PREP': 4.19140625, 'DET': -5.58203125, 'SVA': -4.8515625}",G,"{'G': 5.328125, 'PREP': 1.16015625, 'DET': -6.7421875, 'SVA': -4.34765625}"
"I am not very good at painting, but I choose it because it is a good opportunity to do it.",G,Preposition_Missing,PREP,"{'G': 2.41796875, 'PREP': 3.509765625, 'DET': -4.3125, 'SVA': -4.03515625}",G,"{'G': 4.37890625, 'PREP': 4.20703125, 'DET': -5.53125, 'SVA': -4.859375}",G,"{'G': 5.06640625, 'PREP': 1.34375, 'DET': -6.63671875, 'SVA': -4.328125}"
I wonder if you could explain to me why.,G,Preposition_Missing,PREP,"{'G': 2.513671875, 'PREP': 3.451171875, 'DET': -4.34375, 'SVA': -4.09375}",G,"{'G': 4.48046875, 'PREP': 4.00390625, 'DET': -5.65625, 'SVA': -4.75390625}",G,"{'G': 5.88671875, 'PREP': 0.46484375, 'DET': -6.75390625, 'SVA': -4.1640625}"
"It is a really good opportunity to go because most of us are studying fashion design, and we can learn loads of things there.",G,Preposition_Unnecessary,PREP,"{'G': 2.48828125, 'PREP': 3.45703125, 'DET': -4.31640625, 'SVA': -4.09765625}",G,"{'G': 4.48046875, 'PREP': 4.1171875, 'DET': -5.51171875, 'SVA': -4.9609375}",G,"{'G': 5.1328125, 'PREP': 1.2607421875, 'DET': -6.6640625, 'SVA': -4.265625}"
"Second, I don't like tents and I can't get used to them, so I prefer log cabins.",G,Preposition_Unnecessary,PREP,"{'G': 2.708984375, 'PREP': 3.349609375, 'DET': -4.6328125, 'SVA': -4.046875}",G,"{'G': 4.31640625, 'PREP': 4.25390625, 'DET': -5.62109375, 'SVA': -4.76953125}",G,"{'G': 5.44140625, 'PREP': 1.017578125, 'DET': -6.72265625, 'SVA': -4.33984375}"
I felt very disappointed then but I have learned something new about humans ; it is that you can only trust yourself.,G,Preposition_Missing,PREP,"{'G': 2.841796875, 'PREP': 3.06640625, 'DET': -4.10546875, 'SVA': -4.4375}",G,"{'G': 4.70703125, 'PREP': 3.7265625, 'DET': -5.47265625, 'SVA': -4.953125}",G,"{'G': 5.06640625, 'PREP': 1.341796875, 'DET': -6.68359375, 'SVA': -4.3125}"
I am writing to you because my class want to give a surprise birthday party for your husband Mr Brown.,G,Preposition_Missing,PREP,"{'G': 2.87890625, 'PREP': 3.173828125, 'DET': -4.6484375, 'SVA': -4.1328125}",G,"{'G': 4.54296875, 'PREP': 3.912109375, 'DET': -5.73046875, 'SVA': -4.703125}",G,"{'G': 5.88671875, 'PREP': 0.438720703125, 'DET': -6.78125, 'SVA': -4.08203125}"
I would like you to give me my money back.,G,Preposition_Unnecessary,PREP,"{'G': 1.619140625, 'PREP': 3.59375, 'DET': -2.482421875, 'SVA': -4.421875}",G,"{'G': 4.37890625, 'PREP': 3.984375, 'DET': -5.6875, 'SVA': -4.6640625}",G,"{'G': 4.984375, 'PREP': 1.357421875, 'DET': -6.63671875, 'SVA': -4.23046875}"
The problem with this job is that you have to deal with huge numbers of people.,G,Preposition_Replacing,PREP,"{'G': 2.92578125, 'PREP': 3.12109375, 'DET': -4.69140625, 'SVA': -4.1328125}",G,"{'G': 5.02734375, 'PREP': 3.181640625, 'DET': -6.01171875, 'SVA': -4.52734375}",G,"{'G': 5.203125, 'PREP': 1.3037109375, 'DET': -6.73046875, 'SVA': -4.3984375}"
