text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"They like designer clothes and everyone wears different modern clothes in terms of size, colour and shape.",G,Preposition_Unnecessary,PREP,"{'G': 2.62109375, 'PREP': 3.31640625, 'DET': -4.078125, 'SVA': -4.3125}",PREP,"{'G': 3.3984375, 'PREP': 4.79296875, 'DET': -4.98828125, 'SVA': -4.359375}",G,"{'G': 4.8203125, 'PREP': 1.576171875, 'DET': -6.59375, 'SVA': -4.328125}"
I don't think I'll have the chance to do it again in the future.,G,Preposition_Unnecessary,PREP,"{'G': 2.36328125, 'PREP': 3.501953125, 'DET': -4.1015625, 'SVA': -4.125}",PREP,"{'G': 3.541015625, 'PREP': 4.7578125, 'DET': -5.1796875, 'SVA': -4.40234375}",G,"{'G': 6.3515625, 'PREP': -0.030853271484375, 'DET': -6.69921875, 'SVA': -4.203125}"
"The next thing - I would prefer to spend all the nights in a tent, so I can move it to the place that will suit me best. I like to wake up with a view of mountains, which reminds me of my 5 years' experience of climbing.",G,Preposition_Replacing,PREP,"{'G': 2.52734375, 'PREP': 3.447265625, 'DET': -4.46875, 'SVA': -4.03515625}",PREP,"{'G': 3.435546875, 'PREP': 4.79296875, 'DET': -5.0859375, 'SVA': -4.3359375}",G,"{'G': 3.740234375, 'PREP': 3.345703125, 'DET': -6.81640625, 'SVA': -5.1640625}"
"If I was asked to choose the least attractive thing that I have to do on an everyday basis, shopping would most definitely be placed somewhere at the top of the list.",G,Preposition_Replacing,PREP,"{'G': 2.935546875, 'PREP': 3.134765625, 'DET': -4.68359375, 'SVA': -4.16015625}",PREP,"{'G': 3.884765625, 'PREP': 4.60546875, 'DET': -5.28515625, 'SVA': -4.68359375}",G,"{'G': 5.54296875, 'PREP': 1.0029296875, 'DET': -6.80078125, 'SVA': -4.390625}"
Whatever we need we order via the computer and someone will bring it.,G,Preposition_Unnecessary,PREP,"{'G': 2.505859375, 'PREP': 3.455078125, 'DET': -4.3359375, 'SVA': -4.0859375}",PREP,"{'G': 3.880859375, 'PREP': 4.61328125, 'DET': -5.33984375, 'SVA': -4.69921875}",G,"{'G': 4.53515625, 'PREP': 1.86328125, 'DET': -6.58203125, 'SVA': -4.40234375}"
"Therefore I am thinking of selling my car, which has changed my life over the last 10 years, which has given me a kind of freedom, which has gone with me to all sorts of fantastic places, and changed my life for a new life : without a car.",G,Preposition_Replacing,PREP,"{'G': 2.525390625, 'PREP': 3.453125, 'DET': -4.453125, 'SVA': -4.04296875}",PREP,"{'G': 3.46875, 'PREP': 4.78515625, 'DET': -5.08203125, 'SVA': -4.37109375}",G,"{'G': 4.2109375, 'PREP': 2.291015625, 'DET': -6.55078125, 'SVA': -4.61328125}"
"I am writing in reply to your letter, which I received last week, and in fact I am very surprised and pleased with the prize.",G,Preposition_Replacing,PREP,"{'G': 2.55078125, 'PREP': 3.44140625, 'DET': -4.5390625, 'SVA': -3.986328125}",PREP,"{'G': 4.07421875, 'PREP': 4.48046875, 'DET': -5.46484375, 'SVA': -4.74609375}",G,"{'G': 5.921875, 'PREP': 0.486328125, 'DET': -6.765625, 'SVA': -4.2265625}"
"I would choose the month of July, because I'm free at this time from family duties.",G,Preposition_Missing,PREP,"{'G': 2.8046875, 'PREP': 3.279296875, 'DET': -4.70703125, 'SVA': -4.07421875}",PREP,"{'G': 3.935546875, 'PREP': 4.55859375, 'DET': -5.17578125, 'SVA': -4.7890625}",G,"{'G': 5.76171875, 'PREP': 0.5966796875, 'DET': -6.69921875, 'SVA': -4.21875}"
Young people especially spend many hours on the telephone and that causes trouble for their parents.,G,Preposition_Missing,PREP,"{'G': 2.685546875, 'PREP': 3.294921875, 'DET': -4.3984375, 'SVA': -4.17578125}",PREP,"{'G': 3.392578125, 'PREP': 4.80078125, 'DET': -5.03515625, 'SVA': -4.32421875}",G,"{'G': 3.900390625, 'PREP': 3.150390625, 'DET': -6.83203125, 'SVA': -5.17578125}"
I think it would be better for me to travel in July.,G,Preposition_Replacing,PREP,"{'G': 2.447265625, 'PREP': 3.498046875, 'DET': -4.42578125, 'SVA': -3.978515625}",PREP,"{'G': 3.333984375, 'PREP': 4.8046875, 'DET': -5.02734375, 'SVA': -4.24609375}",G,"{'G': 6.15234375, 'PREP': 0.060272216796875, 'DET': -6.6640625, 'SVA': -4.06640625}"
"I am writing to tell you about my experience at the pop concert last month, where I was helping my friend Nick, who was the bouncer at the venue.",G,Preposition_Replacing,PREP,"{'G': 2.72265625, 'PREP': 3.330078125, 'DET': -4.6796875, 'SVA': -4.01953125}",PREP,"{'G': 3.75, 'PREP': 4.6875, 'DET': -5.328125, 'SVA': -4.546875}",G,"{'G': 5.59765625, 'PREP': 0.88330078125, 'DET': -6.78515625, 'SVA': -4.3046875}"
"With reference to the date, I can only go in July, as I'm going off on holiday in August, and I start university in September.",G,Preposition_Replacing,PREP,"{'G': 2.4375, 'PREP': 3.498046875, 'DET': -4.33203125, 'SVA': -4.0390625}",PREP,"{'G': 3.900390625, 'PREP': 4.59765625, 'DET': -5.46484375, 'SVA': -4.59765625}",G,"{'G': 4.640625, 'PREP': 1.541015625, 'DET': -6.48828125, 'SVA': -4.09375}"
"But how does it affect my daily life? I get up in the morning with the soft sound of a radio programme, not the sound of an alarm clock and eat my breakfast watching TV news.",G,Preposition_Unnecessary,PREP,"{'G': 2.521484375, 'PREP': 3.4609375, 'DET': -4.48828125, 'SVA': -4.015625}",PREP,"{'G': 3.369140625, 'PREP': 4.796875, 'DET': -5.01953125, 'SVA': -4.296875}",G,"{'G': 4.44140625, 'PREP': 1.8740234375, 'DET': -6.48046875, 'SVA': -4.328125}"
"From the activities, I would choose painting - which I am keen on and I have done several courses - and Photography - about which I know just the basic skills.",G,Preposition_Replacing,PREP,"{'G': 2.61328125, 'PREP': 3.40625, 'DET': -4.62109375, 'SVA': -3.990234375}",PREP,"{'G': 3.796875, 'PREP': 4.65625, 'DET': -5.21484375, 'SVA': -4.6640625}",G,"{'G': 4.171875, 'PREP': 2.447265625, 'DET': -6.63671875, 'SVA': -4.6875}"
In the letter you ask when I would like to go.,G,Preposition_Replacing,PREP,"{'G': 2.693359375, 'PREP': 3.318359375, 'DET': -4.57421875, 'SVA': -4.08203125}",PREP,"{'G': 3.083984375, 'PREP': 4.7890625, 'DET': -4.96875, 'SVA': -4.0}",G,"{'G': 5.10546875, 'PREP': 1.25390625, 'DET': -6.6328125, 'SVA': -4.265625}"
"I would like to answer your questions. Please note that I can travel only in July because only then can I take holidays from my work, after the busy time in the months of May and June.",G,Preposition_Missing,PREP,"{'G': 2.57421875, 'PREP': 3.427734375, 'DET': -4.48046875, 'SVA': -4.05078125}",PREP,"{'G': 3.396484375, 'PREP': 4.796875, 'DET': -5.04296875, 'SVA': -4.30859375}",G,"{'G': 5.67578125, 'PREP': 0.669921875, 'DET': -6.71484375, 'SVA': -4.1640625}"
"At the same time, I have got a small amount of money, but it was not important to me.",G,Preposition_Replacing,PREP,"{'G': 2.44921875, 'PREP': 3.490234375, 'DET': -4.453125, 'SVA': -3.962890625}",PREP,"{'G': 3.615234375, 'PREP': 4.73828125, 'DET': -5.25, 'SVA': -4.4453125}",G,"{'G': 4.73046875, 'PREP': 1.62109375, 'DET': -6.55859375, 'SVA': -4.31640625}"
Modern technology helps me when I do my homework and play some games etc.,G,Preposition_Unnecessary,PREP,"{'G': 2.48046875, 'PREP': 3.44921875, 'DET': -4.08984375, 'SVA': -4.25390625}",PREP,"{'G': 3.2109375, 'PREP': 4.8125, 'DET': -4.96875, 'SVA': -4.14453125}",G,"{'G': 4.7109375, 'PREP': 1.677734375, 'DET': -6.578125, 'SVA': -4.3671875}"
"Last month, Alice and her friends suggested to me that I help at a pop concert.",G,Preposition_Missing,PREP,"{'G': 2.80859375, 'PREP': 3.236328125, 'DET': -4.5078125, 'SVA': -4.19921875}",PREP,"{'G': 3.80078125, 'PREP': 4.6640625, 'DET': -5.33984375, 'SVA': -4.578125}",G,"{'G': 5.171875, 'PREP': 1.333984375, 'DET': -6.72265625, 'SVA': -4.37109375}"
I think that the most important piece of modern technology these days is the Internet.,G,Preposition_Unnecessary,PREP,"{'G': 2.1484375, 'PREP': 3.568359375, 'DET': -3.623046875, 'SVA': -4.25}",PREP,"{'G': 3.30859375, 'PREP': 4.80859375, 'DET': -4.99609375, 'SVA': -4.23828125}",G,"{'G': 4.86328125, 'PREP': 1.5888671875, 'DET': -6.6328125, 'SVA': -4.41015625}"
"And because of these circumstances, I would like to have a part of my money back.",G,Preposition_Missing,PREP,"{'G': 2.603515625, 'PREP': 3.3984375, 'DET': -4.484375, 'SVA': -4.0703125}",PREP,"{'G': 3.736328125, 'PREP': 4.6875, 'DET': -5.2578125, 'SVA': -4.578125}",G,"{'G': 4.8203125, 'PREP': 1.5771484375, 'DET': -6.60546875, 'SVA': -4.3515625}"
"I also would prefer to sleep in tents, which are more comfortable, and, because I have been doing lots of camping, I am quite used to this kind of accommodation.",G,Preposition_Replacing,PREP,"{'G': 2.56640625, 'PREP': 3.427734375, 'DET': -4.44140625, 'SVA': -4.0859375}",PREP,"{'G': 3.791015625, 'PREP': 4.65625, 'DET': -5.26953125, 'SVA': -4.61328125}",G,"{'G': 5.16015625, 'PREP': 1.271484375, 'DET': -6.66796875, 'SVA': -4.34765625}"
I wondered why I made the mistake of inviting Pat.,G,Preposition_Missing,PREP,"{'G': 2.634765625, 'PREP': 3.39453125, 'DET': -4.60546875, 'SVA': -4.0}",PREP,"{'G': 4.19921875, 'PREP': 4.36328125, 'DET': -5.76171875, 'SVA': -4.62109375}",G,"{'G': 6.52734375, 'PREP': -0.48828125, 'DET': -6.55859375, 'SVA': -3.91796875}"
I have received your letter dated the 12th of June 2001.,G,Preposition_Unnecessary,PREP,"{'G': 2.671875, 'PREP': 3.345703125, 'DET': -4.421875, 'SVA': -4.15625}",PREP,"{'G': 3.4296875, 'PREP': 4.7890625, 'DET': -5.13671875, 'SVA': -4.33203125}",G,"{'G': 4.91796875, 'PREP': 1.40625, 'DET': -6.54296875, 'SVA': -4.25}"
"As a result of this, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in class.",G,Preposition_Missing,PREP,"{'G': 2.568359375, 'PREP': 3.400390625, 'DET': -4.375, 'SVA': -4.1328125}",PREP,"{'G': 3.822265625, 'PREP': 4.55078125, 'DET': -5.35546875, 'SVA': -4.5546875}",G,"{'G': 5.453125, 'PREP': 1.1103515625, 'DET': -6.81640625, 'SVA': -4.45703125}"
"First, thank you for your programme.",G,Preposition_Unnecessary,PREP,"{'G': 2.384765625, 'PREP': 3.4921875, 'DET': -4.25390625, 'SVA': -4.046875}",PREP,"{'G': 3.240234375, 'PREP': 4.80078125, 'DET': -5.0, 'SVA': -4.17578125}",G,"{'G': 4.46484375, 'PREP': 1.94921875, 'DET': -6.55859375, 'SVA': -4.43359375}"
"As I knew the techniques to break into a place without being noticed, I should not have been afraid but tonight I had to steal the most precious diamond in the country, which was very well protected.",G,Preposition_Replacing,PREP,"{'G': 2.642578125, 'PREP': 3.373046875, 'DET': -4.46875, 'SVA': -4.1171875}",PREP,"{'G': 3.580078125, 'PREP': 4.76171875, 'DET': -5.1640625, 'SVA': -4.46484375}",G,"{'G': 4.5390625, 'PREP': 1.8955078125, 'DET': -6.5546875, 'SVA': -4.484375}"
"In addition to all this, there was no discount on the price of the tickets for students either, contrary to what I was told on the phone when I asked for more information.",G,Preposition_Replacing,PREP,"{'G': 2.650390625, 'PREP': 3.37890625, 'DET': -4.58984375, 'SVA': -4.046875}",PREP,"{'G': 3.818359375, 'PREP': 4.640625, 'DET': -5.40234375, 'SVA': -4.55078125}",G,"{'G': 4.90234375, 'PREP': 1.533203125, 'DET': -6.60546875, 'SVA': -4.40625}"
And also I would like to go in summer.,G,Preposition_Replacing,PREP,"{'G': 2.55078125, 'PREP': 3.44921875, 'DET': -4.53125, 'SVA': -4.0078125}",PREP,"{'G': 3.568359375, 'PREP': 4.75, 'DET': -5.21875, 'SVA': -4.43359375}",G,"{'G': 5.234375, 'PREP': 1.119140625, 'DET': -6.62890625, 'SVA': -4.2421875}"
I accept and I want to inform you that I can travel only in July because I have booked my annual leave for that period.,G,Preposition_Replacing,PREP,"{'G': 2.5390625, 'PREP': 3.4375, 'DET': -4.4921875, 'SVA': -4.01171875}",PREP,"{'G': 3.39453125, 'PREP': 4.796875, 'DET': -5.04296875, 'SVA': -4.30859375}",G,"{'G': 5.0625, 'PREP': 1.1796875, 'DET': -6.56640625, 'SVA': -4.12890625}"
