text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"I thought it was a good idea to tell to Pat because we could use it to look for exams, and then we could pass all of them.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.671875, 'PREP': 3.353515625, 'DET': -4.5859375, 'SVA': -4.0390625}",G,"{'G': 4.38671875, 'PREP': 4.2421875, 'DET': -5.61328125, 'SVA': -4.8515625}",PREP,"{'G': 0.51611328125, 'PREP': 5.640625, 'DET': -5.015625, 'SVA': -4.87109375}"
"Lastly, I would like to learn that what kinds of clothes I have to bring with me and how much money (American currency - dollars) I'll need to have while I'm there.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.705078125, 'PREP': 3.302734375, 'DET': -4.515625, 'SVA': -4.11328125}",G,"{'G': 5.03125, 'PREP': 3.068359375, 'DET': -5.24609375, 'SVA': -4.97265625}",PREP,"{'G': 2.125, 'PREP': 5.265625, 'DET': -6.578125, 'SVA': -5.80078125}"
"For August, I have already made another appointment with my friends.",G,Preposition_Replacing,G,"{'G': 3.16015625, 'PREP': 2.853515625, 'DET': -4.81640625, 'SVA': -4.12890625}",PREP,"{'G': 4.21484375, 'PREP': 4.359375, 'DET': -5.63671875, 'SVA': -4.703125}",G,"{'G': 5.53515625, 'PREP': 0.90283203125, 'DET': -6.71484375, 'SVA': -4.3046875}"
"To begin with, in your advertisement you say that Danny Brooks will be starring in the show but instead there was a different actor, which made us very disappointed.",G,Preposition_Missing,G,"{'G': 3.0625, 'PREP': 2.966796875, 'DET': -4.62890625, 'SVA': -4.234375}",PREP,"{'G': 3.603515625, 'PREP': 4.74609375, 'DET': -5.1484375, 'SVA': -4.50390625}",G,"{'G': 4.80078125, 'PREP': 1.6171875, 'DET': -6.61328125, 'SVA': -4.375}"
Thank you for organising the school trip to London.,G,Preposition_Replacing,G,"{'G': 3.603515625, 'PREP': 2.265625, 'DET': -5.29296875, 'SVA': -3.896484375}",PREP,"{'G': 3.1953125, 'PREP': 4.79296875, 'DET': -5.1484375, 'SVA': -4.0390625}",G,"{'G': 5.63671875, 'PREP': 0.75244140625, 'DET': -6.83984375, 'SVA': -4.08984375}"
"Climbing is something new for me and I am not so good on it, however, I hope that I can learn about it at the Camp.",PREP,Preposition_Replacing,PREP,"{'G': 2.693359375, 'PREP': 3.33984375, 'DET': -4.5390625, 'SVA': -4.11328125}",G,"{'G': 4.63671875, 'PREP': 3.849609375, 'DET': -5.51953125, 'SVA': -4.93359375}",PREP,"{'G': 1.9052734375, 'PREP': 5.421875, 'DET': -6.58203125, 'SVA': -5.671875}"
"when I want to call someone, I don't need to look for a phone box ;",G,Preposition_Replacing,G,"{'G': 3.189453125, 'PREP': 2.865234375, 'DET': -4.85546875, 'SVA': -4.13671875}",PREP,"{'G': 4.140625, 'PREP': 4.39453125, 'DET': -5.53515625, 'SVA': -4.67578125}",G,"{'G': 5.640625, 'PREP': 0.82666015625, 'DET': -6.7578125, 'SVA': -4.34375}"
"Second, I went to the theatre exactly seven thirty in the evening.",PREP,Preposition_Missing,PREP,"{'G': 2.44921875, 'PREP': 3.4921875, 'DET': -4.390625, 'SVA': -4.01953125}",G,"{'G': 4.609375, 'PREP': 3.80078125, 'DET': -5.82421875, 'SVA': -4.640625}",PREP,"{'G': 2.193359375, 'PREP': 5.2109375, 'DET': -6.73046875, 'SVA': -5.71875}"
I am looking forward to hearing you very soon.,PREP,Preposition_Missing,PREP,"{'G': 2.56640625, 'PREP': 3.3125, 'DET': -3.974609375, 'SVA': -4.3515625}",G,"{'G': 5.02734375, 'PREP': 2.447265625, 'DET': -6.25390625, 'SVA': -3.67578125}",PREP,"{'G': 1.212890625, 'PREP': 5.7265625, 'DET': -5.80078125, 'SVA': -5.578125}"
I am thinking mostly of computers.,G,Preposition_Replacing,G,"{'G': 4.21875, 'PREP': 0.9658203125, 'DET': -4.9140625, 'SVA': -3.888671875}",PREP,"{'G': 3.126953125, 'PREP': 4.6953125, 'DET': -5.0703125, 'SVA': -3.931640625}",G,"{'G': 4.86328125, 'PREP': 1.3876953125, 'DET': -6.5, 'SVA': -4.13671875}"
