text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"So, I think July is the best time to go to the Camp.",G,Preposition_Replacing,PREP,"{'G': 2.583984375, 'PREP': 3.431640625, 'DET': -4.54296875, 'SVA': -4.03515625}",PREP,"{'G': 3.7421875, 'PREP': 4.671875, 'DET': -5.30078125, 'SVA': -4.5625}",G,"{'G': 5.828125, 'PREP': 0.5107421875, 'DET': -6.73828125, 'SVA': -4.17578125}"
"So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday.",G,Preposition_Replacing,PREP,"{'G': 2.5703125, 'PREP': 3.4140625, 'DET': -4.5703125, 'SVA': -3.982421875}",PREP,"{'G': 3.96875, 'PREP': 4.546875, 'DET': -5.453125, 'SVA': -4.65234375}",G,"{'G': 4.4921875, 'PREP': 1.83203125, 'DET': -6.484375, 'SVA': -4.375}"
"About the activities that I have to choose, I have to say that it is quite difficult for me because I really like sports, but I think the best option is swimming because I have been doing it for 5 years so I want to keep at it.",G,Preposition_Replacing,PREP,"{'G': 2.623046875, 'PREP': 3.392578125, 'DET': -4.5546875, 'SVA': -4.03515625}",PREP,"{'G': 3.513671875, 'PREP': 4.77734375, 'DET': -5.09765625, 'SVA': -4.4140625}",G,"{'G': 4.55078125, 'PREP': 1.884765625, 'DET': -6.58984375, 'SVA': -4.43359375}"
I am writing to you because there were deviations from the advertisement which was published in the newspaper.,G,Preposition_Replacing,PREP,"{'G': 2.62890625, 'PREP': 3.390625, 'DET': -4.5234375, 'SVA': -4.078125}",PREP,"{'G': 4.12890625, 'PREP': 4.44140625, 'DET': -5.41015625, 'SVA': -4.7890625}",G,"{'G': 6.0546875, 'PREP': 0.3037109375, 'DET': -6.72265625, 'SVA': -4.171875}"
Then we thought about going swimming to talk about some things.,G,Preposition_Unnecessary,PREP,"{'G': 2.83203125, 'PREP': 3.15625, 'DET': -4.27734375, 'SVA': -4.33984375}",PREP,"{'G': 4.03515625, 'PREP': 4.4921875, 'DET': -5.34765625, 'SVA': -4.7890625}",G,"{'G': 5.02734375, 'PREP': 1.28515625, 'DET': -6.55859375, 'SVA': -4.2109375}"
I have always been interested in arts and festivals.,G,Preposition_Missing,PREP,"{'G': 2.224609375, 'PREP': 3.591796875, 'DET': -4.078125, 'SVA': -4.01953125}",PREP,"{'G': 3.263671875, 'PREP': 4.8125, 'DET': -5.00390625, 'SVA': -4.1796875}",G,"{'G': 5.06640625, 'PREP': 1.2900390625, 'DET': -6.6328125, 'SVA': -4.28125}"
"Firstly, the most suitable month would be July because I am very busy with my work now, and my children are on holiday then.",G,Preposition_Replacing,PREP,"{'G': 2.568359375, 'PREP': 3.419921875, 'DET': -4.484375, 'SVA': -4.03515625}",PREP,"{'G': 3.380859375, 'PREP': 4.80078125, 'DET': -5.046875, 'SVA': -4.29296875}",G,"{'G': 5.625, 'PREP': 0.82861328125, 'DET': -6.76171875, 'SVA': -4.28125}"
Most students in our class are studying Fashion full - time.,G,Preposition_Unnecessary,PREP,"{'G': 2.580078125, 'PREP': 3.34375, 'DET': -4.19140625, 'SVA': -4.21484375}",PREP,"{'G': 3.185546875, 'PREP': 4.8125, 'DET': -4.98828125, 'SVA': -4.1171875}",G,"{'G': 5.34375, 'PREP': 1.0068359375, 'DET': -6.65625, 'SVA': -4.171875}"
So I am quite confident at this.,G,Preposition_Replacing,PREP,"{'G': 2.4140625, 'PREP': 3.51171875, 'DET': -4.22265625, 'SVA': -4.1015625}",PREP,"{'G': 4.16015625, 'PREP': 4.390625, 'DET': -5.34375, 'SVA': -4.87109375}",G,"{'G': 5.33203125, 'PREP': 1.17578125, 'DET': -6.64453125, 'SVA': -4.47265625}"
All day I speak with the majority of my colleagues by telephone or e - mail.,G,Preposition_Unnecessary,PREP,"{'G': 2.5859375, 'PREP': 3.4296875, 'DET': -4.546875, 'SVA': -4.0234375}",PREP,"{'G': 3.826171875, 'PREP': 4.57421875, 'DET': -5.28125, 'SVA': -4.6328125}",G,"{'G': 5.28125, 'PREP': 1.1357421875, 'DET': -6.67578125, 'SVA': -4.27734375}"
"Firstly, we got our tickets at your ticket office just one hour before the show.",G,Preposition_Replacing,PREP,"{'G': 2.529296875, 'PREP': 3.443359375, 'DET': -4.44140625, 'SVA': -4.03515625}",PREP,"{'G': 3.662109375, 'PREP': 4.7265625, 'DET': -5.20703125, 'SVA': -4.54296875}",G,"{'G': 4.3359375, 'PREP': 2.111328125, 'DET': -6.53125, 'SVA': -4.53125}"
"I also would prefer to sleep in tents, which are more comfortable, and, because I have been doing lots of camping, I am quite used to this kind of accommodation.",G,Preposition_Replacing,PREP,"{'G': 2.56640625, 'PREP': 3.427734375, 'DET': -4.44140625, 'SVA': -4.0859375}",PREP,"{'G': 3.791015625, 'PREP': 4.65625, 'DET': -5.26953125, 'SVA': -4.61328125}",G,"{'G': 5.16015625, 'PREP': 1.271484375, 'DET': -6.66796875, 'SVA': -4.34765625}"
"However, we'd like to ask about London Fashion and Leisure Show that we've seen an advertisement for in this week's college newspaper. We would appreciate it if you could give us a chance to go there while we are visiting London.",G,Preposition_Unnecessary,PREP,"{'G': 2.640625, 'PREP': 3.373046875, 'DET': -4.4921875, 'SVA': -4.08984375}",PREP,"{'G': 3.919921875, 'PREP': 4.58203125, 'DET': -5.34765625, 'SVA': -4.6875}",G,"{'G': 5.390625, 'PREP': 1.09375, 'DET': -6.72265625, 'SVA': -4.3671875}"
"1. First of all, I was really furious of watching a show starring a different actor, instead of Danny Brook,",PREP,Preposition_Replacing,G,"{'G': 3.140625, 'PREP': 2.931640625, 'DET': -4.8515625, 'SVA': -4.140625}",G,"{'G': 4.8203125, 'PREP': 3.587890625, 'DET': -5.765625, 'SVA': -4.765625}",PREP,"{'G': 1.306640625, 'PREP': 5.671875, 'DET': -5.98046875, 'SVA': -5.49609375}"
I am only available in July. Is that okay for you?,G,Preposition_Replacing,PREP,"{'G': 2.640625, 'PREP': 3.3828125, 'DET': -4.47265625, 'SVA': -4.1171875}",PREP,"{'G': 3.37109375, 'PREP': 4.796875, 'DET': -5.015625, 'SVA': -4.3046875}",G,"{'G': 6.07421875, 'PREP': 0.1678466796875, 'DET': -6.62109375, 'SVA': -4.15234375}"
"It wasn't difficult to find the right hall for the shows, I would say it was very well organised.",G,Preposition_Replacing,PREP,"{'G': 2.5078125, 'PREP': 3.462890625, 'DET': -4.2734375, 'SVA': -4.15625}",PREP,"{'G': 3.984375, 'PREP': 4.54296875, 'DET': -5.37109375, 'SVA': -4.74609375}",G,"{'G': 4.57421875, 'PREP': 1.880859375, 'DET': -6.56640625, 'SVA': -4.4921875}"
This is the first time in my life that I won anything like that.,G,Preposition_Replacing,PREP,"{'G': 2.43359375, 'PREP': 3.49609375, 'DET': -4.39453125, 'SVA': -3.986328125}",PREP,"{'G': 3.380859375, 'PREP': 4.80078125, 'DET': -5.05078125, 'SVA': -4.30078125}",G,"{'G': 4.56640625, 'PREP': 1.8046875, 'DET': -6.51953125, 'SVA': -4.40625}"
"What are clothes going to look like a century from now? Are they going to be the same, are they going to be colourful, are men going to wear long skirts and women boxer shorts?",G,Preposition_Missing,PREP,"{'G': 2.8671875, 'PREP': 3.146484375, 'DET': -4.5859375, 'SVA': -4.13671875}",PREP,"{'G': 4.17578125, 'PREP': 4.42578125, 'DET': -5.25, 'SVA': -4.984375}",G,"{'G': 4.73046875, 'PREP': 1.7158203125, 'DET': -6.58984375, 'SVA': -4.3828125}"
"I would like to stress that very often famous people become reserved, bad - tempered and angry with the world for interfering in their lives.",G,Preposition_Replacing,PREP,"{'G': 2.759765625, 'PREP': 3.26171875, 'DET': -4.47265625, 'SVA': -4.1953125}",PREP,"{'G': 3.529296875, 'PREP': 4.765625, 'DET': -5.08984375, 'SVA': -4.44921875}",G,"{'G': 4.859375, 'PREP': 1.5390625, 'DET': -6.6171875, 'SVA': -4.32421875}"
I think that the most important piece of modern technology these days is the Internet.,G,Preposition_Unnecessary,PREP,"{'G': 2.1484375, 'PREP': 3.568359375, 'DET': -3.623046875, 'SVA': -4.25}",PREP,"{'G': 3.30859375, 'PREP': 4.80859375, 'DET': -4.99609375, 'SVA': -4.23828125}",G,"{'G': 4.86328125, 'PREP': 1.5888671875, 'DET': -6.6328125, 'SVA': -4.41015625}"
From my point of view I can complain only about the small concert hall and the fact there were artists from only six countries.,G,Preposition_Replacing,PREP,"{'G': 2.517578125, 'PREP': 3.4609375, 'DET': -4.52734375, 'SVA': -3.9765625}",PREP,"{'G': 3.71484375, 'PREP': 4.6953125, 'DET': -5.23828125, 'SVA': -4.55859375}",G,"{'G': 5.0625, 'PREP': 1.3623046875, 'DET': -6.66796875, 'SVA': -4.31640625}"
"So, why don't we think more about the future, instead of being upset about how to get some money to pay for the next party?",G,Preposition_Replacing,PREP,"{'G': 2.525390625, 'PREP': 3.44921875, 'DET': -4.55078125, 'SVA': -3.9609375}",PREP,"{'G': 3.716796875, 'PREP': 4.7109375, 'DET': -5.22265625, 'SVA': -4.5546875}",G,"{'G': 5.48046875, 'PREP': 1.109375, 'DET': -6.80859375, 'SVA': -4.48046875}"
