text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"As requested, the aim of this report is to assess the suitability for a group of American students of the visit to the Etruscan Museum.",G,Preposition_Replacing,PREP,"{'G': 2.884765625, 'PREP': 3.103515625, 'DET': -5.24609375, 'SVA': -3.634765625}",G,"{'G': 4.80859375, 'PREP': 3.595703125, 'DET': -5.8671875, 'SVA': -4.72265625}",PREP,"{'G': 1.4267578125, 'PREP': 5.640625, 'DET': -6.1640625, 'SVA': -5.50390625}"
"When I bought my tickets, I noticed I didn't get any discount like the one that was written on the folder.",G,Preposition_Replacing,PREP,"{'G': 2.73046875, 'PREP': 3.3125, 'DET': -4.546875, 'SVA': -4.1328125}",G,"{'G': 4.4296875, 'PREP': 4.1015625, 'DET': -5.69140625, 'SVA': -4.73828125}",PREP,"{'G': 1.947265625, 'PREP': 5.40625, 'DET': -6.578125, 'SVA': -5.71875}"
My second complaint is about some the concert halls which were too small.,PREP,Preposition_Missing,G,"{'G': 4.8203125, 'PREP': -0.82666015625, 'DET': -4.4375, 'SVA': -3.494140625}",PREP,"{'G': 3.923828125, 'PREP': 4.55078125, 'DET': -5.3984375, 'SVA': -4.69140625}",G,"{'G': 5.5, 'PREP': 0.91943359375, 'DET': -6.7578125, 'SVA': -4.2109375}"
To my personal opinion one of the most important and useful things which has been invented is the car.,PREP,Preposition_Replacing,G,"{'G': 3.115234375, 'PREP': 2.904296875, 'DET': -4.63671875, 'SVA': -4.26171875}",PREP,"{'G': 3.37109375, 'PREP': 4.796875, 'DET': -5.00390625, 'SVA': -4.31640625}",G,"{'G': 4.921875, 'PREP': 1.51171875, 'DET': -6.6640625, 'SVA': -4.34375}"
"The idea of going to the science museum is fantastic. I read about the museum, and it is really interesting for the history of science.",G,Preposition_Replacing,PREP,"{'G': 2.708984375, 'PREP': 3.34765625, 'DET': -4.62109375, 'SVA': -4.0703125}",G,"{'G': 4.484375, 'PREP': 4.1328125, 'DET': -5.61328125, 'SVA': -4.890625}",PREP,"{'G': 2.193359375, 'PREP': 5.2109375, 'DET': -6.7109375, 'SVA': -5.7421875}"
I would be really happy if I could choose singing and photography from activities you have listed.,G,Preposition_Replacing,PREP,"{'G': 2.650390625, 'PREP': 3.357421875, 'DET': -4.41796875, 'SVA': -4.15625}",G,"{'G': 4.28515625, 'PREP': 4.2734375, 'DET': -5.27734375, 'SVA': -5.00390625}",PREP,"{'G': 2.0078125, 'PREP': 5.3359375, 'DET': -6.58203125, 'SVA': -5.71484375}"
You wanted to hear about my experience at the pop concert which I enjoyed helping last month?,PREP,Preposition_Missing,G,"{'G': 3.279296875, 'PREP': 2.72265625, 'DET': -4.86328125, 'SVA': -4.16015625}",PREP,"{'G': 3.822265625, 'PREP': 4.6484375, 'DET': -5.28515625, 'SVA': -4.62890625}",G,"{'G': 5.6640625, 'PREP': 0.79345703125, 'DET': -6.79296875, 'SVA': -4.26953125}"
It sounds like a summer holiday at the coast of Italy.,PREP,Preposition_Replacing,G,"{'G': 3.328125, 'PREP': 2.541015625, 'DET': -5.49609375, 'SVA': -3.533203125}",PREP,"{'G': 3.734375, 'PREP': 4.67578125, 'DET': -5.4453125, 'SVA': -4.484375}",G,"{'G': 5.62890625, 'PREP': 0.69384765625, 'DET': -6.7421875, 'SVA': -4.11328125}"
"Second, I went to the theatre at exactly seven thirty in the evening.",G,Preposition_Missing,PREP,"{'G': 2.486328125, 'PREP': 3.474609375, 'DET': -4.4375, 'SVA': -4.01953125}",G,"{'G': 4.76171875, 'PREP': 3.580078125, 'DET': -5.828125, 'SVA': -4.63671875}",PREP,"{'G': 2.669921875, 'PREP': 4.625, 'DET': -6.74609375, 'SVA': -5.59375}"
In the last forty years people seem to have become completely addicted by using their car.,PREP,Preposition_Replacing,G,"{'G': 3.53515625, 'PREP': 2.275390625, 'DET': -5.18359375, 'SVA': -3.87109375}",PREP,"{'G': 3.849609375, 'PREP': 4.62109375, 'DET': -5.26171875, 'SVA': -4.67578125}",G,"{'G': 4.3125, 'PREP': 2.2421875, 'DET': -6.58984375, 'SVA': -4.6171875}"
In fact queuing up in front of every ticket office is a waste time.,PREP,Preposition_Missing,G,"{'G': 4.08984375, 'PREP': 1.314453125, 'DET': -5.20703125, 'SVA': -3.837890625}",PREP,"{'G': 3.75, 'PREP': 4.72265625, 'DET': -5.296875, 'SVA': -4.6328125}",G,"{'G': 4.58984375, 'PREP': 1.880859375, 'DET': -6.67578125, 'SVA': -4.390625}"
"Firstly, I hoped to have a relaxing evening with your show but that didn't happen.",PREP,Preposition_Replacing,G,"{'G': 3.166015625, 'PREP': 2.880859375, 'DET': -4.88671875, 'SVA': -4.09765625}",PREP,"{'G': 4.08984375, 'PREP': 4.47265625, 'DET': -5.46875, 'SVA': -4.73046875}",G,"{'G': 4.52734375, 'PREP': 1.8291015625, 'DET': -6.4921875, 'SVA': -4.4453125}"
I know that I had to ask at my Mum or Dad about going out with my friend after school.,PREP,Preposition_Unnecessary,G,"{'G': 3.3046875, 'PREP': 2.70703125, 'DET': -4.93359375, 'SVA': -4.09765625}",PREP,"{'G': 4.26953125, 'PREP': 4.28125, 'DET': -5.59375, 'SVA': -4.73046875}",G,"{'G': 6.078125, 'PREP': 0.168701171875, 'DET': -6.69921875, 'SVA': -4.08203125}"
"However, among all of them I like swimming and tennis the best. I have a lot of experience with swimming and have represented my school before.",G,Preposition_Replacing,PREP,"{'G': 2.66796875, 'PREP': 3.365234375, 'DET': -4.5625, 'SVA': -4.05859375}",G,"{'G': 4.6484375, 'PREP': 3.783203125, 'DET': -5.59375, 'SVA': -4.83984375}",PREP,"{'G': 2.28515625, 'PREP': 5.10546875, 'DET': -6.72265625, 'SVA': -5.71484375}"
