text,labels,UID,BB_RoBERTa_preds,BB_RoBERTa_probs
The person bores Kevin.,SVA,irregular_plural_subject_verb_agreement_2,G,"{'G': 6.0, 'PREP': -2.921875, 'DET': -5.296875, 'SVA': -0.1348876953125}"
Some actresses distract Michael.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 6.65625, 'PREP': -2.630859375, 'DET': -4.15625, 'SVA': -2.2109375}"
A lot of alumni bother some hospital.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 6.68359375, 'PREP': -2.599609375, 'DET': -4.19921875, 'SVA': -2.25}"
The oases hurts this doctor.,SVA,irregular_plural_subject_verb_agreement_2,G,"{'G': 4.7109375, 'PREP': -3.23828125, 'DET': -5.70703125, 'SVA': 1.9892578125}"
Governments that praise Melissa commissions the daughters of this senator to blink.,SVA,distractor_agreement_relative_clause,G,"{'G': 5.0546875, 'PREP': -2.623046875, 'DET': -6.23046875, 'SVA': 1.2763671875}"
Andrea tour rivers.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 6.44921875, 'PREP': -2.6875, 'DET': -4.94921875, 'SVA': -1.2109375}"
Schools criticizes these glaciers.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.86328125, 'PREP': -3.041015625, 'DET': -5.02734375, 'SVA': 0.019805908203125}"
Senators listens to Janet.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.74609375, 'PREP': -3.111328125, 'DET': -5.1328125, 'SVA': 0.172607421875}"
The commentary about current events annoy Kirsten.,SVA,distractor_agreement_relational_noun,G,"{'G': 3.48046875, 'PREP': -3.53125, 'DET': -5.23046875, 'SVA': 3.458984375}"
The shawls warps.,SVA,regular_plural_subject_verb_agreement_2,G,"{'G': 5.80859375, 'PREP': -3.19140625, 'DET': -3.482421875, 'SVA': -0.92236328125}"
The glasses bothers those senators.,SVA,regular_plural_subject_verb_agreement_2,G,"{'G': 6.78515625, 'PREP': -2.2734375, 'DET': -4.8046875, 'SVA': -2.193359375}"
Senators has that carriage.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 6.51171875, 'PREP': -2.771484375, 'DET': -4.66015625, 'SVA': -1.5400390625}"
The Borgias shock Elaine.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 6.640625, 'PREP': -2.638671875, 'DET': -4.1484375, 'SVA': -2.185546875}"
Many dogs confuses those patients.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 6.109375, 'PREP': -2.857421875, 'DET': -5.1796875, 'SVA': -0.3857421875}"
Candice aren't upsetting this adult.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 6.4609375, 'PREP': -2.45703125, 'DET': -5.375, 'SVA': -1.2197265625}"
