text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"Modern technology is used all the time at home, at school or working.",PREP,Preposition_Missing,PREP,"{'G': 2.787109375, 'PREP': 3.28125, 'DET': -4.68359375, 'SVA': -4.0859375}",PREP,"{'G': 3.373046875, 'PREP': 4.8046875, 'DET': -5.03125, 'SVA': -4.30078125}",G,"{'G': 4.48046875, 'PREP': 1.8994140625, 'DET': -6.5859375, 'SVA': -4.40625}"
"I can play games, listen to music, and I can do my course work in the computer.",PREP,Preposition_Replacing,PREP,"{'G': 2.314453125, 'PREP': 3.546875, 'DET': -4.1796875, 'SVA': -4.0234375}",PREP,"{'G': 3.251953125, 'PREP': 4.80859375, 'DET': -4.984375, 'SVA': -4.17578125}",G,"{'G': 4.53515625, 'PREP': 1.8603515625, 'DET': -6.52734375, 'SVA': -4.421875}"
"In my opinion, in a hundred of years we'll wear the same kind of clothes that we wear nowadays.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.455078125, 'PREP': 3.49609375, 'DET': -4.30859375, 'SVA': -4.08203125}",PREP,"{'G': 3.34765625, 'PREP': 4.80078125, 'DET': -5.0078125, 'SVA': -4.27734375}",G,"{'G': 4.18359375, 'PREP': 2.3359375, 'DET': -6.55078125, 'SVA': -4.6171875}"
"As if that wasn't enough, after the show, I took the risk of going to your restaurant and it is not very hard to guess that I wasn't able to enjoy it, as it was closed because it wasn't clean enough to serve food ; the perfect ending for the perfect evening.",PREP,Preposition_Replacing,PREP,"{'G': 2.66015625, 'PREP': 3.369140625, 'DET': -4.57421875, 'SVA': -4.05859375}",PREP,"{'G': 3.837890625, 'PREP': 4.64453125, 'DET': -5.31640625, 'SVA': -4.6171875}",G,"{'G': 4.9453125, 'PREP': 1.5107421875, 'DET': -6.67578125, 'SVA': -4.41015625}"
The reason for this is that I have difficulty in sleeping in tents.,PREP,Preposition_Unnecessary,PREP,"{'G': 2.521484375, 'PREP': 3.431640625, 'DET': -4.3828125, 'SVA': -4.09375}",PREP,"{'G': 3.345703125, 'PREP': 4.80078125, 'DET': -4.98828125, 'SVA': -4.30078125}",G,"{'G': 4.94140625, 'PREP': 1.4755859375, 'DET': -6.58203125, 'SVA': -4.39453125}"
First I can travel only in July because I will finish school at the end of June and I will sit my exam in September ; so I have to revise it a lot during the month of August.,PREP,Preposition_Missing,PREP,"{'G': 2.634765625, 'PREP': 3.390625, 'DET': -4.62109375, 'SVA': -4.00390625}",PREP,"{'G': 3.4140625, 'PREP': 4.796875, 'DET': -5.0703125, 'SVA': -4.31640625}",G,"{'G': 4.9296875, 'PREP': 1.31640625, 'DET': -6.578125, 'SVA': -4.125}"
Only steak that a lot of guests notice ever embarrassed Danielle.,G,only_npi_scope,G,"{'G': 4.74609375, 'PREP': -2.669921875, 'DET': -4.28515625, 'SVA': -1.4296875}",SVA,"{'G': 1.73046875, 'PREP': -3.76171875, 'DET': -4.93359375, 'SVA': 5.3359375}",SVA,"{'G': 2.525390625, 'PREP': -3.08984375, 'DET': -5.5, 'SVA': 5.28125}"
"Such simple and everyday things like a telephone, a car, a computer so only seem to be normal and everyday for us as we use them every day.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.578125, 'PREP': 3.41015625, 'DET': -4.40625, 'SVA': -4.10546875}",PREP,"{'G': 3.330078125, 'PREP': 4.80078125, 'DET': -5.0, 'SVA': -4.26171875}",G,"{'G': 4.6171875, 'PREP': 1.814453125, 'DET': -6.5859375, 'SVA': -4.44921875}"
I am looking forward to being received in camp California.,PREP,Preposition_Replacing,PREP,"{'G': 2.8359375, 'PREP': 3.201171875, 'DET': -4.703125, 'SVA': -4.0390625}",PREP,"{'G': 3.474609375, 'PREP': 4.72265625, 'DET': -5.12890625, 'SVA': -4.421875}",G,"{'G': 5.36328125, 'PREP': 0.85595703125, 'DET': -6.57421875, 'SVA': -4.07421875}"
I am replying to your letter about the first prize of the competition that I won and there are a number of things I would like to make clear.,PREP,Preposition_Replacing,PREP,"{'G': 2.642578125, 'PREP': 3.388671875, 'DET': -4.5625, 'SVA': -4.0625}",G,"{'G': 4.6640625, 'PREP': 3.814453125, 'DET': -5.671875, 'SVA': -4.83203125}",G,"{'G': 4.9921875, 'PREP': 1.44921875, 'DET': -6.63671875, 'SVA': -4.36328125}"
But to add to this I had to join a long queue to get a full - price ticket when I had brought my student card on the purpose of getting the discount which had been advertised but didn't in fact exist.,PREP,Preposition_Replacing,PREP,"{'G': 2.744140625, 'PREP': 3.29296875, 'DET': -4.578125, 'SVA': -4.11328125}",PREP,"{'G': 4.203125, 'PREP': 4.39453125, 'DET': -5.4609375, 'SVA': -4.8125}",G,"{'G': 4.5078125, 'PREP': 1.865234375, 'DET': -6.53515625, 'SVA': -4.43359375}"
"It was a nice, hot summer so I and two friends of mine decided to go for holiday this year to the seaside.",PREP,Preposition_Replacing,PREP,"{'G': 2.576171875, 'PREP': 3.41796875, 'DET': -4.4375, 'SVA': -4.08984375}",PREP,"{'G': 3.423828125, 'PREP': 4.79296875, 'DET': -5.05078125, 'SVA': -4.33984375}",G,"{'G': 5.18359375, 'PREP': 1.1044921875, 'DET': -6.625, 'SVA': -4.1171875}"
I really think that living in the future will be like living in the moon - very exciting.,PREP,Preposition_Replacing,PREP,"{'G': 2.8984375, 'PREP': 3.154296875, 'DET': -4.65625, 'SVA': -4.140625}",PREP,"{'G': 3.30859375, 'PREP': 4.8046875, 'DET': -4.984375, 'SVA': -4.24609375}",G,"{'G': 4.56640625, 'PREP': 1.80859375, 'DET': -6.59375, 'SVA': -4.37109375}"
"Third, I love playing basketball. I am a great player and I play with my University and I like to be playing all the time so I will not miss this activity.",PREP,Preposition_Replacing,PREP,"{'G': 2.603515625, 'PREP': 3.4140625, 'DET': -4.56640625, 'SVA': -4.01171875}",PREP,"{'G': 3.65625, 'PREP': 4.72265625, 'DET': -5.265625, 'SVA': -4.49609375}",G,"{'G': 4.74609375, 'PREP': 1.662109375, 'DET': -6.5703125, 'SVA': -4.3984375}"
"Of course, you should give a refund of the money spent, not only to me but to all the audience.",PREP,Preposition_Replacing,PREP,"{'G': 2.60546875, 'PREP': 3.40234375, 'DET': -4.55859375, 'SVA': -4.01953125}",G,"{'G': 4.35546875, 'PREP': 4.22265625, 'DET': -5.69140625, 'SVA': -4.71875}",G,"{'G': 4.578125, 'PREP': 1.7421875, 'DET': -6.5234375, 'SVA': -4.3125}"
"So, you run to the bank but have to wait for the queue.",PREP,Preposition_Replacing,PREP,"{'G': 2.662109375, 'PREP': 3.3671875, 'DET': -4.57421875, 'SVA': -4.05078125}",G,"{'G': 4.828125, 'PREP': 3.26953125, 'DET': -5.89453125, 'SVA': -4.43359375}",G,"{'G': 5.390625, 'PREP': 1.03515625, 'DET': -6.73046875, 'SVA': -4.2578125}"
This is because people won't give up the great taste of food. Although it could be substituted to a vitamin pill or two.,PREP,Preposition_Replacing,PREP,"{'G': 2.8984375, 'PREP': 3.126953125, 'DET': -4.671875, 'SVA': -4.09375}",G,"{'G': 4.609375, 'PREP': 3.912109375, 'DET': -5.60546875, 'SVA': -4.87890625}",G,"{'G': 4.8671875, 'PREP': 1.537109375, 'DET': -6.578125, 'SVA': -4.359375}"
The first time in my life I have won a competition. I would like to take you up on your invitation in July.,PREP,Preposition_Missing,PREP,"{'G': 2.453125, 'PREP': 3.484375, 'DET': -4.4375, 'SVA': -3.978515625}",PREP,"{'G': 3.33984375, 'PREP': 4.80078125, 'DET': -5.078125, 'SVA': -4.23046875}",G,"{'G': 5.09765625, 'PREP': 1.3125, 'DET': -6.63671875, 'SVA': -4.3203125}"
"I am writing to you first of all to thank you for the excellent programme that you have given us about the trip to London, especially for planning a visit to the science museum, which we believe is going to be very interesting.",PREP,Preposition_Replacing,PREP,"{'G': 2.671875, 'PREP': 3.36328125, 'DET': -4.61328125, 'SVA': -4.0390625}",PREP,"{'G': 3.646484375, 'PREP': 4.73046875, 'DET': -5.27734375, 'SVA': -4.4609375}",G,"{'G': 4.4140625, 'PREP': 2.001953125, 'DET': -6.5234375, 'SVA': -4.48046875}"
We have a great opportunity to learn the latest fashions free because we are students.,PREP,Preposition_Missing,PREP,"{'G': 2.6953125, 'PREP': 3.2890625, 'DET': -4.23828125, 'SVA': -4.29296875}",G,"{'G': 4.4921875, 'PREP': 4.07421875, 'DET': -5.72265625, 'SVA': -4.796875}",G,"{'G': 4.421875, 'PREP': 2.109375, 'DET': -6.578125, 'SVA': -4.55078125}"
"To give examples : we are healthy we buy clothes and Records, we enjoy ourselves ; if we are sick, or our relatives are, we buy medicines and we do not enjoy ourselves because it is an obligation.",PREP,Preposition_Missing,PREP,"{'G': 2.791015625, 'PREP': 3.208984375, 'DET': -4.41796875, 'SVA': -4.234375}",PREP,"{'G': 3.509765625, 'PREP': 4.77734375, 'DET': -5.078125, 'SVA': -4.42578125}",G,"{'G': 4.5234375, 'PREP': 1.91015625, 'DET': -6.59375, 'SVA': -4.421875}"
If it is possible I would like to travel in July because school is finishing on the 28th June and I have already accepted a job in August.,PREP,Preposition_Replacing,PREP,"{'G': 2.576171875, 'PREP': 3.42578125, 'DET': -4.55078125, 'SVA': -4.0078125}",PREP,"{'G': 3.462890625, 'PREP': 4.7890625, 'DET': -5.109375, 'SVA': -4.359375}",G,"{'G': 5.03125, 'PREP': 1.29296875, 'DET': -6.59765625, 'SVA': -4.2265625}"
"On the other hand, I understand very well that it is really necessary. I also understand that nobody will do that at my place.",PREP,Preposition_Replacing,PREP,"{'G': 2.458984375, 'PREP': 3.484375, 'DET': -4.43359375, 'SVA': -3.986328125}",PREP,"{'G': 3.361328125, 'PREP': 4.79296875, 'DET': -5.00390625, 'SVA': -4.30078125}",G,"{'G': 3.732421875, 'PREP': 3.212890625, 'DET': -6.765625, 'SVA': -5.09375}"
