text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"1. First of all, I was really furious of watching a show starring a different actor, instead of Danny Brook,",PREP,Preposition_Replacing,G,"{'G': 3.140625, 'PREP': 2.931640625, 'DET': -4.8515625, 'SVA': -4.140625}",G,"{'G': 4.8203125, 'PREP': 3.587890625, 'DET': -5.765625, 'SVA': -4.765625}",PREP,"{'G': 1.306640625, 'PREP': 5.671875, 'DET': -5.98046875, 'SVA': -5.49609375}"
"I particularly liked meeting people of different countries and some pop - stars, who were friendly towards us.",PREP,Preposition_Replacing,G,"{'G': 4.53125, 'PREP': 0.1912841796875, 'DET': -4.890625, 'SVA': -3.666015625}",G,"{'G': 4.88671875, 'PREP': 3.439453125, 'DET': -5.49609375, 'SVA': -4.92578125}",PREP,"{'G': 2.53125, 'PREP': 4.75, 'DET': -6.51953125, 'SVA': -5.67578125}"
I would like to tell to everyone - don't be naive when you share your big secret or problem with someone.,PREP,Preposition_Unnecessary,G,"{'G': 3.57421875, 'PREP': 2.296875, 'DET': -4.953125, 'SVA': -4.1171875}",G,"{'G': 5.17578125, 'PREP': 2.208984375, 'DET': -5.9921875, 'SVA': -3.84765625}",PREP,"{'G': 0.40380859375, 'PREP': 5.61328125, 'DET': -4.80078125, 'SVA': -4.8359375}"
First tell to your parents.,PREP,Preposition_Unnecessary,G,"{'G': 4.46875, 'PREP': -1.951171875, 'DET': -5.44140625, 'SVA': -0.7080078125}",SVA,"{'G': -1.0830078125, 'PREP': -3.099609375, 'DET': -4.265625, 'SVA': 7.37890625}",PREP,"{'G': -0.334228515625, 'PREP': 5.3046875, 'DET': -3.380859375, 'SVA': -4.3046875}"
They needed one person for to put the clothes into a wardrobe.,PREP,Preposition_Unnecessary,G,"{'G': 5.08203125, 'PREP': -1.3994140625, 'DET': -4.8984375, 'SVA': -2.8203125}",G,"{'G': 5.53515625, 'PREP': 2.046875, 'DET': -5.8125, 'SVA': -4.3203125}",PREP,"{'G': -0.75732421875, 'PREP': 4.8671875, 'DET': -1.9306640625, 'SVA': -4.26953125}"
It will remind me some wonderful experiences.,PREP,Preposition_Missing,G,"{'G': 4.26953125, 'PREP': 0.517578125, 'DET': -4.09765625, 'SVA': -4.26953125}",G,"{'G': 5.125, 'PREP': 2.833984375, 'DET': -5.21875, 'SVA': -4.90625}",PREP,"{'G': 1.2392578125, 'PREP': 5.6640625, 'DET': -5.6015625, 'SVA': -5.71875}"
I'm writing this letter to you because I had a very disappointing evening to your theatre,PREP,Preposition_Replacing,G,"{'G': 3.4609375, 'PREP': 2.458984375, 'DET': -4.8828125, 'SVA': -4.16796875}",G,"{'G': 5.56640625, 'PREP': 2.0078125, 'DET': -5.9765625, 'SVA': -4.1640625}",PREP,"{'G': 2.568359375, 'PREP': 4.734375, 'DET': -6.75390625, 'SVA': -5.59765625}"
To our surprise the restaurant was closed because a lack of staff to keep it open.,PREP,Preposition_Missing,G,"{'G': 3.853515625, 'PREP': 1.83984375, 'DET': -4.96875, 'SVA': -4.1171875}",G,"{'G': 4.55859375, 'PREP': 4.02734375, 'DET': -5.73046875, 'SVA': -4.84765625}",PREP,"{'G': 2.41796875, 'PREP': 4.8515625, 'DET': -6.67578125, 'SVA': -5.59375}"
I'm looking forward of receiving a letter from you.,PREP,Preposition_Replacing,G,"{'G': 3.568359375, 'PREP': 2.33203125, 'DET': -5.15234375, 'SVA': -3.998046875}",G,"{'G': 4.89453125, 'PREP': 2.822265625, 'DET': -6.13671875, 'SVA': -3.97265625}",PREP,"{'G': 0.56787109375, 'PREP': 5.65234375, 'DET': -5.06640625, 'SVA': -4.9453125}"
"To finish this letter with, I would like to give you a good idea for next year.",PREP,Preposition_Unnecessary,G,"{'G': 3.109375, 'PREP': 2.9453125, 'DET': -4.796875, 'SVA': -4.1640625}",G,"{'G': 4.66015625, 'PREP': 3.818359375, 'DET': -5.73046875, 'SVA': -4.78125}",PREP,"{'G': 2.39453125, 'PREP': 4.86328125, 'DET': -6.62109375, 'SVA': -5.59375}"
