text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
Only steak that a lot of guests notice ever embarrassed Danielle.,G,only_npi_scope,G,"{'G': 4.74609375, 'PREP': -2.669921875, 'DET': -4.28515625, 'SVA': -1.4296875}",SVA,"{'G': 1.73046875, 'PREP': -3.76171875, 'DET': -4.93359375, 'SVA': 5.3359375}",SVA,"{'G': 2.525390625, 'PREP': -3.08984375, 'DET': -5.5, 'SVA': 5.28125}"
I am replying to your letter about the first prize of the competition that I won and there are a number of things I would like to make clear.,PREP,Preposition_Replacing,PREP,"{'G': 2.642578125, 'PREP': 3.388671875, 'DET': -4.5625, 'SVA': -4.0625}",G,"{'G': 4.6640625, 'PREP': 3.814453125, 'DET': -5.671875, 'SVA': -4.83203125}",G,"{'G': 4.9921875, 'PREP': 1.44921875, 'DET': -6.63671875, 'SVA': -4.36328125}"
"Of course, you should give a refund of the money spent, not only to me but to all the audience.",PREP,Preposition_Replacing,PREP,"{'G': 2.60546875, 'PREP': 3.40234375, 'DET': -4.55859375, 'SVA': -4.01953125}",G,"{'G': 4.35546875, 'PREP': 4.22265625, 'DET': -5.69140625, 'SVA': -4.71875}",G,"{'G': 4.578125, 'PREP': 1.7421875, 'DET': -6.5234375, 'SVA': -4.3125}"
"So, you run to the bank but have to wait for the queue.",PREP,Preposition_Replacing,PREP,"{'G': 2.662109375, 'PREP': 3.3671875, 'DET': -4.57421875, 'SVA': -4.05078125}",G,"{'G': 4.828125, 'PREP': 3.26953125, 'DET': -5.89453125, 'SVA': -4.43359375}",G,"{'G': 5.390625, 'PREP': 1.03515625, 'DET': -6.73046875, 'SVA': -4.2578125}"
This is because people won't give up the great taste of food. Although it could be substituted to a vitamin pill or two.,PREP,Preposition_Replacing,PREP,"{'G': 2.8984375, 'PREP': 3.126953125, 'DET': -4.671875, 'SVA': -4.09375}",G,"{'G': 4.609375, 'PREP': 3.912109375, 'DET': -5.60546875, 'SVA': -4.87890625}",G,"{'G': 4.8671875, 'PREP': 1.537109375, 'DET': -6.578125, 'SVA': -4.359375}"
We have a great opportunity to learn the latest fashions free because we are students.,PREP,Preposition_Missing,PREP,"{'G': 2.6953125, 'PREP': 3.2890625, 'DET': -4.23828125, 'SVA': -4.29296875}",G,"{'G': 4.4921875, 'PREP': 4.07421875, 'DET': -5.72265625, 'SVA': -4.796875}",G,"{'G': 4.421875, 'PREP': 2.109375, 'DET': -6.578125, 'SVA': -4.55078125}"
We are sure this is suitable to all of us.,PREP,Preposition_Replacing,PREP,"{'G': 2.685546875, 'PREP': 3.318359375, 'DET': -4.33984375, 'SVA': -4.234375}",G,"{'G': 5.078125, 'PREP': 3.0078125, 'DET': -5.6640625, 'SVA': -4.67578125}",G,"{'G': 5.2734375, 'PREP': 1.15234375, 'DET': -6.69140625, 'SVA': -4.2734375}"
"I went inside to ask for that package but they told me that it was gone, so, I went to many shops just to get the same answer.",PREP,Preposition_Replacing,PREP,"{'G': 2.619140625, 'PREP': 3.396484375, 'DET': -4.4921875, 'SVA': -4.08203125}",G,"{'G': 4.61328125, 'PREP': 3.94140625, 'DET': -5.59765625, 'SVA': -4.875}",G,"{'G': 5.18359375, 'PREP': 1.265625, 'DET': -6.68359375, 'SVA': -4.34765625}"
"Except these two things, it was quite good.",PREP,Preposition_Missing,PREP,"{'G': 2.6953125, 'PREP': 3.322265625, 'DET': -4.35546875, 'SVA': -4.23828125}",G,"{'G': 4.33984375, 'PREP': 4.203125, 'DET': -5.16796875, 'SVA': -5.11328125}",G,"{'G': 4.2578125, 'PREP': 2.26171875, 'DET': -6.55859375, 'SVA': -4.60546875}"
Another one is that how much money I have to bring.,PREP,Preposition_Unnecessary,PREP,"{'G': 2.650390625, 'PREP': 3.341796875, 'DET': -4.39453125, 'SVA': -4.1640625}",G,"{'G': 6.0390625, 'PREP': 0.90478515625, 'DET': -5.265625, 'SVA': -4.18359375}",G,"{'G': 5.67578125, 'PREP': 0.65771484375, 'DET': -6.58984375, 'SVA': -4.28125}"
"Not only is it a simple job, but also you can enjoy working with a lot of colleagues at your age.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.572265625, 'PREP': 3.41796875, 'DET': -4.44921875, 'SVA': -4.0859375}",G,"{'G': 4.4921875, 'PREP': 4.125, 'DET': -5.72265625, 'SVA': -4.87109375}",G,"{'G': 5.15234375, 'PREP': 1.3408203125, 'DET': -6.734375, 'SVA': -4.36328125}"
"In reply to your letter received the 13th of June, I first would like to say that it is a great pleasure for me to have been chosen.",PREP,Preposition_Missing,PREP,"{'G': 2.73828125, 'PREP': 3.296875, 'DET': -4.5859375, 'SVA': -4.1015625}",G,"{'G': 4.44140625, 'PREP': 4.1328125, 'DET': -5.66015625, 'SVA': -4.796875}",G,"{'G': 4.859375, 'PREP': 1.48046875, 'DET': -6.51953125, 'SVA': -4.296875}"
"Fans weren't allowed to take any sharp things in with them, like knives or scissors.",G,Preposition_Missing,G,"{'G': 4.80859375, 'PREP': -1.2412109375, 'DET': -3.7109375, 'SVA': -3.47265625}",PREP,"{'G': 3.939453125, 'PREP': 4.23046875, 'DET': -5.51171875, 'SVA': -4.31640625}",PREP,"{'G': 1.94140625, 'PREP': 5.390625, 'DET': -6.5859375, 'SVA': -5.67578125}"
And do you have any idea of how much money I need to bring?,PREP,Preposition_Unnecessary,PREP,"{'G': 2.486328125, 'PREP': 3.451171875, 'DET': -4.3984375, 'SVA': -4.01953125}",G,"{'G': 5.375, 'PREP': 2.44921875, 'DET': -5.57421875, 'SVA': -4.6484375}",G,"{'G': 6.2265625, 'PREP': 0.1387939453125, 'DET': -6.71484375, 'SVA': -4.2734375}"
And we knew that from that day on that he knew anything about our secret we would live in danger of being caught.,PREP,Preposition_Missing,PREP,"{'G': 2.771484375, 'PREP': 3.267578125, 'DET': -4.5078125, 'SVA': -4.19140625}",G,"{'G': 4.97265625, 'PREP': 3.259765625, 'DET': -5.4296875, 'SVA': -4.9453125}",G,"{'G': 5.93359375, 'PREP': 0.56396484375, 'DET': -6.7578125, 'SVA': -4.375}"
