text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"Firstly, I would like to explain to you what the problem is.",G,Preposition_Missing,PREP,"{'G': 2.5546875, 'PREP': 3.421875, 'DET': -4.51953125, 'SVA': -4.0078125}",G,"{'G': 4.640625, 'PREP': 3.779296875, 'DET': -5.76953125, 'SVA': -4.71484375}",G,"{'G': 4.62109375, 'PREP': 1.7763671875, 'DET': -6.5625, 'SVA': -4.3984375}"
I would be pleased to give any help you need.,G,Preposition_Unnecessary,PREP,"{'G': 1.966796875, 'PREP': 3.40625, 'DET': -2.66796875, 'SVA': -4.66796875}",G,"{'G': 5.3515625, 'PREP': 2.283203125, 'DET': -5.65234375, 'SVA': -4.40234375}",G,"{'G': 5.359375, 'PREP': 1.0791015625, 'DET': -6.69140625, 'SVA': -4.33984375}"
"I am not very good at painting, but I choose it because it is a good opportunity to do it.",G,Preposition_Missing,PREP,"{'G': 2.41796875, 'PREP': 3.509765625, 'DET': -4.3125, 'SVA': -4.03515625}",G,"{'G': 4.37890625, 'PREP': 4.20703125, 'DET': -5.53125, 'SVA': -4.859375}",G,"{'G': 5.06640625, 'PREP': 1.34375, 'DET': -6.63671875, 'SVA': -4.328125}"
I am very good at swimming.,G,Preposition_Missing,PREP,"{'G': 2.654296875, 'PREP': 3.35546875, 'DET': -4.40625, 'SVA': -4.171875}",G,"{'G': 5.2265625, 'PREP': 2.09765625, 'DET': -6.15625, 'SVA': -3.609375}",G,"{'G': 6.265625, 'PREP': -0.024078369140625, 'DET': -6.68359375, 'SVA': -4.08203125}"
I wonder if you could explain to me why.,G,Preposition_Missing,PREP,"{'G': 2.513671875, 'PREP': 3.451171875, 'DET': -4.34375, 'SVA': -4.09375}",G,"{'G': 4.48046875, 'PREP': 4.00390625, 'DET': -5.65625, 'SVA': -4.75390625}",G,"{'G': 5.88671875, 'PREP': 0.46484375, 'DET': -6.75390625, 'SVA': -4.1640625}"
"Finally, I am wondering how much money I need for myself and what kind of clothes I need.",G,Preposition_Unnecessary,PREP,"{'G': 2.43359375, 'PREP': 3.4921875, 'DET': -4.28515625, 'SVA': -4.0703125}",G,"{'G': 4.29296875, 'PREP': 4.25, 'DET': -5.28125, 'SVA': -4.96875}",G,"{'G': 4.00390625, 'PREP': 2.75390625, 'DET': -6.6796875, 'SVA': -4.88671875}"
I am very glad to receive such a wonderful surprise as to learn that I have won first prize.,G,Preposition_Unnecessary,PREP,"{'G': 2.828125, 'PREP': 3.216796875, 'DET': -4.5390625, 'SVA': -4.19140625}",G,"{'G': 5.16015625, 'PREP': 2.822265625, 'DET': -5.87109375, 'SVA': -4.484375}",G,"{'G': 5.8828125, 'PREP': 0.6064453125, 'DET': -6.84765625, 'SVA': -4.28125}"
I'm writing to you because I have an important thing to tell you.,G,Preposition_Missing,PREP,"{'G': 2.841796875, 'PREP': 3.21484375, 'DET': -4.6484375, 'SVA': -4.1171875}",G,"{'G': 4.375, 'PREP': 4.13671875, 'DET': -5.70703125, 'SVA': -4.72265625}",G,"{'G': 5.9765625, 'PREP': 0.386474609375, 'DET': -6.7890625, 'SVA': -4.1796875}"
"Finally, I wanted to buy something to drink, but the restaurant was closed because it was a bank holiday!",G,Preposition_Unnecessary,PREP,"{'G': 2.927734375, 'PREP': 3.146484375, 'DET': -4.74609375, 'SVA': -4.10546875}",G,"{'G': 4.33203125, 'PREP': 4.25390625, 'DET': -5.6328125, 'SVA': -4.78515625}",G,"{'G': 4.67578125, 'PREP': 1.6982421875, 'DET': -6.578125, 'SVA': -4.359375}"
As representative of my class may I kindly ask you to partially change your plan for our visit to London?,G,Preposition_Replacing,PREP,"{'G': 2.638671875, 'PREP': 3.3671875, 'DET': -4.67578125, 'SVA': -3.95703125}",G,"{'G': 4.6796875, 'PREP': 3.783203125, 'DET': -5.6796875, 'SVA': -4.8359375}",G,"{'G': 5.9375, 'PREP': 0.412109375, 'DET': -6.8125, 'SVA': -4.09765625}"
