text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
my name is John and I went in the latest International Arts Festival.,PREP,Preposition_Replacing,G,"{'G': 3.095703125, 'PREP': 2.94921875, 'DET': -4.74609375, 'SVA': -4.18359375}",PREP,"{'G': 3.361328125, 'PREP': 4.80078125, 'DET': -5.03125, 'SVA': -4.29296875}",PREP,"{'G': 0.70947265625, 'PREP': 5.6796875, 'DET': -5.34765625, 'SVA': -4.984375}"
In that moment I felt so nervous and terrified that I fainted.,PREP,Preposition_Replacing,G,"{'G': 3.107421875, 'PREP': 2.92578125, 'DET': -4.6171875, 'SVA': -4.28515625}",PREP,"{'G': 4.02734375, 'PREP': 4.49609375, 'DET': -5.14453125, 'SVA': -4.91796875}",PREP,"{'G': 1.859375, 'PREP': 5.45703125, 'DET': -6.53515625, 'SVA': -5.67578125}"
I have been swimming from I was five years of age and until 1993 I was a member of the school team.,PREP,Preposition_Replacing,G,"{'G': 3.443359375, 'PREP': 2.521484375, 'DET': -4.9765625, 'SVA': -4.125}",PREP,"{'G': 4.27734375, 'PREP': 4.3203125, 'DET': -5.48046875, 'SVA': -4.84765625}",PREP,"{'G': 2.236328125, 'PREP': 5.1640625, 'DET': -6.70703125, 'SVA': -5.73046875}"
I hope to hear you soon,PREP,Preposition_Missing,G,"{'G': 3.26953125, 'PREP': 2.43359375, 'DET': -4.23046875, 'SVA': -4.3984375}",PREP,"{'G': 3.91796875, 'PREP': 4.54296875, 'DET': -5.4765625, 'SVA': -4.609375}",PREP,"{'G': 2.09375, 'PREP': 5.015625, 'DET': -6.33984375, 'SVA': -5.5859375}"
"He has a best friend, who was more like a brother for him.",PREP,Preposition_Replacing,G,"{'G': 4.4140625, 'PREP': 0.5537109375, 'DET': -5.0546875, 'SVA': -3.70703125}",PREP,"{'G': 3.59375, 'PREP': 4.73046875, 'DET': -5.33984375, 'SVA': -4.41015625}",PREP,"{'G': 2.501953125, 'PREP': 4.78125, 'DET': -6.73046875, 'SVA': -5.5859375}"
Photography is my hobby. I can remember that I used to take photographs on the exhibitions or during the holidays.,PREP,Preposition_Replacing,G,"{'G': 3.626953125, 'PREP': 2.203125, 'DET': -4.85546875, 'SVA': -4.20703125}",PREP,"{'G': 4.19140625, 'PREP': 4.40234375, 'DET': -5.44921875, 'SVA': -4.859375}",PREP,"{'G': 2.044921875, 'PREP': 5.34375, 'DET': -6.62109375, 'SVA': -5.75}"
I tried to take it on my stride but I couldn't.,PREP,Preposition_Replacing,G,"{'G': 3.1953125, 'PREP': 2.662109375, 'DET': -4.36328125, 'SVA': -4.37890625}",PREP,"{'G': 4.18359375, 'PREP': 4.359375, 'DET': -5.26953125, 'SVA': -4.91796875}",PREP,"{'G': 0.97705078125, 'PREP': 5.71484375, 'DET': -5.59375, 'SVA': -5.32421875}"
"Thinking about the media's treatment of famous people, I've realised of some things.",PREP,Preposition_Unnecessary,G,"{'G': 3.78515625, 'PREP': 1.9208984375, 'DET': -4.90625, 'SVA': -4.09765625}",PREP,"{'G': 3.857421875, 'PREP': 4.6171875, 'DET': -5.25, 'SVA': -4.6875}",PREP,"{'G': 0.75048828125, 'PREP': 5.69140625, 'DET': -5.28125, 'SVA': -5.1484375}"
Write me soon to tell me your thoughts about what happened to me.,PREP,Preposition_Missing,G,"{'G': 3.1953125, 'PREP': 2.55078125, 'DET': -4.05859375, 'SVA': -4.56640625}",PREP,"{'G': 3.521484375, 'PREP': 4.1875, 'DET': -4.84765625, 'SVA': -4.25390625}",PREP,"{'G': 0.0112152099609375, 'PREP': 5.41796875, 'DET': -4.58203125, 'SVA': -4.0234375}"
I would like to complain four things concerning your theatre.,PREP,Preposition_Missing,G,"{'G': 4.1484375, 'PREP': 0.089599609375, 'DET': -2.978515625, 'SVA': -4.4609375}",PREP,"{'G': 4.13671875, 'PREP': 4.375, 'DET': -5.48046875, 'SVA': -4.80078125}",PREP,"{'G': -0.1402587890625, 'PREP': 5.4375, 'DET': -3.41796875, 'SVA': -4.84765625}"
