text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP,"{'G': 2.626953125, 'PREP': 3.3984375, 'DET': -4.53515625, 'SVA': -4.05078125}"
"So, I think July is the best time to go to the Camp.",G,Preposition_Replacing,PREP,"{'G': 2.583984375, 'PREP': 3.431640625, 'DET': -4.54296875, 'SVA': -4.03515625}"
"So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday.",G,Preposition_Replacing,PREP,"{'G': 2.5703125, 'PREP': 3.4140625, 'DET': -4.5703125, 'SVA': -3.982421875}"
"About the activities that I have to choose, I have to say that it is quite difficult for me because I really like sports, but I think the best option is swimming because I have been doing it for 5 years so I want to keep at it.",G,Preposition_Replacing,PREP,"{'G': 2.623046875, 'PREP': 3.392578125, 'DET': -4.5546875, 'SVA': -4.03515625}"
"Firstly, Palace Hotel has been booked for the group's accommodation and I spoke with the hotel manager about travelling to the conference.",G,Preposition_Unnecessary,PREP,"{'G': 3.009765625, 'PREP': 3.07421875, 'DET': -4.8203125, 'SVA': -4.09765625}"
I am writing to you because there were deviations from the advertisement which was published in the newspaper.,G,Preposition_Replacing,PREP,"{'G': 2.62890625, 'PREP': 3.390625, 'DET': -4.5234375, 'SVA': -4.078125}"
Then we thought about going swimming to talk about some things.,G,Preposition_Unnecessary,PREP,"{'G': 2.83203125, 'PREP': 3.15625, 'DET': -4.27734375, 'SVA': -4.33984375}"
I have always been interested in arts and festivals.,G,Preposition_Missing,PREP,"{'G': 2.224609375, 'PREP': 3.591796875, 'DET': -4.078125, 'SVA': -4.01953125}"
"Firstly, the most suitable month would be July because I am very busy with my work now, and my children are on holiday then.",G,Preposition_Replacing,PREP,"{'G': 2.568359375, 'PREP': 3.419921875, 'DET': -4.484375, 'SVA': -4.03515625}"
"Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the maths class.",G,Preposition_Missing,PREP,"{'G': 2.443359375, 'PREP': 3.5, 'DET': -4.4609375, 'SVA': -3.96484375}"
Most students in our class are studying Fashion full - time.,G,Preposition_Unnecessary,PREP,"{'G': 2.580078125, 'PREP': 3.34375, 'DET': -4.19140625, 'SVA': -4.21484375}"
So I am quite confident at this.,G,Preposition_Replacing,PREP,"{'G': 2.4140625, 'PREP': 3.51171875, 'DET': -4.22265625, 'SVA': -4.1015625}"
"Now, I am writing to you to ask for some details about these two weeks at Camp California and to give you some answers to your questions.",G,Preposition_Missing,PREP,"{'G': 2.732421875, 'PREP': 3.30078125, 'DET': -4.5859375, 'SVA': -4.09375}"
"On behalf of all the students, I thank you for organizing our trip to London and for the really interesting programme you propose for us as well.",G,Preposition_Replacing,PREP,"{'G': 2.51171875, 'PREP': 3.451171875, 'DET': -4.5234375, 'SVA': -3.966796875}"
I attended your festival and I would like to give you my suggestions for it.,G,Preposition_Replacing,PREP,"{'G': 2.5703125, 'PREP': 3.390625, 'DET': -4.28125, 'SVA': -4.1796875}"
All day I speak with the majority of my colleagues by telephone or e - mail.,G,Preposition_Unnecessary,PREP,"{'G': 2.5859375, 'PREP': 3.4296875, 'DET': -4.546875, 'SVA': -4.0234375}"
"Firstly, we got our tickets at your ticket office just one hour before the show.",G,Preposition_Replacing,PREP,"{'G': 2.529296875, 'PREP': 3.443359375, 'DET': -4.44140625, 'SVA': -4.03515625}"
"I also would prefer to sleep in tents, which are more comfortable, and, because I have been doing lots of camping, I am quite used to this kind of accommodation.",G,Preposition_Replacing,PREP,"{'G': 2.56640625, 'PREP': 3.427734375, 'DET': -4.44140625, 'SVA': -4.0859375}"
"People have invented such things as TV, radio, telephones and so on which made us able to hear the news quickly and stay in touch with people easily.",G,Preposition_Replacing,PREP,"{'G': 2.544921875, 'PREP': 3.431640625, 'DET': -4.3046875, 'SVA': -4.15625}"
"However, we'd like to ask about London Fashion and Leisure Show that we've seen an advertisement for in this week's college newspaper. We would appreciate it if you could give us a chance to go there while we are visiting London.",G,Preposition_Unnecessary,PREP,"{'G': 2.640625, 'PREP': 3.373046875, 'DET': -4.4921875, 'SVA': -4.08984375}"
"I am not very good at painting, but I choose it because it is a good opportunity to do it.",G,Preposition_Missing,PREP,"{'G': 2.41796875, 'PREP': 3.509765625, 'DET': -4.3125, 'SVA': -4.03515625}"
I am only available in July. Is that okay for you?,G,Preposition_Replacing,PREP,"{'G': 2.640625, 'PREP': 3.3828125, 'DET': -4.47265625, 'SVA': -4.1171875}"
"It wasn't difficult to find the right hall for the shows, I would say it was very well organised.",G,Preposition_Replacing,PREP,"{'G': 2.5078125, 'PREP': 3.462890625, 'DET': -4.2734375, 'SVA': -4.15625}"
This is the first time in my life that I won anything like that.,G,Preposition_Replacing,PREP,"{'G': 2.43359375, 'PREP': 3.49609375, 'DET': -4.39453125, 'SVA': -3.986328125}"
"What are clothes going to look like a century from now? Are they going to be the same, are they going to be colourful, are men going to wear long skirts and women boxer shorts?",G,Preposition_Missing,PREP,"{'G': 2.8671875, 'PREP': 3.146484375, 'DET': -4.5859375, 'SVA': -4.13671875}"
"I would like to stress that very often famous people become reserved, bad - tempered and angry with the world for interfering in their lives.",G,Preposition_Replacing,PREP,"{'G': 2.759765625, 'PREP': 3.26171875, 'DET': -4.47265625, 'SVA': -4.1953125}"
I think that the most important piece of modern technology these days is the Internet.,G,Preposition_Unnecessary,PREP,"{'G': 2.1484375, 'PREP': 3.568359375, 'DET': -3.623046875, 'SVA': -4.25}"
From my point of view I can complain only about the small concert hall and the fact there were artists from only six countries.,G,Preposition_Replacing,PREP,"{'G': 2.517578125, 'PREP': 3.4609375, 'DET': -4.52734375, 'SVA': -3.9765625}"
"Not only is it a simple job, but also you can enjoy working with a lot of colleagues your age.",G,Preposition_Unnecessary,PREP,"{'G': 2.51171875, 'PREP': 3.4453125, 'DET': -4.34375, 'SVA': -4.10546875}"
"So, why don't we think more about the future, instead of being upset about how to get some money to pay for the next party?",G,Preposition_Replacing,PREP,"{'G': 2.525390625, 'PREP': 3.44921875, 'DET': -4.55078125, 'SVA': -3.9609375}"
It's a perfect combination of passion and life's difficulties.,G,Preposition_Replacing,PREP,"{'G': 2.29296875, 'PREP': 3.54296875, 'DET': -4.0, 'SVA': -4.12890625}"
"Now, it is important in the transport of thousands and thousands of people around the world.",G,Preposition_Unnecessary,PREP,"{'G': 2.404296875, 'PREP': 3.505859375, 'DET': -4.58203125, 'SVA': -3.822265625}"
I wonder if you could explain to me why.,G,Preposition_Missing,PREP,"{'G': 2.513671875, 'PREP': 3.451171875, 'DET': -4.34375, 'SVA': -4.09375}"
But I hope that next year visitors to the festival will be able to be introduced to more art groups from all over the world.,G,Preposition_Replacing,PREP,"{'G': 2.611328125, 'PREP': 3.408203125, 'DET': -4.46875, 'SVA': -4.09765625}"
"First of all, I would like to give you some further information about me and secondly, I'd like to ask you about some concerns that I have.",G,Preposition_Replacing,PREP,"{'G': 2.69140625, 'PREP': 3.33984375, 'DET': -4.62890625, 'SVA': -4.03515625}"
I phoned the tourist information office last week and I got some information about the accommodation for the students.,G,Preposition_Unnecessary,PREP,"{'G': 2.638671875, 'PREP': 3.3984375, 'DET': -4.59375, 'SVA': -4.02734375}"
"Before the computer had been invented, we couldn't possibly have lots of information easily and we couldn't contact foreign countries at the same time.",G,Preposition_Unnecessary,PREP,"{'G': 2.603515625, 'PREP': 3.39453125, 'DET': -4.5390625, 'SVA': -4.03125}"
You have been presented with some reasons why shopping is not always enjoyable.,G,Preposition_Missing,PREP,"{'G': 2.505859375, 'PREP': 3.43359375, 'DET': -4.1796875, 'SVA': -4.19140625}"
"As requested, the aim of this report is to assess the suitability for a group of American students of the visit to the Etruscan Museum.",G,Preposition_Replacing,PREP,"{'G': 2.884765625, 'PREP': 3.103515625, 'DET': -5.24609375, 'SVA': -3.634765625}"
The students can get there on the No 35 bus.,G,Preposition_Replacing,PREP,"{'G': 2.576171875, 'PREP': 2.91796875, 'DET': -3.06640625, 'SVA': -4.72265625}"
I would be very grateful if you could give me more details as soon as possible.,G,Preposition_Replacing,PREP,"{'G': 2.416015625, 'PREP': 3.4453125, 'DET': -4.00390625, 'SVA': -4.2421875}"
report by the group leader,G,Preposition_Replacing,PREP,"{'G': 2.388671875, 'PREP': 3.474609375, 'DET': -4.87109375, 'SVA': -3.53125}"
I am writing to express my dissatisfaction with the show you put on two weeks ago at your theatre.,G,Preposition_Replacing,PREP,"{'G': 2.546875, 'PREP': 3.4453125, 'DET': -4.44140625, 'SVA': -4.05859375}"
I can come only in July because I have to work the other months of summer.,G,Preposition_Missing,PREP,"{'G': 2.46875, 'PREP': 3.484375, 'DET': -4.3828125, 'SVA': -4.03515625}"
I am a student in the English class.,G,Preposition_Replacing,PREP,"{'G': 2.173828125, 'PREP': 3.61328125, 'DET': -4.13671875, 'SVA': -3.92578125}"
"Although I imagine them in my house in my future, I am sure I would be surprised if I had them.",G,Preposition_Missing,PREP,"{'G': 2.53515625, 'PREP': 3.44921875, 'DET': -4.4375, 'SVA': -4.0546875}"
"As you have seen, modern technology has changed my daily life a lot and I believe that it has changed it for the better.",G,Preposition_Replacing,PREP,"{'G': 2.466796875, 'PREP': 3.478515625, 'DET': -4.33984375, 'SVA': -4.07421875}"
"It is a really good opportunity to go because most of us are studying fashion design, and we can learn loads of things there.",G,Preposition_Unnecessary,PREP,"{'G': 2.48828125, 'PREP': 3.45703125, 'DET': -4.31640625, 'SVA': -4.09765625}"
"In addition to this, there is less communication between members of my family, because when we arrive home after an exhausting day racing against time, the only thing we want to do is lie on the sofa while watching television.",G,Preposition_Unnecessary,PREP,"{'G': 2.548828125, 'PREP': 3.44140625, 'DET': -4.5703125, 'SVA': -3.9765625}"
It helps me with preparing my homework.,G,Preposition_Replacing,PREP,"{'G': 1.8134765625, 'PREP': 3.455078125, 'DET': -2.62890625, 'SVA': -4.484375}"
"On top of everything, the main actor, Danny Brook, did not appear in the show.",G,Preposition_Replacing,PREP,"{'G': 2.529296875, 'PREP': 3.455078125, 'DET': -4.53515625, 'SVA': -3.96875}"
