text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"So, I think July is the best time to go to the Camp.",G,Preposition_Replacing,PREP,"{'G': 2.583984375, 'PREP': 3.431640625, 'DET': -4.54296875, 'SVA': -4.03515625}",PREP,"{'G': 3.7421875, 'PREP': 4.671875, 'DET': -5.30078125, 'SVA': -4.5625}",G,"{'G': 5.828125, 'PREP': 0.5107421875, 'DET': -6.73828125, 'SVA': -4.17578125}"
"So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday.",G,Preposition_Replacing,PREP,"{'G': 2.5703125, 'PREP': 3.4140625, 'DET': -4.5703125, 'SVA': -3.982421875}",PREP,"{'G': 3.96875, 'PREP': 4.546875, 'DET': -5.453125, 'SVA': -4.65234375}",G,"{'G': 4.4921875, 'PREP': 1.83203125, 'DET': -6.484375, 'SVA': -4.375}"
Analyses persuades this cousin of Brad to exercise.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 4.53125, 'PREP': -2.787109375, 'DET': -4.7109375, 'SVA': -0.57421875}",SVA,"{'G': 2.814453125, 'PREP': -3.572265625, 'DET': -5.62109375, 'SVA': 4.37109375}",SVA,"{'G': 0.0089874267578125, 'PREP': -3.08203125, 'DET': -4.12109375, 'SVA': 7.98828125}"
"About the activities that I have to choose, I have to say that it is quite difficult for me because I really like sports, but I think the best option is swimming because I have been doing it for 5 years so I want to keep at it.",G,Preposition_Replacing,PREP,"{'G': 2.623046875, 'PREP': 3.392578125, 'DET': -4.5546875, 'SVA': -4.03515625}",PREP,"{'G': 3.513671875, 'PREP': 4.77734375, 'DET': -5.09765625, 'SVA': -4.4140625}",G,"{'G': 4.55078125, 'PREP': 1.884765625, 'DET': -6.58984375, 'SVA': -4.43359375}"
"Firstly, Palace Hotel has been booked for the group's accommodation and I spoke with the hotel manager about travelling to the conference.",G,Preposition_Unnecessary,PREP,"{'G': 3.009765625, 'PREP': 3.07421875, 'DET': -4.8203125, 'SVA': -4.09765625}",G,"{'G': 4.55078125, 'PREP': 3.984375, 'DET': -5.62109375, 'SVA': -4.84375}",G,"{'G': 5.1953125, 'PREP': 1.287109375, 'DET': -6.71484375, 'SVA': -4.37890625}"
I am writing to you because there were deviations from the advertisement which was published in the newspaper.,G,Preposition_Replacing,PREP,"{'G': 2.62890625, 'PREP': 3.390625, 'DET': -4.5234375, 'SVA': -4.078125}",PREP,"{'G': 4.12890625, 'PREP': 4.44140625, 'DET': -5.41015625, 'SVA': -4.7890625}",G,"{'G': 6.0546875, 'PREP': 0.3037109375, 'DET': -6.72265625, 'SVA': -4.171875}"
Then we thought about going swimming to talk about some things.,G,Preposition_Unnecessary,PREP,"{'G': 2.83203125, 'PREP': 3.15625, 'DET': -4.27734375, 'SVA': -4.33984375}",PREP,"{'G': 4.03515625, 'PREP': 4.4921875, 'DET': -5.34765625, 'SVA': -4.7890625}",G,"{'G': 5.02734375, 'PREP': 1.28515625, 'DET': -6.55859375, 'SVA': -4.2109375}"
I have always been interested in arts and festivals.,G,Preposition_Missing,PREP,"{'G': 2.224609375, 'PREP': 3.591796875, 'DET': -4.078125, 'SVA': -4.01953125}",PREP,"{'G': 3.263671875, 'PREP': 4.8125, 'DET': -5.00390625, 'SVA': -4.1796875}",G,"{'G': 5.06640625, 'PREP': 1.2900390625, 'DET': -6.6328125, 'SVA': -4.28125}"
A lot of waiters who didn't dislike Katherine press Pamela to nod.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.16796875, 'PREP': -2.94140625, 'DET': -4.5, 'SVA': 3.580078125}",G,"{'G': 6.7265625, 'PREP': -2.427734375, 'DET': -4.60546875, 'SVA': -2.240234375}",G,"{'G': 7.1796875, 'PREP': -2.447265625, 'DET': -5.49609375, 'SVA': -2.80859375}"
"Firstly, the most suitable month would be July because I am very busy with my work now, and my children are on holiday then.",G,Preposition_Replacing,PREP,"{'G': 2.568359375, 'PREP': 3.419921875, 'DET': -4.484375, 'SVA': -4.03515625}",PREP,"{'G': 3.380859375, 'PREP': 4.80078125, 'DET': -5.046875, 'SVA': -4.29296875}",G,"{'G': 5.625, 'PREP': 0.82861328125, 'DET': -6.76171875, 'SVA': -4.28125}"
Most students in our class are studying Fashion full - time.,G,Preposition_Unnecessary,PREP,"{'G': 2.580078125, 'PREP': 3.34375, 'DET': -4.19140625, 'SVA': -4.21484375}",PREP,"{'G': 3.185546875, 'PREP': 4.8125, 'DET': -4.98828125, 'SVA': -4.1171875}",G,"{'G': 5.34375, 'PREP': 1.0068359375, 'DET': -6.65625, 'SVA': -4.171875}"
So I am quite confident at this.,G,Preposition_Replacing,PREP,"{'G': 2.4140625, 'PREP': 3.51171875, 'DET': -4.22265625, 'SVA': -4.1015625}",PREP,"{'G': 4.16015625, 'PREP': 4.390625, 'DET': -5.34375, 'SVA': -4.87109375}",G,"{'G': 5.33203125, 'PREP': 1.17578125, 'DET': -6.64453125, 'SVA': -4.47265625}"
"Now, I am writing to you to ask for some details about these two weeks at Camp California and to give you some answers to your questions.",G,Preposition_Missing,PREP,"{'G': 2.732421875, 'PREP': 3.30078125, 'DET': -4.5859375, 'SVA': -4.09375}",G,"{'G': 4.3984375, 'PREP': 4.19140625, 'DET': -5.58203125, 'SVA': -4.8515625}",G,"{'G': 5.328125, 'PREP': 1.16015625, 'DET': -6.7421875, 'SVA': -4.34765625}"
The sister of all cashiers force Andrea's best friend to cry.,SVA,distractor_agreement_relational_noun,G,"{'G': 5.140625, 'PREP': -2.37890625, 'DET': -4.64453125, 'SVA': -2.1015625}",SVA,"{'G': -0.048095703125, 'PREP': -2.521484375, 'DET': -3.423828125, 'SVA': 5.1484375}",SVA,"{'G': -2.05078125, 'PREP': -3.12109375, 'DET': -2.01171875, 'SVA': 9.3359375}"
All day I speak with the majority of my colleagues by telephone or e - mail.,G,Preposition_Unnecessary,PREP,"{'G': 2.5859375, 'PREP': 3.4296875, 'DET': -4.546875, 'SVA': -4.0234375}",PREP,"{'G': 3.826171875, 'PREP': 4.57421875, 'DET': -5.28125, 'SVA': -4.6328125}",G,"{'G': 5.28125, 'PREP': 1.1357421875, 'DET': -6.67578125, 'SVA': -4.27734375}"
Candice return to Eva.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.16796875, 'PREP': -2.177734375, 'DET': -4.453125, 'SVA': -2.509765625}",SVA,"{'G': 0.281005859375, 'PREP': -3.234375, 'DET': -5.203125, 'SVA': 6.5625}",SVA,"{'G': -2.119140625, 'PREP': -3.138671875, 'DET': -1.9013671875, 'SVA': 9.3671875}"
"Firstly, we got our tickets at your ticket office just one hour before the show.",G,Preposition_Replacing,PREP,"{'G': 2.529296875, 'PREP': 3.443359375, 'DET': -4.44140625, 'SVA': -4.03515625}",PREP,"{'G': 3.662109375, 'PREP': 4.7265625, 'DET': -5.20703125, 'SVA': -4.54296875}",G,"{'G': 4.3359375, 'PREP': 2.111328125, 'DET': -6.53125, 'SVA': -4.53125}"
"I also would prefer to sleep in tents, which are more comfortable, and, because I have been doing lots of camping, I am quite used to this kind of accommodation.",G,Preposition_Replacing,PREP,"{'G': 2.56640625, 'PREP': 3.427734375, 'DET': -4.44140625, 'SVA': -4.0859375}",PREP,"{'G': 3.791015625, 'PREP': 4.65625, 'DET': -5.26953125, 'SVA': -4.61328125}",G,"{'G': 5.16015625, 'PREP': 1.271484375, 'DET': -6.66796875, 'SVA': -4.34765625}"
The granddaughters of Eva has explained these libraries aren't tempting Carolyn to reveal Ellen.,SVA,distractor_agreement_relational_noun,G,"{'G': 3.86328125, 'PREP': -2.521484375, 'DET': -5.66015625, 'SVA': 1.0732421875}",SVA,"{'G': -1.2509765625, 'PREP': -3.6171875, 'DET': -3.32421875, 'SVA': 7.421875}",SVA,"{'G': -1.0712890625, 'PREP': -3.193359375, 'DET': -3.060546875, 'SVA': 8.8359375}"
"However, we'd like to ask about London Fashion and Leisure Show that we've seen an advertisement for in this week's college newspaper. We would appreciate it if you could give us a chance to go there while we are visiting London.",G,Preposition_Unnecessary,PREP,"{'G': 2.640625, 'PREP': 3.373046875, 'DET': -4.4921875, 'SVA': -4.08984375}",PREP,"{'G': 3.919921875, 'PREP': 4.58203125, 'DET': -5.34765625, 'SVA': -4.6875}",G,"{'G': 5.390625, 'PREP': 1.09375, 'DET': -6.72265625, 'SVA': -4.3671875}"
A lot of senators who had disturbed Ellen profits.,SVA,distractor_agreement_relative_clause,G,"{'G': 2.9375, 'PREP': -3.0390625, 'DET': -4.45703125, 'SVA': 2.28125}",SVA,"{'G': -1.52734375, 'PREP': -3.23828125, 'DET': -3.5703125, 'SVA': 7.5234375}",SVA,"{'G': -2.130859375, 'PREP': -3.126953125, 'DET': -1.8984375, 'SVA': 9.3515625}"
"I am not very good at painting, but I choose it because it is a good opportunity to do it.",G,Preposition_Missing,PREP,"{'G': 2.41796875, 'PREP': 3.509765625, 'DET': -4.3125, 'SVA': -4.03515625}",G,"{'G': 4.37890625, 'PREP': 4.20703125, 'DET': -5.53125, 'SVA': -4.859375}",G,"{'G': 5.06640625, 'PREP': 1.34375, 'DET': -6.63671875, 'SVA': -4.328125}"
