text,labels,UID,prediction,Probabilities
Those customers examine those commentaries.,G,regular_plural_subject_verb_agreement_1,G,"{'G': 6.7890625, 'PREP': -2.380859375, 'DET': -4.13671875, 'SVA': -2.642578125}"
Even Carlos will often happen to die.,G,npi_present_1,G,"{'G': 6.71875, 'PREP': -1.349609375, 'DET': -4.75, 'SVA': -3.232421875}"
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G,"{'G': 6.84375, 'PREP': -2.142578125, 'DET': -4.57421875, 'SVA': -2.625}"
Margaret has said Craig discusses himself.,G,principle_A_domain_2,G,"{'G': 6.86328125, 'PREP': -2.03125, 'DET': -4.50390625, 'SVA': -2.87109375}"
Julia skated around that popular cafe.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 6.765625, 'PREP': -2.310546875, 'DET': -4.7421875, 'SVA': -2.25}"
"Modern technology is used all the time at home, at school or working.",PREP,Preposition_Missing,PREP,"{'G': 3.373046875, 'PREP': 4.8046875, 'DET': -5.03125, 'SVA': -4.30078125}"
Many senators scan this black newspaper articles.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.7421875, 'PREP': -2.458984375, 'DET': 9.3828125, 'SVA': -2.455078125}"
"I thought it was a good idea to tell to Pat because we could use it to look for exams, and then we could pass all of them.",PREP,Preposition_Unnecessary,G,"{'G': 4.38671875, 'PREP': 4.2421875, 'DET': -5.61328125, 'SVA': -4.8515625}"
Robert couldn't embarrass that scared people.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.623046875, 'PREP': -2.392578125, 'DET': 9.34375, 'SVA': -2.62890625}"
It's himself who Brad talked to.,G,principle_A_reconstruction,G,"{'G': 6.80859375, 'PREP': -2.244140625, 'DET': -4.4453125, 'SVA': -2.5703125}"
Lori isn't messing up that tooth.,G,determiner_noun_agreement_irregular_2,G,"{'G': 6.74609375, 'PREP': -2.44921875, 'DET': -4.66015625, 'SVA': -2.1640625}"
Guy bored that troubled man.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 6.765625, 'PREP': -2.294921875, 'DET': -4.78515625, 'SVA': -2.2421875}"
"I can play games, listen to music, and I can do my course work in the computer.",PREP,Preposition_Replacing,PREP,"{'G': 3.251953125, 'PREP': 4.80859375, 'DET': -4.984375, 'SVA': -4.17578125}"
People were sitting down.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 6.73046875, 'PREP': -2.345703125, 'DET': -3.98828125, 'SVA': -2.796875}"
Homer wouldn't go to these banks.,G,determiner_noun_agreement_2,G,"{'G': 6.84375, 'PREP': -2.16796875, 'DET': -4.609375, 'SVA': -2.578125}"
Thomas has hidden those small tooth.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.353515625, 'PREP': -2.068359375, 'DET': 9.2734375, 'SVA': -3.142578125}"
Deanna explores these oasis.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.447265625, 'PREP': -2.251953125, 'DET': 9.3046875, 'SVA': -2.896484375}"
Caroline was observing that standing man.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 6.80078125, 'PREP': -2.35546875, 'DET': -4.44921875, 'SVA': -2.490234375}"
This analysis has appeared to alarm Steve.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 6.77734375, 'PREP': -2.388671875, 'DET': -4.70703125, 'SVA': -2.17578125}"
Lori hasn't exited that grocery stores.,DET,determiner_noun_agreement_1,DET,"{'G': -2.681640625, 'PREP': -2.333984375, 'DET': 9.3828125, 'SVA': -2.63671875}"
Every axis hasn't looked like most prints.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 6.8359375, 'PREP': -2.27734375, 'DET': -4.40234375, 'SVA': -2.576171875}"
These hypotheses embarrass Dennis.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 6.65234375, 'PREP': -2.654296875, 'DET': -4.046875, 'SVA': -2.255859375}"
Clyde had that exposed axes.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.650390625, 'PREP': -2.298828125, 'DET': 9.3671875, 'SVA': -2.681640625}"
"We are really satisfied with the sightseeing by bus, and in going to the National Gallery, but the whole class would like to go to The London Fashion Show and it will be free.",PREP,Preposition_Replacing,PREP,"{'G': 4.296875, 'PREP': 4.30078125, 'DET': -5.51953125, 'SVA': -4.8203125}"
Most customers have gone to those oasis.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.009765625, 'PREP': -2.146484375, 'DET': 9.0859375, 'SVA': -3.3359375}"
Some lakes confused this unlucky woman.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 6.8046875, 'PREP': -2.302734375, 'DET': -4.48828125, 'SVA': -2.48828125}"
The drivers hadn't returned to themselves.,G,anaphor_number_agreement,G,"{'G': 6.82421875, 'PREP': -1.9912109375, 'DET': -4.37109375, 'SVA': -2.95703125}"
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP,"{'G': 3.884765625, 'PREP': 4.62890625, 'DET': -5.33203125, 'SVA': -4.6796875}"
Joel approaches this actresses.,DET,determiner_noun_agreement_2,DET,"{'G': -2.76171875, 'PREP': -2.396484375, 'DET': 9.390625, 'SVA': -2.5}"
"So, I think July is the best time to go to the Camp.",G,Preposition_Replacing,PREP,"{'G': 3.7421875, 'PREP': 4.671875, 'DET': -5.30078125, 'SVA': -4.5625}"
The pictures of Martha doesn't disgust Anne.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.439453125, 'PREP': -2.85546875, 'DET': -2.833984375, 'SVA': 7.7421875}"
The women has read.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -2.33984375, 'PREP': -2.88671875, 'DET': -2.931640625, 'SVA': 7.734375}"
"So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday.",G,Preposition_Replacing,PREP,"{'G': 3.96875, 'PREP': 4.546875, 'DET': -5.453125, 'SVA': -4.65234375}"
Analyses persuades this cousin of Brad to exercise.,SVA,irregular_plural_subject_verb_agreement_1,SVA,"{'G': 2.814453125, 'PREP': -3.572265625, 'DET': -5.62109375, 'SVA': 4.37109375}"
A person hadn't boasted about that waiters.,DET,determiner_noun_agreement_2,DET,"{'G': -2.572265625, 'PREP': -2.482421875, 'DET': 9.3046875, 'SVA': -2.57421875}"
Aaron could think about these medium.,DET,determiner_noun_agreement_irregular_1,DET,"{'G': -2.271484375, 'PREP': -2.13671875, 'DET': 9.2265625, 'SVA': -3.15625}"
The cousin of a lot of customers have cooked.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -2.375, 'PREP': -2.650390625, 'DET': -3.1796875, 'SVA': 7.7265625}"
Anne was investigated.,G,passive_2,G,"{'G': 6.8359375, 'PREP': -1.8740234375, 'DET': -4.52734375, 'SVA': -2.970703125}"
