text,labels,UID,BB_RoBERTa_preds,BB_RoBERTa_probs
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G,"{'G': 6.84375, 'PREP': -2.142578125, 'DET': -4.57421875, 'SVA': -2.625}"
"I thought it was a good idea to tell to Pat because we could use it to look for exams, and then we could pass all of them.",PREP,Preposition_Unnecessary,G,"{'G': 4.38671875, 'PREP': 4.2421875, 'DET': -5.61328125, 'SVA': -4.8515625}"
You advertised for my perfect evening out.,PREP,Preposition_Unnecessary,G,"{'G': 4.5703125, 'PREP': 3.765625, 'DET': -5.48828125, 'SVA': -4.83203125}"
"I felt like a fool, and all the audience felt like I did.",PREP,Preposition_Replacing,G,"{'G': 5.49609375, 'PREP': 2.208984375, 'DET': -5.4140625, 'SVA': -4.65625}"
"1. First of all, I was really furious of watching a show starring a different actor, instead of Danny Brook,",PREP,Preposition_Replacing,G,"{'G': 4.8203125, 'PREP': 3.587890625, 'DET': -5.765625, 'SVA': -4.765625}"
I am replying to your letter about the first prize of the competition that I won and there are a number of things I would like to make clear.,PREP,Preposition_Replacing,G,"{'G': 4.6640625, 'PREP': 3.814453125, 'DET': -5.671875, 'SVA': -4.83203125}"
"Lastly, I would like to learn that what kinds of clothes I have to bring with me and how much money (American currency - dollars) I'll need to have while I'm there.",PREP,Preposition_Unnecessary,G,"{'G': 5.03125, 'PREP': 3.068359375, 'DET': -5.24609375, 'SVA': -4.97265625}"
I hope that you will agree with this suggestion.,PREP,Preposition_Replacing,G,"{'G': 5.95703125, 'PREP': 0.79638671875, 'DET': -5.7265625, 'SVA': -3.673828125}"
"I particularly liked meeting people of different countries and some pop - stars, who were friendly towards us.",PREP,Preposition_Replacing,G,"{'G': 4.88671875, 'PREP': 3.439453125, 'DET': -5.49609375, 'SVA': -4.92578125}"
I would like to tell to everyone - don't be naive when you share your big secret or problem with someone.,PREP,Preposition_Unnecessary,G,"{'G': 5.17578125, 'PREP': 2.208984375, 'DET': -5.9921875, 'SVA': -3.84765625}"
"Of course, you should give a refund of the money spent, not only to me but to all the audience.",PREP,Preposition_Replacing,G,"{'G': 4.35546875, 'PREP': 4.22265625, 'DET': -5.69140625, 'SVA': -4.71875}"
"So, you run to the bank but have to wait for the queue.",PREP,Preposition_Replacing,G,"{'G': 4.828125, 'PREP': 3.26953125, 'DET': -5.89453125, 'SVA': -4.43359375}"
"Maybe it was the wrong decision to tell her. She began to share that secret to everybody, including the teachers.",PREP,Preposition_Replacing,G,"{'G': 5.22265625, 'PREP': 2.705078125, 'DET': -5.62109375, 'SVA': -4.65234375}"
