text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
My second complaint is about some the concert halls which were too small.,PREP,Preposition_Missing,G,"{'G': 4.8203125, 'PREP': -0.82666015625, 'DET': -4.4375, 'SVA': -3.494140625}",PREP,"{'G': 3.923828125, 'PREP': 4.55078125, 'DET': -5.3984375, 'SVA': -4.69140625}",G,"{'G': 5.5, 'PREP': 0.91943359375, 'DET': -6.7578125, 'SVA': -4.2109375}"
To my personal opinion one of the most important and useful things which has been invented is the car.,PREP,Preposition_Replacing,G,"{'G': 3.115234375, 'PREP': 2.904296875, 'DET': -4.63671875, 'SVA': -4.26171875}",PREP,"{'G': 3.37109375, 'PREP': 4.796875, 'DET': -5.00390625, 'SVA': -4.31640625}",G,"{'G': 4.921875, 'PREP': 1.51171875, 'DET': -6.6640625, 'SVA': -4.34375}"
You wanted to hear about my experience at the pop concert which I enjoyed helping last month?,PREP,Preposition_Missing,G,"{'G': 3.279296875, 'PREP': 2.72265625, 'DET': -4.86328125, 'SVA': -4.16015625}",PREP,"{'G': 3.822265625, 'PREP': 4.6484375, 'DET': -5.28515625, 'SVA': -4.62890625}",G,"{'G': 5.6640625, 'PREP': 0.79345703125, 'DET': -6.79296875, 'SVA': -4.26953125}"
It sounds like a summer holiday at the coast of Italy.,PREP,Preposition_Replacing,G,"{'G': 3.328125, 'PREP': 2.541015625, 'DET': -5.49609375, 'SVA': -3.533203125}",PREP,"{'G': 3.734375, 'PREP': 4.67578125, 'DET': -5.4453125, 'SVA': -4.484375}",G,"{'G': 5.62890625, 'PREP': 0.69384765625, 'DET': -6.7421875, 'SVA': -4.11328125}"
In the last forty years people seem to have become completely addicted by using their car.,PREP,Preposition_Replacing,G,"{'G': 3.53515625, 'PREP': 2.275390625, 'DET': -5.18359375, 'SVA': -3.87109375}",PREP,"{'G': 3.849609375, 'PREP': 4.62109375, 'DET': -5.26171875, 'SVA': -4.67578125}",G,"{'G': 4.3125, 'PREP': 2.2421875, 'DET': -6.58984375, 'SVA': -4.6171875}"
In fact queuing up in front of every ticket office is a waste time.,PREP,Preposition_Missing,G,"{'G': 4.08984375, 'PREP': 1.314453125, 'DET': -5.20703125, 'SVA': -3.837890625}",PREP,"{'G': 3.75, 'PREP': 4.72265625, 'DET': -5.296875, 'SVA': -4.6328125}",G,"{'G': 4.58984375, 'PREP': 1.880859375, 'DET': -6.67578125, 'SVA': -4.390625}"
"Firstly, I hoped to have a relaxing evening with your show but that didn't happen.",PREP,Preposition_Replacing,G,"{'G': 3.166015625, 'PREP': 2.880859375, 'DET': -4.88671875, 'SVA': -4.09765625}",PREP,"{'G': 4.08984375, 'PREP': 4.47265625, 'DET': -5.46875, 'SVA': -4.73046875}",G,"{'G': 4.52734375, 'PREP': 1.8291015625, 'DET': -6.4921875, 'SVA': -4.4453125}"
I know that I had to ask at my Mum or Dad about going out with my friend after school.,PREP,Preposition_Unnecessary,G,"{'G': 3.3046875, 'PREP': 2.70703125, 'DET': -4.93359375, 'SVA': -4.09765625}",PREP,"{'G': 4.26953125, 'PREP': 4.28125, 'DET': -5.59375, 'SVA': -4.73046875}",G,"{'G': 6.078125, 'PREP': 0.168701171875, 'DET': -6.69921875, 'SVA': -4.08203125}"
You asked me for an interesting building to visit.,PREP,Preposition_Replacing,G,"{'G': 3.734375, 'PREP': 1.943359375, 'DET': -5.0234375, 'SVA': -4.05078125}",PREP,"{'G': 2.953125, 'PREP': 4.75390625, 'DET': -4.94921875, 'SVA': -3.86328125}",G,"{'G': 6.37109375, 'PREP': -0.1500244140625, 'DET': -6.69921875, 'SVA': -4.06640625}"
It affects us lots of ways.,PREP,Preposition_Missing,G,"{'G': 4.93359375, 'PREP': -1.9912109375, 'DET': -3.55859375, 'SVA': -3.05859375}",PREP,"{'G': 3.580078125, 'PREP': 4.7265625, 'DET': -5.2265625, 'SVA': -4.4453125}",G,"{'G': 4.80859375, 'PREP': 1.3359375, 'DET': -6.55078125, 'SVA': -3.880859375}"
