text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
Can you imagine you and your friends going a picnic to the Moon with a silvery skirt with astronaut boots with fire coming out at the bottom of your boots?,PREP,Preposition_Missing,G,"{'G': 3.953125, 'PREP': 1.60546875, 'DET': -5.13671875, 'SVA': -3.94140625}",G,"{'G': 6.0, 'PREP': 1.0322265625, 'DET': -5.4765625, 'SVA': -4.14453125}",PREP,"{'G': 2.017578125, 'PREP': 5.2734375, 'DET': -6.56640625, 'SVA': -5.6171875}"
Change wasn't common and Governments didn't invest enough money on it.,PREP,Preposition_Replacing,G,"{'G': 5.078125, 'PREP': -1.43359375, 'DET': -4.6953125, 'SVA': -3.041015625}",G,"{'G': 6.81640625, 'PREP': -2.208984375, 'DET': -4.42578125, 'SVA': -2.705078125}",PREP,"{'G': 1.7060546875, 'PREP': 5.53125, 'DET': -6.36328125, 'SVA': -5.66796875}"
"For men and women appearance is important and they spend a lot of money in buying clothes, cosmetics, accessories, jewellery etc.",PREP,Preposition_Unnecessary,G,"{'G': 3.275390625, 'PREP': 2.712890625, 'DET': -5.21484375, 'SVA': -3.873046875}",G,"{'G': 6.0, 'PREP': 1.23828125, 'DET': -5.55859375, 'SVA': -4.3203125}",PREP,"{'G': 2.298828125, 'PREP': 5.08984375, 'DET': -6.7109375, 'SVA': -5.73046875}"
"Nowadays, we have millions styles of fashion and every single person has their own fashion.",PREP,Preposition_Missing,G,"{'G': 3.314453125, 'PREP': 2.705078125, 'DET': -4.96484375, 'SVA': -4.11328125}",G,"{'G': 5.1171875, 'PREP': 3.080078125, 'DET': -5.65234375, 'SVA': -4.84375}",PREP,"{'G': 1.685546875, 'PREP': 5.5234375, 'DET': -6.09765625, 'SVA': -5.828125}"
"I'm sorry to be writing to you for such a bad thing, but my evening at your theatre wasn't as perfect as you advertised : it wasn't perfect at all!",PREP,Preposition_Replacing,G,"{'G': 3.080078125, 'PREP': 2.95703125, 'DET': -4.7734375, 'SVA': -4.15625}",G,"{'G': 4.61328125, 'PREP': 3.927734375, 'DET': -5.58984375, 'SVA': -4.91796875}",PREP,"{'G': 2.474609375, 'PREP': 4.89453125, 'DET': -6.75390625, 'SVA': -5.69140625}"
"Deep of herself, Alex knew they were lost in the middle of nowhere, but she didn't want to admit it.",PREP,Preposition_Replacing,G,"{'G': 4.8515625, 'PREP': -0.64013671875, 'DET': -4.9296875, 'SVA': -3.306640625}",G,"{'G': 5.7421875, 'PREP': 1.7138671875, 'DET': -5.47265625, 'SVA': -4.4765625}",PREP,"{'G': 0.61328125, 'PREP': 5.4921875, 'DET': -5.51953125, 'SVA': -4.33203125}"
Choosing gives me such great pleasure because I never have to worry from where I get money for my wishes.,PREP,Preposition_Replacing,G,"{'G': 3.7109375, 'PREP': 2.03125, 'DET': -4.82421875, 'SVA': -4.20703125}",G,"{'G': 5.3828125, 'PREP': 2.4609375, 'DET': -5.390625, 'SVA': -4.80078125}",PREP,"{'G': 1.697265625, 'PREP': 5.54296875, 'DET': -6.40234375, 'SVA': -5.64453125}"
"I can't wait to do my painting for the rising sun, and can't imagine how wonderful sailing along the rivers will be.",PREP,Preposition_Replacing,G,"{'G': 4.171875, 'PREP': 1.078125, 'DET': -4.94921875, 'SVA': -3.958984375}",G,"{'G': 5.05859375, 'PREP': 3.111328125, 'DET': -5.47265625, 'SVA': -4.91015625}",PREP,"{'G': 2.48046875, 'PREP': 4.87109375, 'DET': -6.734375, 'SVA': -5.67578125}"
Here are the answers for your questions.,PREP,Preposition_Replacing,G,"{'G': 2.9765625, 'PREP': 2.705078125, 'DET': -4.578125, 'SVA': -3.89453125}",G,"{'G': 5.75390625, 'PREP': 0.358154296875, 'DET': -4.98828125, 'SVA': -3.505859375}",PREP,"{'G': 1.177734375, 'PREP': 5.640625, 'DET': -5.54296875, 'SVA': -5.60546875}"
It will be relaxing to go to Greenwich in the afternoon looking though the river.,PREP,Preposition_Replacing,G,"{'G': 4.76171875, 'PREP': -0.316650390625, 'DET': -5.00390625, 'SVA': -3.4375}",G,"{'G': 5.2734375, 'PREP': 2.525390625, 'DET': -5.83203125, 'SVA': -4.40625}",PREP,"{'G': 1.8896484375, 'PREP': 5.37109375, 'DET': -6.53125, 'SVA': -5.5625}"
I'm writing to you to describe some problems with your theatre's show. First I have to say to you that there was a different actor to the one advertised starring the play.,PREP,Preposition_Missing,G,"{'G': 3.119140625, 'PREP': 2.939453125, 'DET': -4.8515625, 'SVA': -4.11328125}",G,"{'G': 5.08203125, 'PREP': 2.880859375, 'DET': -5.95703125, 'SVA': -4.3515625}",PREP,"{'G': 2.255859375, 'PREP': 4.8984375, 'DET': -6.5703125, 'SVA': -5.4296875}"
It all began when Paul went downstairs of the Heavy Sleep.,PREP,Preposition_Replacing,G,"{'G': 3.169921875, 'PREP': 2.6875, 'DET': -5.3515625, 'SVA': -3.537109375}",G,"{'G': 4.76171875, 'PREP': 3.630859375, 'DET': -5.796875, 'SVA': -4.73046875}",PREP,"{'G': 1.2255859375, 'PREP': 5.6484375, 'DET': -6.05078125, 'SVA': -5.23046875}"
