text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"When I have received the photos I took, I will write you again to give them to you.",PREP,Preposition_Missing,PREP,"{'G': 2.638671875, 'PREP': 3.359375, 'DET': -4.484375, 'SVA': -4.08203125}",G,"{'G': 4.90625, 'PREP': 3.306640625, 'DET': -5.70703125, 'SVA': -4.6953125}",PREP,"{'G': 0.327392578125, 'PREP': 5.6328125, 'DET': -4.375, 'SVA': -5.10546875}"
"Climbing is something new for me and I am not so good on it, however, I hope that I can learn about it at the Camp.",PREP,Preposition_Replacing,PREP,"{'G': 2.693359375, 'PREP': 3.33984375, 'DET': -4.5390625, 'SVA': -4.11328125}",G,"{'G': 4.63671875, 'PREP': 3.849609375, 'DET': -5.51953125, 'SVA': -4.93359375}",PREP,"{'G': 1.9052734375, 'PREP': 5.421875, 'DET': -6.58203125, 'SVA': -5.671875}"
I'm looking forward to seeing you on the conference.,PREP,Preposition_Replacing,PREP,"{'G': 2.353515625, 'PREP': 3.494140625, 'DET': -3.951171875, 'SVA': -4.22265625}",G,"{'G': 5.29296875, 'PREP': 2.2421875, 'DET': -5.96484375, 'SVA': -4.05078125}",PREP,"{'G': 0.685546875, 'PREP': 5.68359375, 'DET': -5.31640625, 'SVA': -4.9921875}"
And as lastly that was the worst night I had ever had so I asked for my money back but they wouldn't give me it so I had an argument with the people who worked there but I couldn't get my money back.,PREP,Preposition_Unnecessary,PREP,"{'G': 2.654296875, 'PREP': 3.359375, 'DET': -4.546875, 'SVA': -4.05859375}",G,"{'G': 4.34375, 'PREP': 4.25390625, 'DET': -5.4765625, 'SVA': -4.8828125}",PREP,"{'G': 2.1640625, 'PREP': 5.2421875, 'DET': -6.68359375, 'SVA': -5.76171875}"
There's no need to go to the shops when I can order things by the computer.,PREP,Preposition_Replacing,PREP,"{'G': 2.63671875, 'PREP': 3.375, 'DET': -4.43359375, 'SVA': -4.12109375}",G,"{'G': 4.86328125, 'PREP': 3.45703125, 'DET': -5.74609375, 'SVA': -4.78125}",PREP,"{'G': 2.328125, 'PREP': 5.078125, 'DET': -6.74609375, 'SVA': -5.734375}"
I enjoyed it very much and I want to convey my pleasure to you though this letter.,PREP,Preposition_Replacing,PREP,"{'G': 2.90625, 'PREP': 3.142578125, 'DET': -4.57421875, 'SVA': -4.21484375}",G,"{'G': 4.93359375, 'PREP': 3.154296875, 'DET': -5.74609375, 'SVA': -4.61328125}",PREP,"{'G': 1.63671875, 'PREP': 5.578125, 'DET': -6.34375, 'SVA': -5.6328125}"
I have learned a lot with the Internet. It gives me the opportunity to know more about things I never knew.,PREP,Preposition_Missing,PREP,"{'G': 2.791015625, 'PREP': 3.26171875, 'DET': -4.5546875, 'SVA': -4.1640625}",G,"{'G': 4.39453125, 'PREP': 4.2109375, 'DET': -5.63671875, 'SVA': -4.82421875}",PREP,"{'G': 2.24609375, 'PREP': 5.15625, 'DET': -6.73046875, 'SVA': -5.73046875}"
I would prefer to go to the Camp on July.,PREP,Preposition_Replacing,PREP,"{'G': 2.333984375, 'PREP': 3.552734375, 'DET': -4.140625, 'SVA': -4.07421875}",G,"{'G': 5.453125, 'PREP': 2.0078125, 'DET': -5.8125, 'SVA': -4.14453125}",PREP,"{'G': 0.148193359375, 'PREP': 5.546875, 'DET': -4.3671875, 'SVA': -4.68359375}"
I am sure together we can spend a good student conference at my college.,PREP,Preposition_Missing,PREP,"{'G': 2.80078125, 'PREP': 3.236328125, 'DET': -4.5546875, 'SVA': -4.14453125}",G,"{'G': 4.82421875, 'PREP': 3.369140625, 'DET': -6.05859375, 'SVA': -4.41796875}",PREP,"{'G': 1.68359375, 'PREP': 5.5546875, 'DET': -6.375, 'SVA': -5.6484375}"
"The idea of going to the science museum is fantastic. I read about the museum, and it is really interesting in the history of science.",PREP,Preposition_Replacing,PREP,"{'G': 2.66796875, 'PREP': 3.376953125, 'DET': -4.58984375, 'SVA': -4.0625}",G,"{'G': 4.390625, 'PREP': 4.23828125, 'DET': -5.55078125, 'SVA': -4.8984375}",PREP,"{'G': 3.513671875, 'PREP': 3.646484375, 'DET': -6.87890625, 'SVA': -5.30859375}"
It is a good idea to include the visit to the Science Museum and the National Art Gallery at the morning on Tuesday and Wednesday respectively.,PREP,Preposition_Replacing,PREP,"{'G': 2.484375, 'PREP': 3.466796875, 'DET': -4.44921875, 'SVA': -3.994140625}",G,"{'G': 4.421875, 'PREP': 4.1796875, 'DET': -5.703125, 'SVA': -4.796875}",PREP,"{'G': 2.302734375, 'PREP': 5.09765625, 'DET': -6.74609375, 'SVA': -5.72265625}"
"Second, I went to the theatre exactly seven thirty in the evening.",PREP,Preposition_Missing,PREP,"{'G': 2.44921875, 'PREP': 3.4921875, 'DET': -4.390625, 'SVA': -4.01953125}",G,"{'G': 4.609375, 'PREP': 3.80078125, 'DET': -5.82421875, 'SVA': -4.640625}",PREP,"{'G': 2.193359375, 'PREP': 5.2109375, 'DET': -6.73046875, 'SVA': -5.71875}"
What I thought was going to be a wonderful night became into the worst night at the theatre I've ever had.,PREP,Preposition_Unnecessary,PREP,"{'G': 3.0, 'PREP': 3.07421875, 'DET': -4.73046875, 'SVA': -4.171875}",G,"{'G': 4.5390625, 'PREP': 3.998046875, 'DET': -5.62109375, 'SVA': -4.84765625}",PREP,"{'G': 1.654296875, 'PREP': 5.5703125, 'DET': -6.37890625, 'SVA': -5.625}"
It wasn't really a perfect evening like you promised on your flyer.,PREP,Preposition_Replacing,PREP,"{'G': 2.724609375, 'PREP': 3.236328125, 'DET': -4.21875, 'SVA': -4.33984375}",G,"{'G': 4.96875, 'PREP': 3.17578125, 'DET': -5.6796875, 'SVA': -4.7109375}",PREP,"{'G': 1.017578125, 'PREP': 5.72265625, 'DET': -5.69921875, 'SVA': -5.30078125}"
You know what kind of clothes I need and could you give some advice how much money I will need?,PREP,Preposition_Missing,PREP,"{'G': 2.986328125, 'PREP': 3.0390625, 'DET': -4.5078125, 'SVA': -4.28125}",G,"{'G': 4.71484375, 'PREP': 3.759765625, 'DET': -5.53125, 'SVA': -5.00390625}",PREP,"{'G': 2.005859375, 'PREP': 5.328125, 'DET': -6.60546875, 'SVA': -5.6484375}"
Finally I would like to know if I need a lot of money about this trip and if we are going to visit some buildings.,PREP,Preposition_Replacing,PREP,"{'G': 2.66796875, 'PREP': 3.365234375, 'DET': -4.515625, 'SVA': -4.109375}",G,"{'G': 5.0234375, 'PREP': 3.0234375, 'DET': -5.203125, 'SVA': -4.99609375}",PREP,"{'G': 2.294921875, 'PREP': 5.10546875, 'DET': -6.73046875, 'SVA': -5.7421875}"
"Finally, I decided to visit her but I wanted that it to be a surprise.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.8515625, 'PREP': 3.21484375, 'DET': -4.61328125, 'SVA': -4.15625}",G,"{'G': 4.78125, 'PREP': 3.572265625, 'DET': -5.65234375, 'SVA': -4.7890625}",PREP,"{'G': 1.869140625, 'PREP': 5.421875, 'DET': -6.46875, 'SVA': -5.6953125}"
"When we arrived to the shopping centre, I saw a lot of people.",PREP,Preposition_Replacing,PREP,"{'G': 2.8359375, 'PREP': 3.232421875, 'DET': -4.6484375, 'SVA': -4.12109375}",G,"{'G': 4.62890625, 'PREP': 3.806640625, 'DET': -5.89453125, 'SVA': -4.63671875}",PREP,"{'G': 1.587890625, 'PREP': 5.5859375, 'DET': -6.3515625, 'SVA': -5.546875}"
He's not good not because he was born with this tendency to harm but the other characters have made him like that.,PREP,Preposition_Missing,PREP,"{'G': 3.021484375, 'PREP': 3.03125, 'DET': -4.73046875, 'SVA': -4.171875}",G,"{'G': 5.15625, 'PREP': 2.97265625, 'DET': -5.36328125, 'SVA': -4.9765625}",PREP,"{'G': 1.625, 'PREP': 5.57421875, 'DET': -6.19140625, 'SVA': -5.7421875}"
"Finally, I just want to say that the perfect evening that the advertisement promised and that we all wanted turned out to be regrettable for the wasted money.",PREP,Preposition_Replacing,PREP,"{'G': 2.71875, 'PREP': 3.322265625, 'DET': -4.5859375, 'SVA': -4.09375}",G,"{'G': 4.8671875, 'PREP': 3.447265625, 'DET': -5.625, 'SVA': -4.80078125}",PREP,"{'G': 2.193359375, 'PREP': 5.20703125, 'DET': -6.703125, 'SVA': -5.7421875}"
"It was a marvellous experience. I really enjoyed working with such a nice team, they were really kind with me.",PREP,Preposition_Replacing,PREP,"{'G': 2.67578125, 'PREP': 3.33203125, 'DET': -4.4609375, 'SVA': -4.140625}",G,"{'G': 4.46484375, 'PREP': 4.0859375, 'DET': -5.30859375, 'SVA': -5.05078125}",PREP,"{'G': 1.41796875, 'PREP': 5.640625, 'DET': -6.21875, 'SVA': -5.44140625}"
