text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
Those customers examine those commentaries.,G,regular_plural_subject_verb_agreement_1,G,"{'G': 5.1953125, 'PREP': -2.23046875, 'DET': -4.61328125, 'SVA': -2.40234375}",G,"{'G': 6.7890625, 'PREP': -2.380859375, 'DET': -4.13671875, 'SVA': -2.642578125}",G,"{'G': 7.078125, 'PREP': -2.697265625, 'DET': -4.80078125, 'SVA': -2.841796875}"
Even Carlos will often happen to die.,G,npi_present_1,G,"{'G': 5.09375, 'PREP': -2.142578125, 'DET': -4.04296875, 'SVA': -2.76953125}",G,"{'G': 6.71875, 'PREP': -1.349609375, 'DET': -4.75, 'SVA': -3.232421875}",G,"{'G': 7.24609375, 'PREP': -2.16015625, 'DET': -5.71484375, 'SVA': -3.24609375}"
Margaret has said Craig discusses himself.,G,principle_A_domain_2,G,"{'G': 5.12109375, 'PREP': -2.26953125, 'DET': -4.2734375, 'SVA': -2.52734375}",G,"{'G': 6.86328125, 'PREP': -2.03125, 'DET': -4.50390625, 'SVA': -2.87109375}",G,"{'G': 7.203125, 'PREP': -2.46875, 'DET': -5.2421875, 'SVA': -3.03125}"
Julia skated around that popular cafe.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 4.89453125, 'PREP': -2.4453125, 'DET': -3.576171875, 'SVA': -2.49609375}",G,"{'G': 6.765625, 'PREP': -2.310546875, 'DET': -4.7421875, 'SVA': -2.25}",G,"{'G': 7.20703125, 'PREP': -2.451171875, 'DET': -5.12890625, 'SVA': -3.15625}"
Many senators scan this black newspaper articles.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.28515625, 'PREP': -1.166015625, 'DET': 8.4921875, 'SVA': -1.6943359375}",DET,"{'G': -2.7421875, 'PREP': -2.458984375, 'DET': 9.3828125, 'SVA': -2.455078125}",DET,"{'G': -2.662109375, 'PREP': -2.53515625, 'DET': 11.09375, 'SVA': -1.8330078125}"
Robert couldn't embarrass that scared people.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -1.876953125, 'PREP': -1.49609375, 'DET': 8.3359375, 'SVA': -1.875}",DET,"{'G': -2.623046875, 'PREP': -2.392578125, 'DET': 9.34375, 'SVA': -2.62890625}",DET,"{'G': -2.46875, 'PREP': -2.767578125, 'DET': 11.140625, 'SVA': -1.8056640625}"
It's himself who Brad talked to.,G,principle_A_reconstruction,G,"{'G': 5.15234375, 'PREP': -2.28515625, 'DET': -4.53515625, 'SVA': -2.318359375}",G,"{'G': 6.80859375, 'PREP': -2.244140625, 'DET': -4.4453125, 'SVA': -2.5703125}",G,"{'G': 7.2109375, 'PREP': -2.24609375, 'DET': -5.578125, 'SVA': -3.169921875}"
Lori isn't messing up that tooth.,G,determiner_noun_agreement_irregular_2,G,"{'G': 5.15625, 'PREP': -2.38671875, 'DET': -4.59765625, 'SVA': -2.16796875}",G,"{'G': 6.74609375, 'PREP': -2.44921875, 'DET': -4.66015625, 'SVA': -2.1640625}",G,"{'G': 7.21484375, 'PREP': -2.44140625, 'DET': -5.203125, 'SVA': -3.15234375}"
Guy bored that troubled man.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 5.203125, 'PREP': -2.197265625, 'DET': -4.59765625, 'SVA': -2.447265625}",G,"{'G': 6.765625, 'PREP': -2.294921875, 'DET': -4.78515625, 'SVA': -2.2421875}",G,"{'G': 7.109375, 'PREP': -2.640625, 'DET': -4.98828125, 'SVA': -2.828125}"
People were sitting down.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.15234375, 'PREP': -1.7919921875, 'DET': -4.62890625, 'SVA': -2.76171875}",G,"{'G': 6.73046875, 'PREP': -2.345703125, 'DET': -3.98828125, 'SVA': -2.796875}",G,"{'G': 7.21484375, 'PREP': -2.322265625, 'DET': -5.48046875, 'SVA': -3.119140625}"
