text,labels,UID,O_RoBERTa_preds,O_RoBERTa_probs
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP,"{'G': 2.431640625, 'PREP': 4.90625, 'DET': -6.72265625, 'SVA': -5.6640625}"
"Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the maths class.",G,Preposition_Missing,PREP,"{'G': 2.0390625, 'PREP': 5.30859375, 'DET': -6.62890625, 'SVA': -5.68359375}"
"On behalf of all the students, I thank you for organizing our trip to London and for the really interesting programme you propose for us as well.",G,Preposition_Replacing,PREP,"{'G': 3.513671875, 'PREP': 3.623046875, 'DET': -6.859375, 'SVA': -5.3046875}"
I attended your festival and I would like to give you my suggestions for it.,G,Preposition_Replacing,PREP,"{'G': 1.6171875, 'PREP': 5.56640625, 'DET': -6.3671875, 'SVA': -5.5546875}"
"People have invented such things as TV, radio, telephones and so on which made us able to hear the news quickly and stay in touch with people easily.",G,Preposition_Replacing,PREP,"{'G': 2.265625, 'PREP': 5.140625, 'DET': -6.72265625, 'SVA': -5.7421875}"
"Not only is it a simple job, but also you can enjoy working with a lot of colleagues your age.",G,Preposition_Unnecessary,PREP,"{'G': 2.728515625, 'PREP': 4.59375, 'DET': -6.6796875, 'SVA': -5.58984375}"
"Now, it is important in the transport of thousands and thousands of people around the world.",G,Preposition_Unnecessary,PREP,"{'G': 2.376953125, 'PREP': 4.9921875, 'DET': -6.74609375, 'SVA': -5.69140625}"
"First of all, I would like to give you some further information about me and secondly, I'd like to ask you about some concerns that I have.",G,Preposition_Replacing,PREP,"{'G': 2.072265625, 'PREP': 5.30859375, 'DET': -6.65625, 'SVA': -5.73046875}"
"As requested, the aim of this report is to assess the suitability for a group of American students of the visit to the Etruscan Museum.",G,Preposition_Replacing,PREP,"{'G': 1.4267578125, 'PREP': 5.640625, 'DET': -6.1640625, 'SVA': -5.50390625}"
The students can get there on the No 35 bus.,G,Preposition_Replacing,PREP,"{'G': 2.75390625, 'PREP': 4.5234375, 'DET': -6.72265625, 'SVA': -5.5703125}"
report by the group leader,G,Preposition_Replacing,PREP,"{'G': 1.333984375, 'PREP': 5.546875, 'DET': -6.12109375, 'SVA': -5.19921875}"
I am writing to express my dissatisfaction with the show you put on two weeks ago at your theatre.,G,Preposition_Replacing,PREP,"{'G': 1.8564453125, 'PREP': 5.45703125, 'DET': -6.5078125, 'SVA': -5.69921875}"
I am a student in the English class.,G,Preposition_Replacing,PREP,"{'G': 2.041015625, 'PREP': 5.3203125, 'DET': -6.63671875, 'SVA': -5.6953125}"
"In addition to this, there is less communication between members of my family, because when we arrive home after an exhausting day racing against time, the only thing we want to do is lie on the sofa while watching television.",G,Preposition_Unnecessary,PREP,"{'G': 1.2724609375, 'PREP': 5.71484375, 'DET': -5.91796875, 'SVA': -5.5703125}"
It helps me with preparing my homework.,G,Preposition_Replacing,PREP,"{'G': 2.15234375, 'PREP': 5.2109375, 'DET': -6.6328125, 'SVA': -5.734375}"
If you want to hear more of my suggestions and opinions about it please contact me on my cellphone.,G,Preposition_Unnecessary,PREP,"{'G': 2.705078125, 'PREP': 4.47265625, 'DET': -6.66796875, 'SVA': -5.4609375}"
"When I bought my tickets, I noticed I didn't get any discount like the one that was written on the folder.",G,Preposition_Replacing,PREP,"{'G': 1.947265625, 'PREP': 5.40625, 'DET': -6.578125, 'SVA': -5.71875}"
"About what you can do in the area in the free time you have, I would suggest you visit the Modern Art Museum which now has a new exhibition.",G,Preposition_Replacing,PREP,"{'G': 2.25390625, 'PREP': 5.14453125, 'DET': -6.73046875, 'SVA': -5.72265625}"
"In addition to this, there is less communication between members of my family, because when we arrive home after an exhausting day racing against time, the only thing we want to do is lie on the sofa while watching television.",G,Preposition_Replacing,PREP,"{'G': 1.2724609375, 'PREP': 5.71484375, 'DET': -5.91796875, 'SVA': -5.5703125}"
That's why they both have to be taken into account in the video we will make.,G,Preposition_Replacing,PREP,"{'G': 2.451171875, 'PREP': 4.80859375, 'DET': -6.66015625, 'SVA': -5.60546875}"
Sometimes I even play some games on it.,G,Preposition_Replacing,PREP,"{'G': 0.87890625, 'PREP': 5.71484375, 'DET': -5.546875, 'SVA': -5.1796875}"
"He didn't want to say what Sarah had just told him, it just came out of his mouth, when he talked to James.",G,Preposition_Replacing,PREP,"{'G': 1.5810546875, 'PREP': 5.56640625, 'DET': -6.28515625, 'SVA': -5.5546875}"
"There was nobody to let me in, no way to contact my parents.",G,Preposition_Unnecessary,PREP,"{'G': 2.44140625, 'PREP': 4.66015625, 'DET': -6.51171875, 'SVA': -5.48046875}"
