text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
Lawrence had concealed what that cake resembles.,G,wh_vs_that_with_gap,DET,"{'G': -1.421875, 'PREP': -1.71875, 'DET': 8.03125, 'SVA': -2.17578125}",G,"{'G': 6.765625, 'PREP': -2.283203125, 'DET': -4.0546875, 'SVA': -2.814453125}",G,"{'G': 7.2265625, 'PREP': -2.400390625, 'DET': -5.17578125, 'SVA': -3.248046875}"
Some children question every child that the movie embarrasses.,G,wh_questions_object_gap,DET,"{'G': -1.41796875, 'PREP': -1.6142578125, 'DET': 7.98046875, 'SVA': -2.296875}",G,"{'G': 6.79296875, 'PREP': -2.189453125, 'DET': -4.3984375, 'SVA': -2.7421875}",G,"{'G': 7.19140625, 'PREP': -2.3828125, 'DET': -5.5546875, 'SVA': -2.90234375}"
It's himself that Aaron approached.,G,principle_A_reconstruction,DET,"{'G': 1.7109375, 'PREP': -2.291015625, 'DET': 3.58984375, 'SVA': -3.41015625}",G,"{'G': 6.8203125, 'PREP': -2.212890625, 'DET': -4.38671875, 'SVA': -2.67578125}",G,"{'G': 7.1875, 'PREP': -2.30078125, 'DET': -5.60546875, 'SVA': -3.00390625}"
Sarah researched some phenomenon that Jason researched.,G,wh_questions_object_gap,DET,"{'G': 1.80078125, 'PREP': -2.748046875, 'DET': 3.205078125, 'SVA': -2.70703125}",G,"{'G': 6.796875, 'PREP': -1.9755859375, 'DET': -4.63671875, 'SVA': -2.759765625}",G,"{'G': 7.2109375, 'PREP': -2.40625, 'DET': -5.24609375, 'SVA': -3.166015625}"
Travis should notice this hospital that all mouths annoy that hasn't upset every teacher.,G,wh_questions_subject_gap_long_distance,DET,"{'G': 1.740234375, 'PREP': -2.310546875, 'DET': 3.560546875, 'SVA': -3.318359375}",G,"{'G': 6.80078125, 'PREP': -1.9306640625, 'DET': -4.7109375, 'SVA': -2.763671875}",G,"{'G': 7.23046875, 'PREP': -2.291015625, 'DET': -5.57421875, 'SVA': -3.09765625}"
Some waiter should notice this mirror that Meredith isn't revealing that will disgust a lot of pedestrians.,G,wh_questions_subject_gap_long_distance,DET,"{'G': 0.488525390625, 'PREP': -2.30078125, 'DET': 5.703125, 'SVA': -2.96484375}",G,"{'G': 6.83203125, 'PREP': -2.0703125, 'DET': -4.67578125, 'SVA': -2.68359375}",G,"{'G': 7.2578125, 'PREP': -2.23828125, 'DET': -5.54296875, 'SVA': -3.25}"
Lori thought about the girls that all girls attack that impresses these teachers.,G,wh_questions_subject_gap_long_distance,DET,"{'G': 1.2333984375, 'PREP': -2.69140625, 'DET': 4.328125, 'SVA': -2.712890625}",G,"{'G': 6.81640625, 'PREP': -1.982421875, 'DET': -4.546875, 'SVA': -2.82421875}",G,"{'G': 7.2109375, 'PREP': -2.359375, 'DET': -5.51171875, 'SVA': -3.0078125}"
Those dancers think about themselves selling this pasta.,G,principle_A_case_2,DET,"{'G': -1.8486328125, 'PREP': -1.1689453125, 'DET': 8.2265625, 'SVA': -2.248046875}",G,"{'G': 6.80078125, 'PREP': -2.248046875, 'DET': -4.15234375, 'SVA': -2.853515625}",G,"{'G': 7.203125, 'PREP': -2.4609375, 'DET': -5.125, 'SVA': -3.146484375}"
Banks have thought about themselves confusing Theresa.,G,principle_A_case_2,DET,"{'G': -0.027557373046875, 'PREP': -2.548828125, 'DET': 2.6640625, 'SVA': 0.791015625}",G,"{'G': 6.77734375, 'PREP': -2.267578125, 'DET': -4.16796875, 'SVA': -2.80078125}",G,"{'G': 7.2109375, 'PREP': -2.416015625, 'DET': -5.29296875, 'SVA': -3.109375}"
Renee noticed some lady that cashiers praise.,G,wh_questions_object_gap,DET,"{'G': -0.411865234375, 'PREP': -2.46484375, 'DET': 6.8046875, 'SVA': -2.16796875}",G,"{'G': 6.6640625, 'PREP': -2.455078125, 'DET': -4.2421875, 'SVA': -2.36328125}",G,"{'G': 7.04296875, 'PREP': -2.564453125, 'DET': -5.58203125, 'SVA': -2.33203125}"
