text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs
A lot of waiters who didn't dislike Katherine press Pamela to nod.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.16796875, 'PREP': -2.94140625, 'DET': -4.5, 'SVA': 3.580078125}"
Sharon froze the ice cream.,G,causative,SVA,"{'G': 0.81298828125, 'PREP': -2.806640625, 'DET': -3.322265625, 'SVA': 4.80078125}"
The Borgias shocks Elaine.,G,regular_plural_subject_verb_agreement_1,SVA,"{'G': -0.74267578125, 'PREP': -2.1171875, 'DET': -2.71875, 'SVA': 6.0859375}"
Boys weren't assembling.,G,inchoative,SVA,"{'G': -1.1083984375, 'PREP': -2.1796875, 'DET': -1.9443359375, 'SVA': 6.1015625}"
The child hunts.,G,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -1.376953125, 'PREP': -1.833984375, 'DET': -1.990234375, 'SVA': 6.1328125}"
Children wave.,G,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -0.5849609375, 'PREP': -2.072265625, 'DET': -2.890625, 'SVA': 5.91015625}"
All adults who hire Bruce ascend some slope.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.0078125, 'PREP': -2.9765625, 'DET': -4.21484375, 'SVA': 3.66796875}"
Most commentaries about the Balkans will disagree.,G,intransitive,SVA,"{'G': 0.8388671875, 'PREP': -2.908203125, 'DET': -3.548828125, 'SVA': 5.09375}"
Many pedestrians lifted those movie theaters.,G,determiner_noun_agreement_2,SVA,"{'G': 0.9169921875, 'PREP': -2.787109375, 'DET': -3.876953125, 'SVA': 5.05859375}"
These senators who didn't respect Valerie aren't longing to tour a school.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.703125, 'PREP': -2.78125, 'DET': -4.84375, 'SVA': 2.806640625}"
Many teachers who shouldn't respect Jane murmur.,G,distractor_agreement_relative_clause,SVA,"{'G': 0.35693359375, 'PREP': -2.58984375, 'DET': -3.5546875, 'SVA': 5.5703125}"
Those jackets resembled one photograph and Gina resembled some big photograph.,G,ellipsis_n_bar_2,SVA,"{'G': -0.27001953125, 'PREP': -2.234375, 'DET': -3.2734375, 'SVA': 5.953125}"
Some dancer that liked all girls cries.,G,distractor_agreement_relative_clause,SVA,"{'G': 0.1806640625, 'PREP': -2.982421875, 'DET': -2.607421875, 'SVA': 5.4140625}"
Kristin wasn't discovering what most drivers that are competing find.,G,wh_vs_that_with_gap_long_distance,SVA,"{'G': 0.332763671875, 'PREP': -2.802734375, 'DET': -3.080078125, 'SVA': 5.44921875}"
Candice has sold.,G,drop_argument,SVA,"{'G': 2.388671875, 'PREP': -2.5, 'DET': -5.00390625, 'SVA': 3.19140625}"
The dancers imagine that Nicole isn't thinking about them.,G,principle_A_domain_1,SVA,"{'G': 0.8046875, 'PREP': -2.68359375, 'DET': -3.88671875, 'SVA': 5.14453125}"
The truth about Shopping,G,Preposition_Replacing,SVA,"{'G': 1.1396484375, 'PREP': -2.8828125, 'DET': -3.75390625, 'SVA': 4.70703125}"
The universities figure out that this actress has disgusted a lot of actresses.,G,wh_vs_that_no_gap,SVA,"{'G': 0.84521484375, 'PREP': -2.51953125, 'DET': -4.25390625, 'SVA': 5.17578125}"
Companies were researched by the patient.,G,animate_subject_passive,SVA,"{'G': 0.355224609375, 'PREP': -1.953125, 'DET': -4.3515625, 'SVA': 5.515625}"
First tell your parents.,G,Preposition_Unnecessary,SVA,"{'G': 0.521484375, 'PREP': -0.97119140625, 'DET': -4.890625, 'SVA': 4.453125}"
The Borgias wrote.,G,irregular_past_participle_verbs,SVA,"{'G': 2.763671875, 'PREP': -2.828125, 'DET': -4.97265625, 'SVA': 2.875}"
These actors that haven't investigated Cheryl paint.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.29296875, 'PREP': -2.787109375, 'DET': -4.72265625, 'SVA': 3.41015625}"
All waiters that have concealed Dawn do figure out who hasn't investigated Cynthia.,G,distractor_agreement_relative_clause,SVA,"{'G': 0.427490234375, 'PREP': -2.6484375, 'DET': -3.494140625, 'SVA': 5.4765625}"
Some actresses distracts Michael.,G,regular_plural_subject_verb_agreement_1,SVA,"{'G': -1.3095703125, 'PREP': -1.90234375, 'DET': -2.037109375, 'SVA': 6.13671875}"
Many adults' doctor was annoyed by the casserole.,G,passive_1,SVA,"{'G': -1.1904296875, 'PREP': -1.810546875, 'DET': -2.36328125, 'SVA': 6.125}"
The niece of women sells many projectors.,G,distractor_agreement_relational_noun,SVA,"{'G': 2.224609375, 'PREP': -2.92578125, 'DET': -4.3671875, 'SVA': 3.3984375}"
Some lady that sells some hospitals encourages Vanessa to move.,G,distractor_agreement_relative_clause,SVA,"{'G': -1.0966796875, 'PREP': -1.77734375, 'DET': -2.53125, 'SVA': 6.1171875}"
The grandmother of men threatens to write.,G,distractor_agreement_relational_noun,SVA,"{'G': -1.06640625, 'PREP': -1.8095703125, 'DET': -2.56640625, 'SVA': 6.12890625}"
Many paralyses annoy Tracy.,G,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -0.27001953125, 'PREP': -2.287109375, 'DET': -3.20703125, 'SVA': 5.94140625}"
A lot of patients who annoys that person have sneezed.,G,distractor_agreement_relative_clause,SVA,"{'G': 1.1220703125, 'PREP': -2.904296875, 'DET': -3.73828125, 'SVA': 4.7109375}"
The paralyses disturb Frank.,G,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -0.46875, 'PREP': -2.22265625, 'DET': -3.001953125, 'SVA': 6.03125}"
A niece of a lot of cashiers implores Matt to ascend a lot of steps.,G,distractor_agreement_relational_noun,SVA,"{'G': 1.8603515625, 'PREP': -2.728515625, 'DET': -4.6640625, 'SVA': 4.07421875}"
Oxen weren't embarrassing Tiffany.,G,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -1.4208984375, 'PREP': -1.6552734375, 'DET': -2.103515625, 'SVA': 6.109375}"
Those students that worried Stephen predict Sheila to wash.,G,distractor_agreement_relative_clause,SVA,"{'G': 0.86962890625, 'PREP': -2.650390625, 'DET': -4.0546875, 'SVA': 5.2109375}"
A son of some actors spurs the actress to aggravate the child.,G,distractor_agreement_relational_noun,SVA,"{'G': 1.01953125, 'PREP': -2.37890625, 'DET': -4.44921875, 'SVA': 4.953125}"
Theodore cures Christina.,G,animate_subject_trans,SVA,"{'G': 1.84765625, 'PREP': -2.97265625, 'DET': -4.29296875, 'SVA': 4.02734375}"
Many doctors who did notice Michelle bake.,G,distractor_agreement_relative_clause,SVA,"{'G': 0.69287109375, 'PREP': -2.615234375, 'DET': -3.888671875, 'SVA': 5.32421875}"
This actor that cured those cashiers paints.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.10546875, 'PREP': -3.009765625, 'DET': -4.0625, 'SVA': 3.390625}"
The senators embarrasses Martin.,G,regular_plural_subject_verb_agreement_2,SVA,"{'G': -0.9169921875, 'PREP': -2.017578125, 'DET': -2.57421875, 'SVA': 6.1171875}"
Children who argue about Lawrence haven't dared Dawn to weep.,G,distractor_agreement_relative_clause,SVA,"{'G': 1.0087890625, 'PREP': -2.615234375, 'DET': -4.06640625, 'SVA': 4.96484375}"
A lot of doctors who won't heal Bill drink.,G,distractor_agreement_relative_clause,SVA,"{'G': 1.0126953125, 'PREP': -2.974609375, 'DET': -3.515625, 'SVA': 4.80859375}"
Many adults went fishing.,G,irregular_past_participle_verbs,SVA,"{'G': 2.6796875, 'PREP': -2.890625, 'DET': -4.68359375, 'SVA': 2.84375}"
These waitresses' associate wasn't boycotting few concealed lakes and Maria wasn't boycotting many.,G,ellipsis_n_bar_1,SVA,"{'G': -0.42431640625, 'PREP': -2.044921875, 'DET': -3.318359375, 'SVA': 5.984375}"
