text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"I thought it was a good idea to tell to Pat because we could use it to look for exams, and then we could pass all of them.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.671875, 'PREP': 3.353515625, 'DET': -4.5859375, 'SVA': -4.0390625}",G,"{'G': 4.38671875, 'PREP': 4.2421875, 'DET': -5.61328125, 'SVA': -4.8515625}",PREP,"{'G': 0.51611328125, 'PREP': 5.640625, 'DET': -5.015625, 'SVA': -4.87109375}"
"Lastly, I would like to learn that what kinds of clothes I have to bring with me and how much money (American currency - dollars) I'll need to have while I'm there.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.705078125, 'PREP': 3.302734375, 'DET': -4.515625, 'SVA': -4.11328125}",G,"{'G': 5.03125, 'PREP': 3.068359375, 'DET': -5.24609375, 'SVA': -4.97265625}",PREP,"{'G': 2.125, 'PREP': 5.265625, 'DET': -6.578125, 'SVA': -5.80078125}"
"Climbing is something new for me and I am not so good on it, however, I hope that I can learn about it at the Camp.",PREP,Preposition_Replacing,PREP,"{'G': 2.693359375, 'PREP': 3.33984375, 'DET': -4.5390625, 'SVA': -4.11328125}",G,"{'G': 4.63671875, 'PREP': 3.849609375, 'DET': -5.51953125, 'SVA': -4.93359375}",PREP,"{'G': 1.9052734375, 'PREP': 5.421875, 'DET': -6.58203125, 'SVA': -5.671875}"
"Second, I went to the theatre exactly seven thirty in the evening.",PREP,Preposition_Missing,PREP,"{'G': 2.44921875, 'PREP': 3.4921875, 'DET': -4.390625, 'SVA': -4.01953125}",G,"{'G': 4.609375, 'PREP': 3.80078125, 'DET': -5.82421875, 'SVA': -4.640625}",PREP,"{'G': 2.193359375, 'PREP': 5.2109375, 'DET': -6.73046875, 'SVA': -5.71875}"
I am looking forward to hearing you very soon.,PREP,Preposition_Missing,PREP,"{'G': 2.56640625, 'PREP': 3.3125, 'DET': -3.974609375, 'SVA': -4.3515625}",G,"{'G': 5.02734375, 'PREP': 2.447265625, 'DET': -6.25390625, 'SVA': -3.67578125}",PREP,"{'G': 1.212890625, 'PREP': 5.7265625, 'DET': -5.80078125, 'SVA': -5.578125}"
So as we can imagine the Future Fashion might be pleasant or unpleasant for different people.,PREP,Preposition_Unnecessary,PREP,"{'G': 2.841796875, 'PREP': 3.177734375, 'DET': -4.65234375, 'SVA': -4.10546875}",G,"{'G': 4.50390625, 'PREP': 4.02734375, 'DET': -5.296875, 'SVA': -5.0703125}",PREP,"{'G': 2.189453125, 'PREP': 5.21875, 'DET': -6.71484375, 'SVA': -5.73828125}"
"Firstly, Palace Hotel has been booked into for the group's accommodation and I spoke with the hotel manager about travelling to the conference.",PREP,Preposition_Unnecessary,PREP,"{'G': 3.017578125, 'PREP': 3.05859375, 'DET': -4.8203125, 'SVA': -4.09375}",G,"{'G': 4.58984375, 'PREP': 3.935546875, 'DET': -5.67578125, 'SVA': -4.81640625}",PREP,"{'G': 2.36328125, 'PREP': 5.02734375, 'DET': -6.7421875, 'SVA': -5.71875}"
"Firstly, the material of which clothes are made is a wide variety.",PREP,Preposition_Missing,PREP,"{'G': 2.89453125, 'PREP': 3.08203125, 'DET': -4.6640625, 'SVA': -4.08984375}",G,"{'G': 4.6640625, 'PREP': 3.810546875, 'DET': -5.64453125, 'SVA': -4.91015625}",PREP,"{'G': 2.13671875, 'PREP': 5.25, 'DET': -6.6484375, 'SVA': -5.7421875}"
I was very surprised on the result of the competition.,PREP,Preposition_Replacing,PREP,"{'G': 2.57421875, 'PREP': 3.4375, 'DET': -4.46484375, 'SVA': -4.08984375}",G,"{'G': 4.92578125, 'PREP': 3.259765625, 'DET': -5.91015625, 'SVA': -4.56640625}",PREP,"{'G': 0.18017578125, 'PREP': 5.5703125, 'DET': -4.34375, 'SVA': -4.78125}"
"However, we have to consider about our nature and human being.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.451171875, 'PREP': 3.478515625, 'DET': -4.31640625, 'SVA': -4.0625}",G,"{'G': 4.36328125, 'PREP': 4.1875, 'DET': -5.4609375, 'SVA': -4.87890625}",PREP,"{'G': 0.17333984375, 'PREP': 5.546875, 'DET': -4.50390625, 'SVA': -4.5859375}"
