text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
A lot of waiters who didn't dislike Katherine press Pamela to nod.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.16796875, 'PREP': -2.94140625, 'DET': -4.5, 'SVA': 3.580078125}",G,"{'G': 6.7265625, 'PREP': -2.427734375, 'DET': -4.60546875, 'SVA': -2.240234375}",G,"{'G': 7.1796875, 'PREP': -2.447265625, 'DET': -5.49609375, 'SVA': -2.80859375}"
Sharon froze the ice cream.,G,causative,SVA,"{'G': 0.81298828125, 'PREP': -2.806640625, 'DET': -3.322265625, 'SVA': 4.80078125}",G,"{'G': 6.70703125, 'PREP': -2.376953125, 'DET': -4.88671875, 'SVA': -1.943359375}",G,"{'G': 7.11328125, 'PREP': -2.55078125, 'DET': -5.38671875, 'SVA': -2.650390625}"
Boys weren't assembling.,G,inchoative,SVA,"{'G': -1.1083984375, 'PREP': -2.1796875, 'DET': -1.9443359375, 'SVA': 6.1015625}",G,"{'G': 6.671875, 'PREP': -2.595703125, 'DET': -4.09375, 'SVA': -2.33203125}",G,"{'G': 7.17578125, 'PREP': -2.50390625, 'DET': -5.0390625, 'SVA': -3.109375}"
Children wave.,G,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -0.5849609375, 'PREP': -2.072265625, 'DET': -2.890625, 'SVA': 5.91015625}",G,"{'G': 6.5703125, 'PREP': -2.638671875, 'DET': -3.6796875, 'SVA': -2.439453125}",G,"{'G': 6.99609375, 'PREP': -2.685546875, 'DET': -5.18359375, 'SVA': -2.439453125}"
All adults who hire Bruce ascend some slope.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.0078125, 'PREP': -2.9765625, 'DET': -4.21484375, 'SVA': 3.66796875}",G,"{'G': 6.6875, 'PREP': -2.568359375, 'DET': -4.31640625, 'SVA': -2.201171875}",G,"{'G': 7.16015625, 'PREP': -2.52734375, 'DET': -5.3125, 'SVA': -2.80859375}"
Most commentaries about the Balkans will disagree.,G,intransitive,SVA,"{'G': 0.8388671875, 'PREP': -2.908203125, 'DET': -3.548828125, 'SVA': 5.09375}",G,"{'G': 6.2109375, 'PREP': -2.830078125, 'DET': -4.74609375, 'SVA': -0.99658203125}",G,"{'G': 7.171875, 'PREP': -2.4296875, 'DET': -5.47265625, 'SVA': -2.87109375}"
Many pedestrians lifted those movie theaters.,G,determiner_noun_agreement_2,SVA,"{'G': 0.9169921875, 'PREP': -2.787109375, 'DET': -3.876953125, 'SVA': 5.05859375}",G,"{'G': 6.8515625, 'PREP': -2.2109375, 'DET': -4.28515625, 'SVA': -2.75390625}",G,"{'G': 7.08203125, 'PREP': -2.68359375, 'DET': -4.828125, 'SVA': -2.859375}"
These senators who didn't respect Valerie aren't longing to tour a school.,G,distractor_agreement_relative_clause,SVA,"{'G': 2.703125, 'PREP': -2.78125, 'DET': -4.84375, 'SVA': 2.806640625}",G,"{'G': 6.765625, 'PREP': -2.30078125, 'DET': -4.4140625, 'SVA': -2.5703125}",G,"{'G': 7.21875, 'PREP': -2.41015625, 'DET': -5.31640625, 'SVA': -3.09765625}"
Many teachers who shouldn't respect Jane murmur.,G,distractor_agreement_relative_clause,SVA,"{'G': 0.35693359375, 'PREP': -2.58984375, 'DET': -3.5546875, 'SVA': 5.5703125}",G,"{'G': 6.6171875, 'PREP': -2.66796875, 'DET': -4.234375, 'SVA': -2.08984375}",G,"{'G': 7.1171875, 'PREP': -2.5703125, 'DET': -5.28125, 'SVA': -2.72265625}"
Those jackets resembled one photograph and Gina resembled some big photograph.,G,ellipsis_n_bar_2,SVA,"{'G': -0.27001953125, 'PREP': -2.234375, 'DET': -3.2734375, 'SVA': 5.953125}",G,"{'G': 6.79296875, 'PREP': -2.16796875, 'DET': -4.5703125, 'SVA': -2.568359375}",G,"{'G': 7.22265625, 'PREP': -2.337890625, 'DET': -5.54296875, 'SVA': -3.03515625}"
