text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"There is, as well, the struggle you have to endure when you find yourself into the crowds, crammed in the small shops during the only day - off you have to buy something you like.",PREP,Preposition_Replacing,PREP,"{'G': 2.548828125, 'PREP': 3.43359375, 'DET': -4.484375, 'SVA': -4.03125}",PREP,"{'G': 3.66796875, 'PREP': 4.71484375, 'DET': -5.15234375, 'SVA': -4.56640625}",G,"{'G': 4.06640625, 'PREP': 2.626953125, 'DET': -6.60546875, 'SVA': -4.8203125}"
Also I like swimming and I've got two years' experience of teaching swimming in a leisure centre.,PREP,Preposition_Replacing,PREP,"{'G': 2.732421875, 'PREP': 3.296875, 'DET': -4.390625, 'SVA': -4.23828125}",PREP,"{'G': 3.421875, 'PREP': 4.78515625, 'DET': -5.0078125, 'SVA': -4.37890625}",G,"{'G': 4.2890625, 'PREP': 2.1640625, 'DET': -6.5234375, 'SVA': -4.515625}"
"Also it means meeting other people, having fun together, travelling at all the places on the island.",PREP,Preposition_Replacing,PREP,"{'G': 2.3984375, 'PREP': 3.5, 'DET': -4.2578125, 'SVA': -4.0625}",PREP,"{'G': 3.490234375, 'PREP': 4.7734375, 'DET': -5.0859375, 'SVA': -4.40234375}",G,"{'G': 4.4140625, 'PREP': 2.0625, 'DET': -6.55078125, 'SVA': -4.546875}"
"As if that wasn't enough, after the show, I took the risk of going to your restaurant and it is not very hard to guess I wasn't able to enjoy it, as it was closed because it wasn't clean enough to serve food ; the perfect ending to the perfect evening.",PREP,Preposition_Missing,PREP,"{'G': 2.673828125, 'PREP': 3.359375, 'DET': -4.58203125, 'SVA': -4.0625}",PREP,"{'G': 3.896484375, 'PREP': 4.61328125, 'DET': -5.36328125, 'SVA': -4.6484375}",G,"{'G': 4.88671875, 'PREP': 1.5380859375, 'DET': -6.64453125, 'SVA': -4.38671875}"
"Finally, at the end of this very disappointing evening, I decided to go to the theatre restaurant - which was also mentioned in your ad - but I was told that this was closed because of a private party!",PREP,Preposition_Replacing,PREP,"{'G': 2.712890625, 'PREP': 3.337890625, 'DET': -4.62890625, 'SVA': -4.05859375}",PREP,"{'G': 3.61328125, 'PREP': 4.73828125, 'DET': -5.19921875, 'SVA': -4.46484375}",G,"{'G': 4.71484375, 'PREP': 1.671875, 'DET': -6.57421875, 'SVA': -4.39453125}"
Because I'm very good with tennis.,PREP,Preposition_Replacing,PREP,"{'G': 2.794921875, 'PREP': 3.263671875, 'DET': -4.59765625, 'SVA': -4.12890625}",PREP,"{'G': 3.431640625, 'PREP': 4.6875, 'DET': -5.31640625, 'SVA': -4.1953125}",G,"{'G': 5.39453125, 'PREP': 1.08984375, 'DET': -6.796875, 'SVA': -4.296875}"
"In spite of the fact that I told her to keep it as a secret, she went to my cousin's house and retold exactly what I had told her.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.681640625, 'PREP': 3.35546875, 'DET': -4.61328125, 'SVA': -4.04296875}",PREP,"{'G': 4.25, 'PREP': 4.3359375, 'DET': -5.49609375, 'SVA': -4.79296875}",G,"{'G': 5.5, 'PREP': 0.98583984375, 'DET': -6.77734375, 'SVA': -4.32421875}"
If I search something like a telephone number or an address I also look it up on the Internet.,PREP,Preposition_Missing,PREP,"{'G': 2.458984375, 'PREP': 3.482421875, 'DET': -4.24609375, 'SVA': -4.1171875}",PREP,"{'G': 3.19140625, 'PREP': 4.8046875, 'DET': -4.92578125, 'SVA': -4.15625}",G,"{'G': 5.0625, 'PREP': 1.2021484375, 'DET': -6.56640625, 'SVA': -4.140625}"
"The only month I could go to holiday is July, when we haven't got a lot to do.",PREP,Preposition_Replacing,PREP,"{'G': 2.8671875, 'PREP': 3.20703125, 'DET': -4.67578125, 'SVA': -4.11328125}",PREP,"{'G': 3.447265625, 'PREP': 4.7890625, 'DET': -5.125, 'SVA': -4.33984375}",G,"{'G': 5.625, 'PREP': 0.8828125, 'DET': -6.8046875, 'SVA': -4.36328125}"
"About what you can do in the area for the free time you have, I would suggest you visit the Modern Art Museum which now has a new exhibition.",PREP,Preposition_Replacing,PREP,"{'G': 2.544921875, 'PREP': 3.4375, 'DET': -4.546875, 'SVA': -3.982421875}",PREP,"{'G': 3.46484375, 'PREP': 4.78515625, 'DET': -5.09375, 'SVA': -4.37109375}",G,"{'G': 4.140625, 'PREP': 2.44140625, 'DET': -6.61328125, 'SVA': -4.671875}"
"On the other hand, I understand very well that it is really necessary. I also understand that nobody will do that at my place.",PREP,Preposition_Replacing,PREP,"{'G': 2.458984375, 'PREP': 3.484375, 'DET': -4.43359375, 'SVA': -3.986328125}",PREP,"{'G': 3.361328125, 'PREP': 4.79296875, 'DET': -5.00390625, 'SVA': -4.30078125}",G,"{'G': 3.732421875, 'PREP': 3.212890625, 'DET': -6.765625, 'SVA': -5.09375}"
You ought to know that it is possible to me to go there only in July because I'm going to work the whole of August.,PREP,Preposition_Replacing,PREP,"{'G': 2.498046875, 'PREP': 3.470703125, 'DET': -4.44921875, 'SVA': -4.01953125}",PREP,"{'G': 3.99609375, 'PREP': 4.5390625, 'DET': -5.328125, 'SVA': -4.75390625}",G,"{'G': 6.08203125, 'PREP': 0.217529296875, 'DET': -6.6796875, 'SVA': -4.2109375}"
