text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
Analyses persuades this cousin of Brad to exercise.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 4.53125, 'PREP': -2.787109375, 'DET': -4.7109375, 'SVA': -0.57421875}",SVA,"{'G': 2.814453125, 'PREP': -3.572265625, 'DET': -5.62109375, 'SVA': 4.37109375}",SVA,"{'G': 0.0089874267578125, 'PREP': -3.08203125, 'DET': -4.12109375, 'SVA': 7.98828125}"
The sister of all cashiers force Andrea's best friend to cry.,SVA,distractor_agreement_relational_noun,G,"{'G': 5.140625, 'PREP': -2.37890625, 'DET': -4.64453125, 'SVA': -2.1015625}",SVA,"{'G': -0.048095703125, 'PREP': -2.521484375, 'DET': -3.423828125, 'SVA': 5.1484375}",SVA,"{'G': -2.05078125, 'PREP': -3.12109375, 'DET': -2.01171875, 'SVA': 9.3359375}"
Candice return to Eva.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.16796875, 'PREP': -2.177734375, 'DET': -4.453125, 'SVA': -2.509765625}",SVA,"{'G': 0.281005859375, 'PREP': -3.234375, 'DET': -5.203125, 'SVA': 6.5625}",SVA,"{'G': -2.119140625, 'PREP': -3.138671875, 'DET': -1.9013671875, 'SVA': 9.3671875}"
The granddaughters of Eva has explained these libraries aren't tempting Carolyn to reveal Ellen.,SVA,distractor_agreement_relational_noun,G,"{'G': 3.86328125, 'PREP': -2.521484375, 'DET': -5.66015625, 'SVA': 1.0732421875}",SVA,"{'G': -1.2509765625, 'PREP': -3.6171875, 'DET': -3.32421875, 'SVA': 7.421875}",SVA,"{'G': -1.0712890625, 'PREP': -3.193359375, 'DET': -3.060546875, 'SVA': 8.8359375}"
A lot of senators who had disturbed Ellen profits.,SVA,distractor_agreement_relative_clause,G,"{'G': 2.9375, 'PREP': -3.0390625, 'DET': -4.45703125, 'SVA': 2.28125}",SVA,"{'G': -1.52734375, 'PREP': -3.23828125, 'DET': -3.5703125, 'SVA': 7.5234375}",SVA,"{'G': -2.130859375, 'PREP': -3.126953125, 'DET': -1.8984375, 'SVA': 9.3515625}"
Those children respects most waiters.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.265625, 'PREP': -2.841796875, 'DET': -4.7578125, 'SVA': 0.0193328857421875}",SVA,"{'G': -1.21484375, 'PREP': -2.87890625, 'DET': -4.23046875, 'SVA': 7.38671875}",SVA,"{'G': -1.857421875, 'PREP': -3.115234375, 'DET': -2.27734375, 'SVA': 9.25}"
Grace skate around those libraries.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.96875, 'PREP': -2.498046875, 'DET': -4.90625, 'SVA': -1.44921875}",SVA,"{'G': -1.8671875, 'PREP': -2.587890625, 'DET': -3.87109375, 'SVA': 7.54296875}",SVA,"{'G': -2.091796875, 'PREP': -3.197265625, 'DET': -1.8720703125, 'SVA': 9.3671875}"
The essay about the Great Lakes confuse Brett.,SVA,distractor_agreement_relational_noun,G,"{'G': 4.56640625, 'PREP': -2.71484375, 'DET': -4.80859375, 'SVA': -0.609375}",SVA,"{'G': -2.498046875, 'PREP': -2.4375, 'DET': -3.16796875, 'SVA': 7.703125}",SVA,"{'G': -2.3359375, 'PREP': -3.130859375, 'DET': -1.6025390625, 'SVA': 9.4296875}"
A doctor who questions some committees pressure Robert to shout.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.71484375, 'PREP': -2.615234375, 'DET': -5.05859375, 'SVA': -0.73681640625}",SVA,"{'G': -0.64599609375, 'PREP': -3.55859375, 'DET': -3.951171875, 'SVA': 7.07421875}",SVA,"{'G': -2.12109375, 'PREP': -3.1328125, 'DET': -1.91015625, 'SVA': 9.359375}"
Vincent clean some college campus.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 3.123046875, 'PREP': -1.8251953125, 'DET': -5.9921875, 'SVA': 1.884765625}",SVA,"{'G': -2.236328125, 'PREP': -2.326171875, 'DET': -3.509765625, 'SVA': 7.55078125}",SVA,"{'G': -2.28125, 'PREP': -3.0625, 'DET': -1.765625, 'SVA': 9.375}"
