text,labels,UID,BB_RoBERTa_preds,BB_RoBERTa_probs
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP,"{'G': 3.884765625, 'PREP': 4.62890625, 'DET': -5.33203125, 'SVA': -4.6796875}"
"So, I think July is the best time to go to the Camp.",G,Preposition_Replacing,PREP,"{'G': 3.7421875, 'PREP': 4.671875, 'DET': -5.30078125, 'SVA': -4.5625}"
"So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday.",G,Preposition_Replacing,PREP,"{'G': 3.96875, 'PREP': 4.546875, 'DET': -5.453125, 'SVA': -4.65234375}"
"About the activities that I have to choose, I have to say that it is quite difficult for me because I really like sports, but I think the best option is swimming because I have been doing it for 5 years so I want to keep at it.",G,Preposition_Replacing,PREP,"{'G': 3.513671875, 'PREP': 4.77734375, 'DET': -5.09765625, 'SVA': -4.4140625}"
I am writing to you because there were deviations from the advertisement which was published in the newspaper.,G,Preposition_Replacing,PREP,"{'G': 4.12890625, 'PREP': 4.44140625, 'DET': -5.41015625, 'SVA': -4.7890625}"
Then we thought about going swimming to talk about some things.,G,Preposition_Unnecessary,PREP,"{'G': 4.03515625, 'PREP': 4.4921875, 'DET': -5.34765625, 'SVA': -4.7890625}"
I have always been interested in arts and festivals.,G,Preposition_Missing,PREP,"{'G': 3.263671875, 'PREP': 4.8125, 'DET': -5.00390625, 'SVA': -4.1796875}"
"Firstly, the most suitable month would be July because I am very busy with my work now, and my children are on holiday then.",G,Preposition_Replacing,PREP,"{'G': 3.380859375, 'PREP': 4.80078125, 'DET': -5.046875, 'SVA': -4.29296875}"
"Furthermore, as mathematics is the main lesson in the morning, we ought to film at a time when we are in the maths class.",G,Preposition_Missing,PREP,"{'G': 3.345703125, 'PREP': 4.80078125, 'DET': -5.03125, 'SVA': -4.2578125}"
Most students in our class are studying Fashion full - time.,G,Preposition_Unnecessary,PREP,"{'G': 3.185546875, 'PREP': 4.8125, 'DET': -4.98828125, 'SVA': -4.1171875}"
So I am quite confident at this.,G,Preposition_Replacing,PREP,"{'G': 4.16015625, 'PREP': 4.390625, 'DET': -5.34375, 'SVA': -4.87109375}"
"On behalf of all the students, I thank you for organizing our trip to London and for the really interesting programme you propose for us as well.",G,Preposition_Replacing,PREP,"{'G': 3.43359375, 'PREP': 4.78515625, 'DET': -5.1015625, 'SVA': -4.32421875}"
I attended your festival and I would like to give you my suggestions for it.,G,Preposition_Replacing,PREP,"{'G': 3.35546875, 'PREP': 4.80078125, 'DET': -5.01953125, 'SVA': -4.28125}"
All day I speak with the majority of my colleagues by telephone or e - mail.,G,Preposition_Unnecessary,PREP,"{'G': 3.826171875, 'PREP': 4.57421875, 'DET': -5.28125, 'SVA': -4.6328125}"
"Firstly, we got our tickets at your ticket office just one hour before the show.",G,Preposition_Replacing,PREP,"{'G': 3.662109375, 'PREP': 4.7265625, 'DET': -5.20703125, 'SVA': -4.54296875}"
"I also would prefer to sleep in tents, which are more comfortable, and, because I have been doing lots of camping, I am quite used to this kind of accommodation.",G,Preposition_Replacing,PREP,"{'G': 3.791015625, 'PREP': 4.65625, 'DET': -5.26953125, 'SVA': -4.61328125}"
"People have invented such things as TV, radio, telephones and so on which made us able to hear the news quickly and stay in touch with people easily.",G,Preposition_Replacing,PREP,"{'G': 3.353515625, 'PREP': 4.796875, 'DET': -5.0390625, 'SVA': -4.26171875}"
"However, we'd like to ask about London Fashion and Leisure Show that we've seen an advertisement for in this week's college newspaper. We would appreciate it if you could give us a chance to go there while we are visiting London.",G,Preposition_Unnecessary,PREP,"{'G': 3.919921875, 'PREP': 4.58203125, 'DET': -5.34765625, 'SVA': -4.6875}"
I am only available in July. Is that okay for you?,G,Preposition_Replacing,PREP,"{'G': 3.37109375, 'PREP': 4.796875, 'DET': -5.015625, 'SVA': -4.3046875}"
"It wasn't difficult to find the right hall for the shows, I would say it was very well organised.",G,Preposition_Replacing,PREP,"{'G': 3.984375, 'PREP': 4.54296875, 'DET': -5.37109375, 'SVA': -4.74609375}"
This is the first time in my life that I won anything like that.,G,Preposition_Replacing,PREP,"{'G': 3.380859375, 'PREP': 4.80078125, 'DET': -5.05078125, 'SVA': -4.30078125}"
"What are clothes going to look like a century from now? Are they going to be the same, are they going to be colourful, are men going to wear long skirts and women boxer shorts?",G,Preposition_Missing,PREP,"{'G': 4.17578125, 'PREP': 4.42578125, 'DET': -5.25, 'SVA': -4.984375}"
"I would like to stress that very often famous people become reserved, bad - tempered and angry with the world for interfering in their lives.",G,Preposition_Replacing,PREP,"{'G': 3.529296875, 'PREP': 4.765625, 'DET': -5.08984375, 'SVA': -4.44921875}"
I think that the most important piece of modern technology these days is the Internet.,G,Preposition_Unnecessary,PREP,"{'G': 3.30859375, 'PREP': 4.80859375, 'DET': -4.99609375, 'SVA': -4.23828125}"
From my point of view I can complain only about the small concert hall and the fact there were artists from only six countries.,G,Preposition_Replacing,PREP,"{'G': 3.71484375, 'PREP': 4.6953125, 'DET': -5.23828125, 'SVA': -4.55859375}"
"Not only is it a simple job, but also you can enjoy working with a lot of colleagues your age.",G,Preposition_Unnecessary,PREP,"{'G': 4.2734375, 'PREP': 4.3359375, 'DET': -5.56640625, 'SVA': -4.8671875}"
"For August, I have already made another appointment with my friends.",G,Preposition_Replacing,PREP,"{'G': 4.21484375, 'PREP': 4.359375, 'DET': -5.63671875, 'SVA': -4.703125}"
"So, why don't we think more about the future, instead of being upset about how to get some money to pay for the next party?",G,Preposition_Replacing,PREP,"{'G': 3.716796875, 'PREP': 4.7109375, 'DET': -5.22265625, 'SVA': -4.5546875}"
It's a perfect combination of passion and life's difficulties.,G,Preposition_Replacing,PREP,"{'G': 3.85546875, 'PREP': 4.63671875, 'DET': -5.35546875, 'SVA': -4.6953125}"
"Now, it is important in the transport of thousands and thousands of people around the world.",G,Preposition_Unnecessary,PREP,"{'G': 3.494140625, 'PREP': 4.78125, 'DET': -5.05078125, 'SVA': -4.43359375}"
"To begin with, in your advertisement you say that Danny Brooks will be starring in the show but instead there was a different actor, which made us very disappointed.",G,Preposition_Missing,PREP,"{'G': 3.603515625, 'PREP': 4.74609375, 'DET': -5.1484375, 'SVA': -4.50390625}"
But I hope that next year visitors to the festival will be able to be introduced to more art groups from all over the world.,G,Preposition_Replacing,PREP,"{'G': 3.392578125, 'PREP': 4.80078125, 'DET': -5.04296875, 'SVA': -4.30859375}"
"First of all, I would like to give you some further information about me and secondly, I'd like to ask you about some concerns that I have.",G,Preposition_Replacing,PREP,"{'G': 3.873046875, 'PREP': 4.62109375, 'DET': -5.2578125, 'SVA': -4.68359375}"
I phoned the tourist information office last week and I got some information about the accommodation for the students.,G,Preposition_Unnecessary,PREP,"{'G': 3.779296875, 'PREP': 4.66796875, 'DET': -5.421875, 'SVA': -4.5078125}"
Thank you for organising the school trip to London.,G,Preposition_Replacing,PREP,"{'G': 3.1953125, 'PREP': 4.79296875, 'DET': -5.1484375, 'SVA': -4.0390625}"
"Before the computer had been invented, we couldn't possibly have lots of information easily and we couldn't contact foreign countries at the same time.",G,Preposition_Unnecessary,PREP,"{'G': 3.560546875, 'PREP': 4.75390625, 'DET': -5.11328125, 'SVA': -4.46875}"
You have been presented with some reasons why shopping is not always enjoyable.,G,Preposition_Missing,PREP,"{'G': 3.8125, 'PREP': 4.65625, 'DET': -5.27734375, 'SVA': -4.65234375}"
The students can get there on the No 35 bus.,G,Preposition_Replacing,PREP,"{'G': 3.1796875, 'PREP': 4.8125, 'DET': -4.95703125, 'SVA': -4.11328125}"
I would be very grateful if you could give me more details as soon as possible.,G,Preposition_Replacing,PREP,"{'G': 3.607421875, 'PREP': 4.74609375, 'DET': -5.09765625, 'SVA': -4.54296875}"
report by the group leader,G,Preposition_Replacing,PREP,"{'G': -0.2188720703125, 'PREP': 3.62890625, 'DET': -4.23828125, 'SVA': 0.541015625}"
I am writing to express my dissatisfaction with the show you put on two weeks ago at your theatre.,G,Preposition_Replacing,PREP,"{'G': 3.283203125, 'PREP': 4.8046875, 'DET': -5.00390625, 'SVA': -4.2109375}"
I can come only in July because I have to work the other months of summer.,G,Preposition_Missing,PREP,"{'G': 3.353515625, 'PREP': 4.8046875, 'DET': -5.04296875, 'SVA': -4.2578125}"
I am a student in the English class.,G,Preposition_Replacing,PREP,"{'G': 2.927734375, 'PREP': 4.78515625, 'DET': -4.87109375, 'SVA': -3.849609375}"
"Although I imagine them in my house in my future, I am sure I would be surprised if I had them.",G,Preposition_Missing,PREP,"{'G': 3.474609375, 'PREP': 4.7734375, 'DET': -5.03515625, 'SVA': -4.41796875}"
"As you have seen, modern technology has changed my daily life a lot and I believe that it has changed it for the better.",G,Preposition_Replacing,PREP,"{'G': 3.369140625, 'PREP': 4.80078125, 'DET': -5.03125, 'SVA': -4.28515625}"
"when I want to call someone, I don't need to look for a phone box ;",G,Preposition_Replacing,PREP,"{'G': 4.140625, 'PREP': 4.39453125, 'DET': -5.53515625, 'SVA': -4.67578125}"
"In addition to this, there is less communication between members of my family, because when we arrive home after an exhausting day racing against time, the only thing we want to do is lie on the sofa while watching television.",G,Preposition_Unnecessary,PREP,"{'G': 3.56640625, 'PREP': 4.75, 'DET': -5.1640625, 'SVA': -4.44140625}"
It helps me with preparing my homework.,G,Preposition_Replacing,PREP,"{'G': 3.3203125, 'PREP': 4.80078125, 'DET': -5.0625, 'SVA': -4.2421875}"
"On top of everything, the main actor, Danny Brook, did not appear in the show.",G,Preposition_Replacing,PREP,"{'G': 3.82421875, 'PREP': 4.6171875, 'DET': -5.328125, 'SVA': -4.62890625}"
"Well, some others helped me with the task, but that did not make it much easier.",G,Preposition_Replacing,PREP,"{'G': 3.451171875, 'PREP': 4.78515625, 'DET': -5.06640625, 'SVA': -4.3671875}"
In the future people will be even more concerned about pollution and harmful UV - rays.,G,Preposition_Replacing,PREP,"{'G': 3.94140625, 'PREP': 4.578125, 'DET': -5.2109375, 'SVA': -4.7890625}"
Regarding what you could do in your free afternoon on the day you leave I would suggest you take the students to our History Museum.,G,Preposition_Unnecessary,PREP,"{'G': 3.6875, 'PREP': 4.6953125, 'DET': -5.30078125, 'SVA': -4.48046875}"
"I thought that it could only be seen by 3 people, but that was a mistake...",G,Preposition_Missing,PREP,"{'G': 3.39453125, 'PREP': 4.796875, 'DET': -5.03515625, 'SVA': -4.31640625}"
If you want to hear more of my suggestions and opinions about it please contact me on my cellphone.,G,Preposition_Unnecessary,PREP,"{'G': 3.775390625, 'PREP': 4.6640625, 'DET': -5.25390625, 'SVA': -4.61328125}"
"About what you can do in the area in the free time you have, I would suggest you visit the Modern Art Museum which now has a new exhibition.",G,Preposition_Replacing,PREP,"{'G': 3.4375, 'PREP': 4.7890625, 'DET': -5.07421875, 'SVA': -4.3515625}"
"But it was a big mistake because she told her mother about it and I don't know how but now my mother knows about it, and she is very worried about me and my future.",G,Preposition_Missing,PREP,"{'G': 3.7421875, 'PREP': 4.6953125, 'DET': -5.19921875, 'SVA': -4.59375}"
"Regarding the accommodation at camp, I prefer the log cabins, because a few years go, I went camping with some friends and every night it rained and in the tent it was impossible to sleep because the ground was so wet. So for this reason, I choose the log cabins.",G,Preposition_Unnecessary,PREP,"{'G': 3.408203125, 'PREP': 4.79296875, 'DET': -5.03515625, 'SVA': -4.328125}"
"In addition to this, there is less communication between members of my family, because when we arrive home after an exhausting day racing against time, the only thing we want to do is lie on the sofa while watching television.",G,Preposition_Replacing,PREP,"{'G': 3.56640625, 'PREP': 4.75, 'DET': -5.1640625, 'SVA': -4.44140625}"
That's why they both have to be taken into account in the video we will make.,G,Preposition_Replacing,PREP,"{'G': 3.701171875, 'PREP': 4.70703125, 'DET': -5.2265625, 'SVA': -4.5546875}"
That's why all his friends were angry with him and left him alone.,G,Preposition_Replacing,PREP,"{'G': 3.900390625, 'PREP': 4.60546875, 'DET': -5.2109375, 'SVA': -4.7890625}"
Thank you for organising the programme for the trip to London.,G,Preposition_Replacing,PREP,"{'G': 3.703125, 'PREP': 4.6796875, 'DET': -5.37890625, 'SVA': -4.46875}"
Sometimes I even play some games on it.,G,Preposition_Replacing,PREP,"{'G': 3.232421875, 'PREP': 4.80859375, 'DET': -4.9765625, 'SVA': -4.16796875}"
"Last month, Alice and her friends suggested to me that I help at a pop concert.",G,Preposition_Missing,PREP,"{'G': 3.80078125, 'PREP': 4.6640625, 'DET': -5.33984375, 'SVA': -4.578125}"
"There was nobody to let me in, no way to contact my parents.",G,Preposition_Unnecessary,PREP,"{'G': 3.595703125, 'PREP': 4.72265625, 'DET': -5.19921875, 'SVA': -4.48828125}"
It has allowed me to worry about other things in my life.,G,Preposition_Replacing,PREP,"{'G': 3.287109375, 'PREP': 4.80859375, 'DET': -5.0078125, 'SVA': -4.203125}"
She told me that she knew that last Saturday I went to a party without asking her and that she had to punish me for that.,G,Preposition_Replacing,PREP,"{'G': 3.615234375, 'PREP': 4.73046875, 'DET': -5.16796875, 'SVA': -4.49609375}"
"It seemed to be the most interesting lesson, because students always make some mistakes while they are practising with their partner, in spite of having been told by the teacher ten times.",G,Preposition_Replacing,PREP,"{'G': 3.771484375, 'PREP': 4.671875, 'DET': -5.24609375, 'SVA': -4.59765625}"
"The mobile phone is a marvellous invention, but as with cigarettes, we should write on it :",G,Preposition_Replacing,PREP,"{'G': 3.484375, 'PREP': 4.77734375, 'DET': -5.04296875, 'SVA': -4.44921875}"
"Furthermore, it is possible to treat many patients who have serious diseases more effectively, if we use modern technology in medical science.",G,Preposition_Replacing,PREP,"{'G': 3.865234375, 'PREP': 4.6171875, 'DET': -5.3359375, 'SVA': -4.66015625}"
"Now, my life is the best that could be imagined.",G,Preposition_Unnecessary,PREP,"{'G': 4.07421875, 'PREP': 4.484375, 'DET': -5.30078125, 'SVA': -4.84765625}"
