text,labels,UID,prediction,Probabilities
Those customers examine those commentaries.,G,regular_plural_subject_verb_agreement_1,G,"{'G': 5.1953125, 'PREP': -2.23046875, 'DET': -4.61328125, 'SVA': -2.40234375}"
Even Carlos will often happen to die.,G,npi_present_1,G,"{'G': 5.09375, 'PREP': -2.142578125, 'DET': -4.04296875, 'SVA': -2.76953125}"
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G,"{'G': 5.171875, 'PREP': -2.078125, 'DET': -4.4921875, 'SVA': -2.603515625}"
Margaret has said Craig discusses himself.,G,principle_A_domain_2,G,"{'G': 5.12109375, 'PREP': -2.26953125, 'DET': -4.2734375, 'SVA': -2.52734375}"
Julia skated around that popular cafe.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 4.89453125, 'PREP': -2.4453125, 'DET': -3.576171875, 'SVA': -2.49609375}"
"Modern technology is used all the time at home, at school or working.",PREP,Preposition_Missing,PREP,"{'G': 2.787109375, 'PREP': 3.28125, 'DET': -4.68359375, 'SVA': -4.0859375}"
Many senators scan this black newspaper articles.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.28515625, 'PREP': -1.166015625, 'DET': 8.4921875, 'SVA': -1.6943359375}"
"I thought it was a good idea to tell to Pat because we could use it to look for exams, and then we could pass all of them.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.671875, 'PREP': 3.353515625, 'DET': -4.5859375, 'SVA': -4.0390625}"
Robert couldn't embarrass that scared people.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -1.876953125, 'PREP': -1.49609375, 'DET': 8.3359375, 'SVA': -1.875}"
It's himself who Brad talked to.,G,principle_A_reconstruction,G,"{'G': 5.15234375, 'PREP': -2.28515625, 'DET': -4.53515625, 'SVA': -2.318359375}"
Lori isn't messing up that tooth.,G,determiner_noun_agreement_irregular_2,G,"{'G': 5.15625, 'PREP': -2.38671875, 'DET': -4.59765625, 'SVA': -2.16796875}"
Guy bored that troubled man.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 5.203125, 'PREP': -2.197265625, 'DET': -4.59765625, 'SVA': -2.447265625}"
"I can play games, listen to music, and I can do my course work in the computer.",PREP,Preposition_Replacing,PREP,"{'G': 2.314453125, 'PREP': 3.546875, 'DET': -4.1796875, 'SVA': -4.0234375}"
People were sitting down.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.15234375, 'PREP': -1.7919921875, 'DET': -4.62890625, 'SVA': -2.76171875}"
Homer wouldn't go to these banks.,G,determiner_noun_agreement_2,G,"{'G': 5.20703125, 'PREP': -2.19140625, 'DET': -4.6328125, 'SVA': -2.458984375}"
Thomas has hidden those small tooth.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.39453125, 'PREP': -1.30859375, 'DET': 8.5234375, 'SVA': -1.3642578125}"
Deanna explores these oasis.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.55078125, 'PREP': -1.146484375, 'DET': 8.53125, 'SVA': -1.291015625}"
Caroline was observing that standing man.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 5.19140625, 'PREP': -2.251953125, 'DET': -4.69140625, 'SVA': -2.3125}"
This analysis has appeared to alarm Steve.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.16015625, 'PREP': -2.32421875, 'DET': -4.640625, 'SVA': -2.20703125}"
Lori hasn't exited that grocery stores.,DET,determiner_noun_agreement_1,DET,"{'G': -2.01953125, 'PREP': -1.587890625, 'DET': 8.390625, 'SVA': -1.5634765625}"
Every axis hasn't looked like most prints.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.08984375, 'PREP': -2.4765625, 'DET': -4.45703125, 'SVA': -2.07421875}"
These hypotheses embarrass Dennis.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 5.0546875, 'PREP': -2.39453125, 'DET': -5.125, 'SVA': -1.513671875}"
Clyde had that exposed axes.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -1.9501953125, 'PREP': -1.58203125, 'DET': 8.3671875, 'SVA': -1.67578125}"
"We are really satisfied with the sightseeing by bus, and in going to the National Gallery, but the whole class would like to go to The London Fashion Show and it will be free.",PREP,Preposition_Replacing,PREP,"{'G': 2.7578125, 'PREP': 3.296875, 'DET': -4.65234375, 'SVA': -4.06640625}"
Most customers have gone to those oasis.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.40234375, 'PREP': -1.1376953125, 'DET': 8.515625, 'SVA': -1.53125}"
Some lakes confused this unlucky woman.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 5.1640625, 'PREP': -2.234375, 'DET': -4.38671875, 'SVA': -2.517578125}"
The drivers hadn't returned to themselves.,G,anaphor_number_agreement,G,"{'G': 5.13671875, 'PREP': -2.3671875, 'DET': -4.48046875, 'SVA': -2.248046875}"
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP,"{'G': 2.626953125, 'PREP': 3.3984375, 'DET': -4.53515625, 'SVA': -4.05078125}"
Joel approaches this actresses.,DET,determiner_noun_agreement_2,DET,"{'G': -2.283203125, 'PREP': -1.4345703125, 'DET': 8.484375, 'SVA': -1.3828125}"
"So, I think July is the best time to go to the Camp.",G,Preposition_Replacing,PREP,"{'G': 2.583984375, 'PREP': 3.431640625, 'DET': -4.54296875, 'SVA': -4.03515625}"
The pictures of Martha doesn't disgust Anne.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -1.439453125, 'PREP': -1.638671875, 'DET': -2.111328125, 'SVA': 6.11328125}"
The women has read.,SVA,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -1.49609375, 'PREP': -1.62890625, 'DET': -2.01171875, 'SVA': 6.1015625}"
"So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday.",G,Preposition_Replacing,PREP,"{'G': 2.5703125, 'PREP': 3.4140625, 'DET': -4.5703125, 'SVA': -3.982421875}"
Analyses persuades this cousin of Brad to exercise.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 4.53125, 'PREP': -2.787109375, 'DET': -4.7109375, 'SVA': -0.57421875}"
A person hadn't boasted about that waiters.,DET,determiner_noun_agreement_2,DET,"{'G': -1.8330078125, 'PREP': -1.7333984375, 'DET': 8.2890625, 'SVA': -1.6474609375}"
Aaron could think about these medium.,DET,determiner_noun_agreement_irregular_1,DET,"{'G': -2.7421875, 'PREP': -0.900390625, 'DET': 8.5, 'SVA': -1.2509765625}"
The cousin of a lot of customers have cooked.,SVA,distractor_agreement_relational_noun,SVA,"{'G': -1.42578125, 'PREP': -1.5859375, 'DET': -2.18359375, 'SVA': 6.1015625}"
