text,labels,UID,prediction
Those customers examine those commentaries.,G,regular_plural_subject_verb_agreement_1,G
Even Carlos will often happen to die.,G,npi_present_1,G
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G
Margaret has said Craig discusses himself.,G,principle_A_domain_2,G
Julia skated around that popular cafe.,G,determiner_noun_agreement_with_adjective_1,G
"Modern technology is used all the time at home, at school or working.",PREP,Preposition_Missing,PREP
Many senators scan this black newspaper articles.,DET,determiner_noun_agreement_with_adj_2,DET
"I thought it was a good idea to tell to Pat because we could use it to look for exams, and then we could pass all of them.",PREP,Preposition_Unnecessary,PREP
Robert couldn't embarrass that scared people.,DET,determiner_noun_agreement_with_adj_irregular_2,DET
It's himself who Brad talked to.,G,principle_A_reconstruction,G
Lori isn't messing up that tooth.,G,determiner_noun_agreement_irregular_2,G
Guy bored that troubled man.,G,determiner_noun_agreement_with_adj_irregular_2,G
"I can play games, listen to music, and I can do my course work in the computer.",PREP,Preposition_Replacing,PREP
People were sitting down.,G,irregular_plural_subject_verb_agreement_1,G
Homer wouldn't go to these banks.,G,determiner_noun_agreement_2,G
Thomas has hidden those small tooth.,DET,determiner_noun_agreement_with_adj_irregular_1,DET
Deanna explores these oasis.,DET,determiner_noun_agreement_irregular_2,DET
Caroline was observing that standing man.,G,determiner_noun_agreement_with_adj_irregular_1,G
This analysis has appeared to alarm Steve.,G,irregular_plural_subject_verb_agreement_1,G
Lori hasn't exited that grocery stores.,DET,determiner_noun_agreement_1,DET
Every axis hasn't looked like most prints.,G,irregular_plural_subject_verb_agreement_1,G
These hypotheses embarrass Dennis.,G,irregular_plural_subject_verb_agreement_1,G
Clyde had that exposed axes.,DET,determiner_noun_agreement_with_adj_irregular_2,DET
"We are really satisfied with the sightseeing by bus, and in going to the National Gallery, but the whole class would like to go to The London Fashion Show and it will be free.",PREP,Preposition_Replacing,PREP
Most customers have gone to those oasis.,DET,determiner_noun_agreement_irregular_2,DET
Some lakes confused this unlucky woman.,G,determiner_noun_agreement_with_adj_irregular_1,G
The drivers hadn't returned to themselves.,G,anaphor_number_agreement,G
I was going to markets and to schools and I was giving out information about when and where the group was going to appear as well as where people could buy or book a ticket for this concert.,G,Preposition_Missing,PREP
