sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,pairID
The actors explain that they are skated around a library.,The actors explain that themselves are skated around a library.,syntax_semantics,binding,principle_A_case_1,True,True,False,False,478.0,,,,
Tammy hides these smooth oases.,Tammy hides these smooth oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,182.0,,,,
Most guys are annoyed by the lady.,Most guys are gone fishing by the lady.,syntax,argument_structure,passive_1,True,False,False,False,537.0,,,,
There was a concert with a famous band here in my city.,There was a concert of a famous band here in my city.,syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,There was a concert,with,of,117.0
Tonya might examine these good stories.,Tonya might examine these good story.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,705.0,,,,
No teacher had broken fewer than five chairs.,No teacher had broken at most five chairs.,semantics,quantifiers,superlative_quantifiers_1,True,False,False,False,577.0,,,,
A book about the Balkans doesn't bother Andrea.,A book about the Balkans don't bother Andrea.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,777.0,,,,
Adam boasted about these phenomena.,Adam boasted about these phenomenon.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,613.0,,,,
The drawings of Guy weren't scaring Bruce.,The drawings of Guy wasn't scaring Bruce.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,996.0,,,,
Only Peter ever comes here.,Even Peter ever comes here.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,213.0,,,,
A friend of many senators hasn't disagreed.,A friend of many senators haven't disagreed.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,212.0,,,,
The customers wash.,The customer wash.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,463.0,,,,
Jason passed that green bank.,Jason passed those green bank.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,537.0,,,,
Some children hadn't fixed these dishes.,Some children hadn't fixed this dishes.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,711.0,,,,
Moreover I was punished harshly by my father and now we don't talk to each other.,Moreover I was punished harshly by my father and now we don't talk each other.,syntax-semantics,Preposition,Preposition_Missing,True,True,False,False,,Moreover I was punished harshly by my father and now we don't talk,to,,133.0
Noah darkens the screen.,Noah disappears the screen.,syntax,argument_structure,causative,True,False,False,False,217.0,,,,
Patrick is investigating Jodi.,Patrick are investigating Jodi.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,248.0,,,,
There are telephones that give you the opportunity to talk with more than one person on the line.,There are telephones that give you the opportunity to talk with more than one person at the line.,syntax-semantics,Preposition,Preposition_Replacing,True,True,False,False,,There are telephones that give you the opportunity to talk with more than one person,on,at,2923.0
Some cashiers help this troubled person.,Some cashiers help these troubled person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,302.0,,,,
Brenda did think about herself disgusting Ann.,Brenda did think about herself disgusted Ann.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,389.0,,,,
Victoria boasted about this play.,Victoria boasted about this plays.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,524.0,,,,
Paul would imagine a lot of adults have returned to themselves.,Paul would imagine a lot of adults have returned to himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,627.0,,,,
The Borgias tour those oases.,The Borgias tour that oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,326.0,,,,
There isn't about to be a shoe aggravating some libraries.,There isn't overjoyed to be a shoe aggravating some libraries.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,52.0,,,,
This adult is approaching.,This adult is driving to.,syntax,argument_structure,drop_argument,True,False,False,False,743.0,,,,
The Lutherans forget about themselves passing Spain.,The Lutherans forget about themselves pass Spain.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,954.0,,,,
Rodney did often command every girl to tour some bank.,Rodney did ever command every girl to tour some bank.,semantics,npi_licensing,npi_present_2,True,True,False,False,112.0,,,,
