text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
"As requested, the aim of this report is to assess the suitability for a group of American students of the visit to the Etruscan Museum.",G,Preposition_Replacing,PREP,"{'G': 2.884765625, 'PREP': 3.103515625, 'DET': -5.24609375, 'SVA': -3.634765625}",G,"{'G': 4.80859375, 'PREP': 3.595703125, 'DET': -5.8671875, 'SVA': -4.72265625}",PREP,"{'G': 1.4267578125, 'PREP': 5.640625, 'DET': -6.1640625, 'SVA': -5.50390625}"
"When I bought my tickets, I noticed I didn't get any discount like the one that was written on the folder.",G,Preposition_Replacing,PREP,"{'G': 2.73046875, 'PREP': 3.3125, 'DET': -4.546875, 'SVA': -4.1328125}",G,"{'G': 4.4296875, 'PREP': 4.1015625, 'DET': -5.69140625, 'SVA': -4.73828125}",PREP,"{'G': 1.947265625, 'PREP': 5.40625, 'DET': -6.578125, 'SVA': -5.71875}"
"The idea of going to the science museum is fantastic. I read about the museum, and it is really interesting for the history of science.",G,Preposition_Replacing,PREP,"{'G': 2.708984375, 'PREP': 3.34765625, 'DET': -4.62109375, 'SVA': -4.0703125}",G,"{'G': 4.484375, 'PREP': 4.1328125, 'DET': -5.61328125, 'SVA': -4.890625}",PREP,"{'G': 2.193359375, 'PREP': 5.2109375, 'DET': -6.7109375, 'SVA': -5.7421875}"
I would be really happy if I could choose singing and photography from activities you have listed.,G,Preposition_Replacing,PREP,"{'G': 2.650390625, 'PREP': 3.357421875, 'DET': -4.41796875, 'SVA': -4.15625}",G,"{'G': 4.28515625, 'PREP': 4.2734375, 'DET': -5.27734375, 'SVA': -5.00390625}",PREP,"{'G': 2.0078125, 'PREP': 5.3359375, 'DET': -6.58203125, 'SVA': -5.71484375}"
"Second, I went to the theatre at exactly seven thirty in the evening.",G,Preposition_Missing,PREP,"{'G': 2.486328125, 'PREP': 3.474609375, 'DET': -4.4375, 'SVA': -4.01953125}",G,"{'G': 4.76171875, 'PREP': 3.580078125, 'DET': -5.828125, 'SVA': -4.63671875}",PREP,"{'G': 2.669921875, 'PREP': 4.625, 'DET': -6.74609375, 'SVA': -5.59375}"
"However, among all of them I like swimming and tennis the best. I have a lot of experience with swimming and have represented my school before.",G,Preposition_Replacing,PREP,"{'G': 2.66796875, 'PREP': 3.365234375, 'DET': -4.5625, 'SVA': -4.05859375}",G,"{'G': 4.6484375, 'PREP': 3.783203125, 'DET': -5.59375, 'SVA': -4.83984375}",PREP,"{'G': 2.28515625, 'PREP': 5.10546875, 'DET': -6.72265625, 'SVA': -5.71484375}"
"He had been replaced by a really bad actor, of whom I don't even know the name.",G,Preposition_Missing,PREP,"{'G': 2.8359375, 'PREP': 3.193359375, 'DET': -4.5078125, 'SVA': -4.203125}",G,"{'G': 4.4140625, 'PREP': 4.17578125, 'DET': -5.63671875, 'SVA': -4.7890625}",PREP,"{'G': 2.833984375, 'PREP': 4.43359375, 'DET': -6.81640625, 'SVA': -5.5078125}"
There are a lot of advantages to it.,G,Preposition_Replacing,PREP,"{'G': 1.201171875, 'PREP': 3.287109375, 'DET': -0.79345703125, 'SVA': -4.953125}",G,"{'G': 6.66796875, 'PREP': -1.5302734375, 'DET': -5.22265625, 'SVA': -2.611328125}",PREP,"{'G': 1.771484375, 'PREP': 5.515625, 'DET': -6.46875, 'SVA': -5.6796875}"
I went back to my chair and when I looked up I saw my head teacher walking through the door with the being behind him.,G,Preposition_Replacing,PREP,"{'G': 2.712890625, 'PREP': 3.328125, 'DET': -4.53125, 'SVA': -4.11328125}",G,"{'G': 4.71875, 'PREP': 3.724609375, 'DET': -5.625, 'SVA': -4.8515625}",PREP,"{'G': 2.23828125, 'PREP': 5.16015625, 'DET': -6.71484375, 'SVA': -5.73046875}"
"First of all, I don't think it's professional to change the principal actor at the last minute, the play should have been with Danny Brook, but it wasn't.",G,Preposition_Replacing,PREP,"{'G': 2.9140625, 'PREP': 3.1640625, 'DET': -4.796875, 'SVA': -4.06640625}",G,"{'G': 4.55859375, 'PREP': 3.97265625, 'DET': -5.69921875, 'SVA': -4.76171875}",PREP,"{'G': 2.630859375, 'PREP': 4.625, 'DET': -6.6953125, 'SVA': -5.578125}"
I hope you write to me soon to tell me your opinion.,G,Preposition_Missing,PREP,"{'G': 2.3515625, 'PREP': 3.359375, 'DET': -3.59765625, 'SVA': -4.38671875}",G,"{'G': 5.65625, 'PREP': 1.4814453125, 'DET': -5.93359375, 'SVA': -3.798828125}",PREP,"{'G': 1.9970703125, 'PREP': 5.28515625, 'DET': -6.6015625, 'SVA': -5.5703125}"
"Finally, I would like to ask some questions such as about clothes and money.",G,Preposition_Missing,PREP,"{'G': 2.80078125, 'PREP': 3.24609375, 'DET': -4.578125, 'SVA': -4.140625}",G,"{'G': 4.4921875, 'PREP': 4.05859375, 'DET': -5.54296875, 'SVA': -4.91015625}",PREP,"{'G': 1.7529296875, 'PREP': 5.5390625, 'DET': -6.3984375, 'SVA': -5.73828125}"
"I would recommend you get to the conference by subway, because the subway station is situated 5 minutes' walk from the hotel.",G,Preposition_Unnecessary,PREP,"{'G': 2.541015625, 'PREP': 3.443359375, 'DET': -4.33203125, 'SVA': -4.13671875}",G,"{'G': 4.44921875, 'PREP': 4.0859375, 'DET': -5.78515625, 'SVA': -4.71875}",PREP,"{'G': 2.275390625, 'PREP': 5.09375, 'DET': -6.73046875, 'SVA': -5.68359375}"
"If you want to talk to your friends, parents, or partner to ask something, you can call them without wondering how you can communicate with them.",G,Preposition_Replacing,PREP,"{'G': 2.70703125, 'PREP': 3.296875, 'DET': -4.5546875, 'SVA': -4.078125}",G,"{'G': 4.28125, 'PREP': 4.25, 'DET': -5.5, 'SVA': -4.81640625}",PREP,"{'G': 2.455078125, 'PREP': 4.890625, 'DET': -6.640625, 'SVA': -5.7265625}"
