text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs,BB_RoBERTa_preds,BB_RoBERTa_probs,O_RoBERTa_preds,O_RoBERTa_probs
It didn't take long until my embarrassing story to get out in the open.,PREP,Preposition_Replacing,PREP,"{'G': 2.833984375, 'PREP': 3.130859375, 'DET': -4.390625, 'SVA': -4.2734375}",G,"{'G': 4.6328125, 'PREP': 3.79296875, 'DET': -5.58203125, 'SVA': -4.84765625}",G,"{'G': 5.4140625, 'PREP': 0.98193359375, 'DET': -6.7890625, 'SVA': -4.18359375}"
"The shopping centre is just opposite of the hotel. However, some people may want to just wait at the hotel, having a cup of coffee.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.72265625, 'PREP': 3.318359375, 'DET': -4.58984375, 'SVA': -4.09765625}",G,"{'G': 4.30859375, 'PREP': 4.3046875, 'DET': -5.75390625, 'SVA': -4.734375}",G,"{'G': 4.74609375, 'PREP': 1.73828125, 'DET': -6.63671875, 'SVA': -4.43359375}"
"I mean, all those flashing lights, their changing colours, I believe they helped a lot.",PREP,Preposition_Missing,PREP,"{'G': 2.671875, 'PREP': 3.359375, 'DET': -4.5859375, 'SVA': -4.05859375}",G,"{'G': 4.765625, 'PREP': 3.650390625, 'DET': -5.60546875, 'SVA': -4.89453125}",G,"{'G': 5.15625, 'PREP': 1.296875, 'DET': -6.7265625, 'SVA': -4.3359375}"
"Although I know how to surf, I have no idea about sailing. I have only read about it and I am very interested trying.",PREP,Preposition_Missing,PREP,"{'G': 2.91015625, 'PREP': 3.154296875, 'DET': -4.68359375, 'SVA': -4.1328125}",G,"{'G': 5.24609375, 'PREP': 2.5703125, 'DET': -5.71484375, 'SVA': -4.49609375}",G,"{'G': 4.45703125, 'PREP': 1.91796875, 'DET': -6.50390625, 'SVA': -4.4296875}"
"You have to be much smarter than your student, and you also need to prepare for lessons, for it is your responsibility to provide your student with the right information.",PREP,Preposition_Replacing,PREP,"{'G': 2.671875, 'PREP': 3.349609375, 'DET': -4.515625, 'SVA': -4.09765625}",G,"{'G': 4.39453125, 'PREP': 4.171875, 'DET': -5.60546875, 'SVA': -4.8046875}",G,"{'G': 4.19921875, 'PREP': 2.4375, 'DET': -6.61328125, 'SVA': -4.72265625}"
"So, you run to the bank but have to wait for the queue.",PREP,Preposition_Replacing,PREP,"{'G': 2.662109375, 'PREP': 3.3671875, 'DET': -4.57421875, 'SVA': -4.05078125}",G,"{'G': 4.828125, 'PREP': 3.26953125, 'DET': -5.89453125, 'SVA': -4.43359375}",G,"{'G': 5.390625, 'PREP': 1.03515625, 'DET': -6.73046875, 'SVA': -4.2578125}"
"I'm sure that if you listen to it you will start reading the book immediately, and find out there are many challenges for your new career.",PREP,Preposition_Replacing,PREP,"{'G': 2.572265625, 'PREP': 3.419921875, 'DET': -4.42578125, 'SVA': -4.08984375}",G,"{'G': 4.91015625, 'PREP': 3.353515625, 'DET': -5.63671875, 'SVA': -4.8359375}",G,"{'G': 5.7734375, 'PREP': 0.6962890625, 'DET': -6.8046875, 'SVA': -4.29296875}"
"1. First of all, I was really furious about watching a show starring by a different actor, instead of Danny Brook,",PREP,Preposition_Unnecessary,PREP,"{'G': 2.94921875, 'PREP': 3.126953125, 'DET': -4.76953125, 'SVA': -4.109375}",G,"{'G': 4.984375, 'PREP': 3.248046875, 'DET': -5.78125, 'SVA': -4.6796875}",G,"{'G': 5.28515625, 'PREP': 1.1875, 'DET': -6.75390625, 'SVA': -4.3125}"
"Besides this, I think that some of the concert halls were too small that I felt very uncomfortable.",PREP,Preposition_Missing,PREP,"{'G': 2.96484375, 'PREP': 3.095703125, 'DET': -4.6015625, 'SVA': -4.21875}",G,"{'G': 4.984375, 'PREP': 3.1953125, 'DET': -5.32421875, 'SVA': -5.00390625}",G,"{'G': 4.609375, 'PREP': 1.8115234375, 'DET': -6.5859375, 'SVA': -4.44921875}"
"I would like to ask if we need any money to pay or buy anything because you didn't specify what is included in the trip, such as food.",PREP,Preposition_Missing,PREP,"{'G': 2.59375, 'PREP': 3.3984375, 'DET': -4.453125, 'SVA': -4.08203125}",G,"{'G': 4.375, 'PREP': 4.1640625, 'DET': -5.41015625, 'SVA': -4.921875}",G,"{'G': 5.625, 'PREP': 0.84716796875, 'DET': -6.765625, 'SVA': -4.3359375}"
Before I bought my ticket and made train and hotel reservations I'd read a lot of good reviews about that show and I thought it would be a great event to share with friends.,PREP,Preposition_Replacing,PREP,"{'G': 3.005859375, 'PREP': 3.05078125, 'DET': -4.73046875, 'SVA': -4.13671875}",G,"{'G': 4.46484375, 'PREP': 4.1328125, 'DET': -5.56640625, 'SVA': -4.90234375}",G,"{'G': 5.203125, 'PREP': 1.28125, 'DET': -6.734375, 'SVA': -4.38671875}"
Due to all this trouble I think we should have our money back.,PREP,Preposition_Replacing,PREP,"{'G': 2.521484375, 'PREP': 3.404296875, 'DET': -4.1171875, 'SVA': -4.24609375}",G,"{'G': 5.29296875, 'PREP': 2.396484375, 'DET': -6.0, 'SVA': -4.16796875}",G,"{'G': 4.55078125, 'PREP': 1.837890625, 'DET': -6.54296875, 'SVA': -4.421875}"
"But at the breaks and after work, I had a chance to talk with the engineers, and I learnt something about setting up the equipment.",PREP,Preposition_Replacing,PREP,"{'G': 2.71484375, 'PREP': 3.306640625, 'DET': -4.578125, 'SVA': -4.0859375}",G,"{'G': 4.76953125, 'PREP': 3.68359375, 'DET': -5.71875, 'SVA': -4.83203125}",G,"{'G': 4.734375, 'PREP': 1.6845703125, 'DET': -6.59765625, 'SVA': -4.390625}"
"Perhaps, he moved into another town.",PREP,Preposition_Replacing,PREP,"{'G': 2.677734375, 'PREP': 3.25390625, 'DET': -4.515625, 'SVA': -4.00390625}",G,"{'G': 4.9140625, 'PREP': 3.298828125, 'DET': -5.73828125, 'SVA': -4.6953125}",G,"{'G': 5.5546875, 'PREP': 0.82568359375, 'DET': -6.6875, 'SVA': -4.2421875}"
I wondered why I made the mistake inviting Pat.,PREP,Preposition_Missing,PREP,"{'G': 2.6640625, 'PREP': 3.375, 'DET': -4.5703125, 'SVA': -4.046875}",G,"{'G': 4.72265625, 'PREP': 3.56640625, 'DET': -5.92578125, 'SVA': -4.53125}",G,"{'G': 6.41015625, 'PREP': -0.368896484375, 'DET': -6.58203125, 'SVA': -3.892578125}"
"But the most important thing was that it would be really surprising to her, because she could hardly expect such a present.",PREP,Preposition_Replacing,PREP,"{'G': 2.9765625, 'PREP': 3.08203125, 'DET': -4.7578125, 'SVA': -4.11328125}",G,"{'G': 4.8984375, 'PREP': 3.466796875, 'DET': -5.57421875, 'SVA': -4.88671875}",G,"{'G': 5.18359375, 'PREP': 1.328125, 'DET': -6.72265625, 'SVA': -4.4375}"
This is because people won't give up the great taste of food. Although it could be substituted to a vitamin pill or two.,PREP,Preposition_Replacing,PREP,"{'G': 2.8984375, 'PREP': 3.126953125, 'DET': -4.671875, 'SVA': -4.09375}",G,"{'G': 4.609375, 'PREP': 3.912109375, 'DET': -5.60546875, 'SVA': -4.87890625}",G,"{'G': 4.8671875, 'PREP': 1.537109375, 'DET': -6.578125, 'SVA': -4.359375}"
Also there is a bus provided by the organisation to take all the students at the hotel.,PREP,Preposition_Replacing,PREP,"{'G': 2.666015625, 'PREP': 3.33984375, 'DET': -4.63671875, 'SVA': -4.0}",G,"{'G': 5.05078125, 'PREP': 3.15234375, 'DET': -5.90625, 'SVA': -4.63671875}",G,"{'G': 4.35546875, 'PREP': 2.1015625, 'DET': -6.59375, 'SVA': -4.48828125}"
This is just a note to confirm you that I have received your letter.,PREP,Preposition_Missing,PREP,"{'G': 2.69140625, 'PREP': 3.322265625, 'DET': -4.49609375, 'SVA': -4.12109375}",G,"{'G': 4.83203125, 'PREP': 3.37109375, 'DET': -6.1640625, 'SVA': -4.38671875}",G,"{'G': 4.1875, 'PREP': 2.201171875, 'DET': -6.49609375, 'SVA': -4.48046875}"
"In reply to your letter received the 13th of June, I first would like to say that it is a great pleasure for me to have been chosen.",PREP,Preposition_Missing,PREP,"{'G': 2.73828125, 'PREP': 3.296875, 'DET': -4.5859375, 'SVA': -4.1015625}",G,"{'G': 4.44140625, 'PREP': 4.1328125, 'DET': -5.66015625, 'SVA': -4.796875}",G,"{'G': 4.859375, 'PREP': 1.48046875, 'DET': -6.51953125, 'SVA': -4.296875}"
Pat kept this a secret for two months but one day revealed it by accident to a boy from her class.,PREP,Preposition_Replacing,PREP,"{'G': 2.693359375, 'PREP': 3.30078125, 'DET': -4.33203125, 'SVA': -4.2265625}",G,"{'G': 4.6796875, 'PREP': 3.830078125, 'DET': -5.58203125, 'SVA': -4.9765625}",G,"{'G': 4.9375, 'PREP': 1.552734375, 'DET': -6.62890625, 'SVA': -4.46875}"
I decided to go to the Circle Theatre with the hope that your show would provide me all these emotions that I had been looking for in Great Britain.,PREP,Preposition_Missing,PREP,"{'G': 2.927734375, 'PREP': 3.12109375, 'DET': -4.6640625, 'SVA': -4.1640625}",G,"{'G': 4.90234375, 'PREP': 3.4296875, 'DET': -5.5546875, 'SVA': -4.890625}",G,"{'G': 4.9296875, 'PREP': 1.42578125, 'DET': -6.59375, 'SVA': -4.296875}"
"Anyway, I would like to know that how many people are going to this Camp.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.720703125, 'PREP': 3.29296875, 'DET': -4.3984375, 'SVA': -4.2109375}",G,"{'G': 5.08984375, 'PREP': 3.00390625, 'DET': -5.3984375, 'SVA': -4.9140625}",G,"{'G': 6.21484375, 'PREP': 0.14013671875, 'DET': -6.75390625, 'SVA': -4.19921875}"
I am very glad to hear that I have won the prize and thank you very much about that.,PREP,Preposition_Replacing,PREP,"{'G': 2.7109375, 'PREP': 3.326171875, 'DET': -4.49609375, 'SVA': -4.14453125}",G,"{'G': 4.49609375, 'PREP': 3.921875, 'DET': -5.6328125, 'SVA': -4.69140625}",G,"{'G': 5.76953125, 'PREP': 0.73046875, 'DET': -6.84765625, 'SVA': -4.296875}"
"And also I have never played the piano with singers before, and after that makes me more confident and has improved my skills a lot.",PREP,Preposition_Unnecessary,PREP,"{'G': 2.873046875, 'PREP': 3.19140625, 'DET': -4.6796875, 'SVA': -4.125}",G,"{'G': 4.95703125, 'PREP': 3.330078125, 'DET': -5.6171875, 'SVA': -4.83203125}",G,"{'G': 4.70703125, 'PREP': 1.685546875, 'DET': -6.5703125, 'SVA': -4.390625}"
