text,labels,UID,prediction,Probabilities
Those customers examine those commentaries.,G,regular_plural_subject_verb_agreement_1,G,"{'G': 7.078125, 'PREP': -2.697265625, 'DET': -4.80078125, 'SVA': -2.841796875}"
Even Carlos will often happen to die.,G,npi_present_1,G,"{'G': 7.24609375, 'PREP': -2.16015625, 'DET': -5.71484375, 'SVA': -3.24609375}"
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G,"{'G': 6.9375, 'PREP': -1.875, 'DET': -6.28515625, 'SVA': -2.736328125}"
Margaret has said Craig discusses himself.,G,principle_A_domain_2,G,"{'G': 7.203125, 'PREP': -2.46875, 'DET': -5.2421875, 'SVA': -3.03125}"
Julia skated around that popular cafe.,G,determiner_noun_agreement_with_adjective_1,G,"{'G': 7.20703125, 'PREP': -2.451171875, 'DET': -5.12890625, 'SVA': -3.15625}"
"Modern technology is used all the time at home, at school or working.",PREP,Preposition_Missing,G,"{'G': 4.48046875, 'PREP': 1.8994140625, 'DET': -6.5859375, 'SVA': -4.40625}"
Many senators scan this black newspaper articles.,DET,determiner_noun_agreement_with_adj_2,DET,"{'G': -2.662109375, 'PREP': -2.53515625, 'DET': 11.09375, 'SVA': -1.8330078125}"
"I thought it was a good idea to tell to Pat because we could use it to look for exams, and then we could pass all of them.",PREP,Preposition_Unnecessary,PREP,"{'G': 0.51611328125, 'PREP': 5.640625, 'DET': -5.015625, 'SVA': -4.87109375}"
Robert couldn't embarrass that scared people.,DET,determiner_noun_agreement_with_adj_irregular_2,DET,"{'G': -2.46875, 'PREP': -2.767578125, 'DET': 11.140625, 'SVA': -1.8056640625}"
It's himself who Brad talked to.,G,principle_A_reconstruction,G,"{'G': 7.2109375, 'PREP': -2.24609375, 'DET': -5.578125, 'SVA': -3.169921875}"
Lori isn't messing up that tooth.,G,determiner_noun_agreement_irregular_2,G,"{'G': 7.21484375, 'PREP': -2.44140625, 'DET': -5.203125, 'SVA': -3.15234375}"
Guy bored that troubled man.,G,determiner_noun_agreement_with_adj_irregular_2,G,"{'G': 7.109375, 'PREP': -2.640625, 'DET': -4.98828125, 'SVA': -2.828125}"
"I can play games, listen to music, and I can do my course work in the computer.",PREP,Preposition_Replacing,G,"{'G': 4.53515625, 'PREP': 1.8603515625, 'DET': -6.52734375, 'SVA': -4.421875}"
People were sitting down.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 7.21484375, 'PREP': -2.322265625, 'DET': -5.48046875, 'SVA': -3.119140625}"
Homer wouldn't go to these banks.,G,determiner_noun_agreement_2,G,"{'G': 7.2109375, 'PREP': -2.44140625, 'DET': -5.16015625, 'SVA': -3.1640625}"
Thomas has hidden those small tooth.,DET,determiner_noun_agreement_with_adj_irregular_1,DET,"{'G': -2.876953125, 'PREP': -2.4765625, 'DET': 11.15625, 'SVA': -1.60546875}"
Deanna explores these oasis.,DET,determiner_noun_agreement_irregular_2,DET,"{'G': -2.71875, 'PREP': -2.720703125, 'DET': 11.203125, 'SVA': -1.5419921875}"
Caroline was observing that standing man.,G,determiner_noun_agreement_with_adj_irregular_1,G,"{'G': 7.2109375, 'PREP': -2.4453125, 'DET': -5.11328125, 'SVA': -3.19140625}"
This analysis has appeared to alarm Steve.,G,irregular_plural_subject_verb_agreement_1,G,"{'G': 7.1875, 'PREP': -2.4296875, 'DET': -5.265625, 'SVA': -3.111328125}"
