text,labels,UID,O_RoBERTa_preds,O_RoBERTa_probs
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G,"{'G': 6.9375, 'PREP': -1.875, 'DET': -6.28515625, 'SVA': -2.736328125}"
"Modern technology is used all the time at home, at school or working.",PREP,Preposition_Missing,G,"{'G': 4.48046875, 'PREP': 1.8994140625, 'DET': -6.5859375, 'SVA': -4.40625}"
"I can play games, listen to music, and I can do my course work in the computer.",PREP,Preposition_Replacing,G,"{'G': 4.53515625, 'PREP': 1.8603515625, 'DET': -6.52734375, 'SVA': -4.421875}"
"In my opinion, in a hundred of years we'll wear the same kind of clothes that we wear nowadays.",PREP,Preposition_Unnecessary,G,"{'G': 4.18359375, 'PREP': 2.3359375, 'DET': -6.55078125, 'SVA': -4.6171875}"
"As if that wasn't enough, after the show, I took the risk of going to your restaurant and it is not very hard to guess that I wasn't able to enjoy it, as it was closed because it wasn't clean enough to serve food ; the perfect ending for the perfect evening.",PREP,Preposition_Replacing,G,"{'G': 4.9453125, 'PREP': 1.5107421875, 'DET': -6.67578125, 'SVA': -4.41015625}"
The reason for this is that I have difficulty in sleeping in tents.,PREP,Preposition_Unnecessary,G,"{'G': 4.94140625, 'PREP': 1.4755859375, 'DET': -6.58203125, 'SVA': -4.39453125}"
First I can travel only in July because I will finish school at the end of June and I will sit my exam in September ; so I have to revise it a lot during the month of August.,PREP,Preposition_Missing,G,"{'G': 4.9296875, 'PREP': 1.31640625, 'DET': -6.578125, 'SVA': -4.125}"
You advertised for my perfect evening out.,PREP,Preposition_Unnecessary,G,"{'G': 4.5546875, 'PREP': 1.6748046875, 'DET': -6.49609375, 'SVA': -4.1796875}"
"I felt like a fool, and all the audience felt like I did.",PREP,Preposition_Replacing,G,"{'G': 6.30078125, 'PREP': -0.07666015625, 'DET': -6.6875, 'SVA': -4.07421875}"
"Such simple and everyday things like a telephone, a car, a computer so only seem to be normal and everyday for us as we use them every day.",PREP,Preposition_Unnecessary,G,"{'G': 4.6171875, 'PREP': 1.814453125, 'DET': -6.5859375, 'SVA': -4.44921875}"
I am looking forward to being received in camp California.,PREP,Preposition_Replacing,G,"{'G': 5.36328125, 'PREP': 0.85595703125, 'DET': -6.57421875, 'SVA': -4.07421875}"
I am replying to your letter about the first prize of the competition that I won and there are a number of things I would like to make clear.,PREP,Preposition_Replacing,G,"{'G': 4.9921875, 'PREP': 1.44921875, 'DET': -6.63671875, 'SVA': -4.36328125}"
But to add to this I had to join a long queue to get a full - price ticket when I had brought my student card on the purpose of getting the discount which had been advertised but didn't in fact exist.,PREP,Preposition_Replacing,G,"{'G': 4.5078125, 'PREP': 1.865234375, 'DET': -6.53515625, 'SVA': -4.43359375}"
"It was a nice, hot summer so I and two friends of mine decided to go for holiday this year to the seaside.",PREP,Preposition_Replacing,G,"{'G': 5.18359375, 'PREP': 1.1044921875, 'DET': -6.625, 'SVA': -4.1171875}"
I hope that you will agree with this suggestion.,PREP,Preposition_Replacing,G,"{'G': 6.36328125, 'PREP': -0.1796875, 'DET': -6.5703125, 'SVA': -4.1015625}"
I really think that living in the future will be like living in the moon - very exciting.,PREP,Preposition_Replacing,G,"{'G': 4.56640625, 'PREP': 1.80859375, 'DET': -6.59375, 'SVA': -4.37109375}"
"Third, I love playing basketball. I am a great player and I play with my University and I like to be playing all the time so I will not miss this activity.",PREP,Preposition_Replacing,G,"{'G': 4.74609375, 'PREP': 1.662109375, 'DET': -6.5703125, 'SVA': -4.3984375}"
"Of course, you should give a refund of the money spent, not only to me but to all the audience.",PREP,Preposition_Replacing,G,"{'G': 4.578125, 'PREP': 1.7421875, 'DET': -6.5234375, 'SVA': -4.3125}"
"So, you run to the bank but have to wait for the queue.",PREP,Preposition_Replacing,G,"{'G': 5.390625, 'PREP': 1.03515625, 'DET': -6.73046875, 'SVA': -4.2578125}"
"Maybe it was the wrong decision to tell her. She began to share that secret to everybody, including the teachers.",PREP,Preposition_Replacing,G,"{'G': 6.15234375, 'PREP': 0.1414794921875, 'DET': -6.71875, 'SVA': -4.16796875}"
This is because people won't give up the great taste of food. Although it could be substituted to a vitamin pill or two.,PREP,Preposition_Replacing,G,"{'G': 4.8671875, 'PREP': 1.537109375, 'DET': -6.578125, 'SVA': -4.359375}"
The sea is also polluted by oil and the chemical detergents which are used at the home.,PREP,Preposition_Replacing,G,"{'G': 4.73828125, 'PREP': 1.6328125, 'DET': -6.56640625, 'SVA': -4.3125}"
The first time in my life I have won a competition. I would like to take you up on your invitation in July.,PREP,Preposition_Missing,G,"{'G': 5.09765625, 'PREP': 1.3125, 'DET': -6.63671875, 'SVA': -4.3203125}"
"I am writing to you first of all to thank you for the excellent programme that you have given us about the trip to London, especially for planning a visit to the science museum, which we believe is going to be very interesting.",PREP,Preposition_Replacing,G,"{'G': 4.4140625, 'PREP': 2.001953125, 'DET': -6.5234375, 'SVA': -4.48046875}"
We have a great opportunity to learn the latest fashions free because we are students.,PREP,Preposition_Missing,G,"{'G': 4.421875, 'PREP': 2.109375, 'DET': -6.578125, 'SVA': -4.55078125}"
I was just walking down by the dressing room and the manager asked that if I could help them.,PREP,Preposition_Unnecessary,G,"{'G': 5.25, 'PREP': 1.25390625, 'DET': -6.74609375, 'SVA': -4.34375}"
"To give examples : we are healthy we buy clothes and Records, we enjoy ourselves ; if we are sick, or our relatives are, we buy medicines and we do not enjoy ourselves because it is an obligation.",PREP,Preposition_Missing,G,"{'G': 4.5234375, 'PREP': 1.91015625, 'DET': -6.59375, 'SVA': -4.421875}"
If it is possible I would like to travel in July because school is finishing on the 28th June and I have already accepted a job in August.,PREP,Preposition_Replacing,G,"{'G': 5.03125, 'PREP': 1.29296875, 'DET': -6.59765625, 'SVA': -4.2265625}"
"On the other hand, I understand very well that it is really necessary. I also understand that nobody will do that at my place.",PREP,Preposition_Replacing,G,"{'G': 3.732421875, 'PREP': 3.212890625, 'DET': -6.765625, 'SVA': -5.09375}"
We are sure this is suitable to all of us.,PREP,Preposition_Replacing,G,"{'G': 5.2734375, 'PREP': 1.15234375, 'DET': -6.69140625, 'SVA': -4.2734375}"
"And regarding the activities, I must choose Photography and Painting because I am not very good for sports and I think I do well at these things.",PREP,Preposition_Replacing,G,"{'G': 4.5546875, 'PREP': 1.8671875, 'DET': -6.55859375, 'SVA': -4.45703125}"
"For the last one hundred years science and technology has taken a big step, if we look back.",PREP,Preposition_Replacing,G,"{'G': 4.5625, 'PREP': 1.890625, 'DET': -6.56640625, 'SVA': -4.4765625}"
"I am very sorry to say it was definitely not a perfect evening out, and I am therefore asking you for a refund of the amount I paid, or part of it.",PREP,Preposition_Replacing,G,"{'G': 4.82421875, 'PREP': 1.556640625, 'DET': -6.59765625, 'SVA': -4.34375}"
"As you possibly already know, the end - of - conference party will take place at the main reception room at the same hotel.",PREP,Preposition_Replacing,G,"{'G': 4.6484375, 'PREP': 1.7529296875, 'DET': -6.58203125, 'SVA': -4.41015625}"
My second complaint is about some the concert halls which were too small.,PREP,Preposition_Missing,G,"{'G': 5.5, 'PREP': 0.91943359375, 'DET': -6.7578125, 'SVA': -4.2109375}"
I am writing to you in connection with your programme of spending three days in London.,PREP,Preposition_Replacing,G,"{'G': 5.1875, 'PREP': 1.2333984375, 'DET': -6.66015625, 'SVA': -4.3125}"
"After a week of holiday, when Pandora returned she learned that all of her friends knew about that.",PREP,Preposition_Replacing,G,"{'G': 6.37109375, 'PREP': -0.2222900390625, 'DET': -6.51171875, 'SVA': -4.16796875}"
