text,labels,UID,BB_RoBERTa_preds,BB_RoBERTa_probs
Only steak that a lot of guests notice ever embarrassed Danielle.,G,only_npi_scope,SVA,"{'G': 1.73046875, 'PREP': -3.76171875, 'DET': -4.93359375, 'SVA': 5.3359375}"
The Borgias shocks Elaine.,G,regular_plural_subject_verb_agreement_1,SVA,"{'G': -0.288818359375, 'PREP': -3.259765625, 'DET': -4.7109375, 'SVA': 7.0}"
The child hunts.,G,irregular_plural_subject_verb_agreement_2,SVA,"{'G': -0.654296875, 'PREP': -3.453125, 'DET': -4.2890625, 'SVA': 7.1796875}"
.,G,Preposition_Unnecessary,SVA,"{'G': 0.58984375, 'PREP': -2.744140625, 'DET': -5.3125, 'SVA': 5.78125}"
The truth about Shopping,G,Preposition_Replacing,SVA,"{'G': 0.313720703125, 'PREP': -3.494140625, 'DET': -4.93359375, 'SVA': 6.6640625}"
First tell your parents.,G,Preposition_Unnecessary,SVA,"{'G': -1.9970703125, 'PREP': -2.4140625, 'DET': -3.734375, 'SVA': 7.4765625}"
A lot of alumni bothers some hospital.,G,irregular_plural_subject_verb_agreement_1,SVA,"{'G': -0.033935546875, 'PREP': -3.361328125, 'DET': -4.72265625, 'SVA': 6.83984375}"
Some actresses distracts Michael.,G,regular_plural_subject_verb_agreement_1,SVA,"{'G': 0.56689453125, 'PREP': -3.306640625, 'DET': -5.2265625, 'SVA': 6.4453125}"
Many brothers of Colleen testified.,G,intransitive,SVA,"{'G': -1.2158203125, 'PREP': -3.240234375, 'DET': -3.93359375, 'SVA': 7.5}"
That dancer who praised these dancers doubts all children consider Wayne to hire Steve.,G,distractor_agreement_relative_clause,SVA,"{'G': 1.1640625, 'PREP': -3.65234375, 'DET': -5.078125, 'SVA': 5.95703125}"
Eyes weren't worrying this troubled child.,G,determiner_noun_agreement_with_adj_irregular_2,SVA,"{'G': -0.65380859375, 'PREP': -3.22265625, 'DET': -4.41015625, 'SVA': 7.16796875}"
The senators embarrasses Martin.,G,regular_plural_subject_verb_agreement_2,SVA,"{'G': 0.31396484375, 'PREP': -3.298828125, 'DET': -5.11328125, 'SVA': 6.6171875}"
A lot of senators who had disturbed Ellen profit.,G,distractor_agreement_relative_clause,SVA,"{'G': -1.4453125, 'PREP': -3.697265625, 'DET': -3.046875, 'SVA': 7.38671875}"
