text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs
Analyses persuades this cousin of Brad to exercise.,SVA,irregular_plural_subject_verb_agreement_1,G,"{'G': 4.53125, 'PREP': -2.787109375, 'DET': -4.7109375, 'SVA': -0.57421875}"
The sister of all cashiers force Andrea's best friend to cry.,SVA,distractor_agreement_relational_noun,G,"{'G': 5.140625, 'PREP': -2.37890625, 'DET': -4.64453125, 'SVA': -2.1015625}"
The person bores Kevin.,SVA,irregular_plural_subject_verb_agreement_2,G,"{'G': 5.0859375, 'PREP': -2.37890625, 'DET': -4.87109375, 'SVA': -1.798828125}"
Candice return to Eva.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 5.16796875, 'PREP': -2.177734375, 'DET': -4.453125, 'SVA': -2.509765625}"
The granddaughters of Eva has explained these libraries aren't tempting Carolyn to reveal Ellen.,SVA,distractor_agreement_relational_noun,G,"{'G': 3.86328125, 'PREP': -2.521484375, 'DET': -5.66015625, 'SVA': 1.0732421875}"
A lot of senators who had disturbed Ellen profits.,SVA,distractor_agreement_relative_clause,G,"{'G': 2.9375, 'PREP': -3.0390625, 'DET': -4.45703125, 'SVA': 2.28125}"
Those children respects most waiters.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.265625, 'PREP': -2.841796875, 'DET': -4.7578125, 'SVA': 0.0193328857421875}"
Grace skate around those libraries.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.96875, 'PREP': -2.498046875, 'DET': -4.90625, 'SVA': -1.44921875}"
The essay about the Great Lakes confuse Brett.,SVA,distractor_agreement_relational_noun,G,"{'G': 4.56640625, 'PREP': -2.71484375, 'DET': -4.80859375, 'SVA': -0.609375}"
Some actresses distract Michael.,SVA,regular_plural_subject_verb_agreement_1,G,"{'G': 4.86328125, 'PREP': -2.5625, 'DET': -4.7109375, 'SVA': -1.3291015625}"
A doctor who questions some committees pressure Robert to shout.,SVA,distractor_agreement_relative_clause,G,"{'G': 4.71484375, 'PREP': -2.615234375, 'DET': -5.05859375, 'SVA': -0.73681640625}"
